 	j'	ai	ramassé	des	longues	plumes	de	coq	dans	la	cour	</S>
n	0.940835	0.0209643	0.00170247	0.00732442	0.00776279	0.00946621	0.00565537	0.00527246	0.000347764	0.000457182	0.000105399	0.000106471
g	0.904285	0.0249031	0.000349022	0.00277481	0.0496605	0.01707	0.000775849	5.07962e-05	1.47113e-05	3.34489e-05	7.57211e-05	7.39387e-06
á	0.881629	0.0536478	0.00458538	0.00302374	0.0490334	0.00699351	0.000537877	5.84399e-05	4.02396e-05	0.000163779	0.000223107	6.4265e-05
í	0.142156	0.206762	0.0875609	0.0821026	0.0441413	0.0579049	0.0362071	0.00674957	0.0391914	0.0392811	0.00371783	0.254225
t	0.00412213	0.0506154	0.914391	0.0204868	0.00199921	0.000743611	0.000642093	0.000939357	0.00241202	0.00182915	0.000136299	0.00168328
ώ	0.000561756	0.0253653	0.803828	0.120641	0.00318941	0.000682026	0.00227399	0.0153351	0.0074586	0.0111519	0.000532656	0.00898071
ώ	0.0153774	0.11463	0.400659	0.281554	0.046715	0.0335824	0.0145124	0.00758893	0.0231355	0.0327516	0.00115903	0.028336
n	0.0398009	0.35318	0.0859843	0.294186	0.105797	0.0757959	0.0207145	0.00527479	0.00751664	0.00512659	0.00098267	0.00564065
g	0.0403126	0.295314	0.0545955	0.127685	0.263316	0.177273	0.0220225	0.000823566	0.00178689	0.0030155	0.00857726	0.00527888
i	0.0263276	0.294099	0.0518791	0.0470949	0.416318	0.136993	0.0182403	0.0006208	0.000464895	0.00115084	0.0035978	0.00321335
m	0.000252814	0.0113587	0.0194896	0.221835	0.237085	0.310875	0.102669	0.0169611	0.0126746	0.02538	0.0109844	0.0304346
y	0.000622066	0.00580546	0.00827489	0.0919743	0.0758676	0.457688	0.189301	0.00615576	0.0934101	0.0409911	0.00503687	0.0248725
ω	0.0012092	0.00483171	0.0533611	0.137957	0.102524	0.350001	0.0884424	0.0578853	0.048045	0.0577639	0.0347047	0.0632746
r	4.43904e-05	0.00117711	0.0341214	0.221625	0.0400793	0.193869	0.0645644	0.0428489	0.111093	0.176719	0.0118373	0.102021
ω	0.000351212	0.00645796	0.0121998	0.10634	0.160133	0.452765	0.0985545	0.00647052	0.0508386	0.0492489	0.0248329	0.0318069
r	0.000592379	0.00284969	0.00124052	0.0470084	0.153052	0.504533	0.198088	0.043053	0.0246149	0.00844056	0.00222733	0.0143004
ω	0.00048722	0.0034855	0.0037486	0.0679687	0.160083	0.20356	0.333443	0.0231284	0.049827	0.0418199	0.0533167	0.0591327
m	0.000655041	0.00220016	0.00076155	0.0140805	0.0600325	0.491534	0.296338	0.0741109	0.0246345	0.0143076	0.00490216	0.0164431
á	0.000111879	0.000399281	0.000584163	0.00535164	0.00454528	0.0911284	0.136936	0.0360566	0.279833	0.181762	0.0157908	0.247501
t	0.000142031	0.00073556	0.000468228	0.00913468	0.0218626	0.0584354	0.123652	0.237934	0.306523	0.148406	0.0648103	0.0278953
s	8.54905e-05	0.000236078	0.0014431	0.0133327	0.00488721	0.0131378	0.138894	0.226812	0.239075	0.195253	0.0907375	0.0761058
ó	3.76163e-06	1.57129e-05	0.000206577	0.00610358	0.00365395	0.00747549	0.0828775	0.695387	0.111389	0.0448842	0.0253385	0.0226655
s	4.07324e-06	3.68583e-05	0.000230439	0.00740375	0.00124943	0.0077284	0.0509504	0.66351	0.131697	0.0630548	0.00948485	0.06465
ó	8.01213e-05	0.000180168	0.000402094	0.00497713	0.0252051	0.157313	0.25975	0.192849	0.104399	0.0670738	0.07183	0.11594
ó	0.000218671	0.00211257	0.00113026	0.00662584	0.0199316	0.158524	0.140544	0.0179579	0.272176	0.182391	0.040459	0.15793
d	8.58206e-05	0.0017383	0.00267757	0.0128781	0.00316382	0.00537455	0.0140388	0.014898	0.348058	0.474876	0.082813	0.0393987
z	0.000184393	0.00124628	0.00152096	0.00801726	0.00407616	0.012146	0.00997145	0.00100749	0.155053	0.291868	0.192657	0.322252
a	0.0002206	0.000378106	0.000984269	0.00759569	0.0155865	0.0365239	0.0371391	0.00231985	0.153192	0.466892	0.181067	0.0981014
n	0.00013424	0.000827685	0.000259786	0.00642194	0.0157662	0.0361928	0.037582	0.0195131	0.19198	0.354599	0.125502	0.211221
g	9.82844e-05	0.000909666	0.000599306	0.0050189	0.0198832	0.0309629	0.0347711	0.00479718	0.04804	0.171762	0.478934	0.204223
é	0.000290541	0.00102042	0.000424599	0.00139	0.0261753	0.0522616	0.0188788	0.0027945	0.0101324	0.053474	0.761424	0.0717337
</S>	5.48344e-06	7.0497e-05	0.000111691	0.000946197	0.00399428	0.0298938	0.0378007	0.00884491	0.0308841	0.110152	0.451637	0.325659
