 	dans	ce	village	de	nombreuses	personnes	sont	des	sorciers	</S>
s	0.658588	0.26253	0.00753993	0.0174545	0.0168888	0.0269292	0.0073105	0.00264284	3.23083e-05	8.37646e-05
á	0.312086	0.613394	0.00576303	0.0531657	0.00196928	0.000320395	0.003107	0.0044734	0.00104927	0.00467268
p	0.0203337	0.0465176	0.924137	0.00356044	0.00134926	0.000466513	0.000352173	0.00136805	0.000931301	0.000984102
o	0.0235573	0.0129333	0.938872	0.0101902	0.00116103	0.00225745	0.000791382	0.000117972	0.00364497	0.00647413
o	0.0343426	0.0652766	0.872895	0.0146717	0.00131476	0.005798	0.000625393	0.000317275	0.00260953	0.00214904
y	0.168584	0.183917	0.0139114	0.466383	0.09665	0.0245166	0.0169757	0.0106934	0.000999254	0.0173701
é	0.162291	0.308856	0.0292848	0.318585	0.0908574	0.0216802	0.0410993	0.0156978	0.00259009	0.0090585
b	0.13674	0.220642	0.0228691	0.166552	0.233477	0.13105	0.0358734	0.0249059	0.00449932	0.023392
a	0.069094	0.034608	0.000958269	0.0326196	0.160377	0.67977	0.0174161	0.00146117	0.00161375	0.00208233
r	0.0090812	0.0235479	0.00156077	0.0132946	0.0946231	0.845308	0.00584263	0.000598642	0.000554293	0.00558852
e	0.043274	0.127911	0.00174735	0.241876	0.279938	0.231784	0.0359186	0.00581913	0.00103435	0.030698
a	0.0218389	0.0421334	0.00337229	0.27757	0.26376	0.142737	0.170635	0.0582911	0.00545951	0.0142024
y	0.0246568	0.0221014	0.00233457	0.204311	0.0827188	0.043487	0.309056	0.258915	0.0239962	0.0284225
í	0.0300332	0.015502	0.00553625	0.131762	0.0510359	0.00782093	0.115318	0.330382	0.134931	0.177678
í	0.00586324	0.00575078	0.000967518	0.2334	0.116484	0.0344976	0.149414	0.246096	0.0858134	0.121714
á	0.00637116	0.00414351	0.000254644	0.0468683	0.0129899	0.00560765	0.261767	0.552283	0.041337	0.0683777
d	0.0175131	0.00368244	0.000716614	0.0119331	0.0108711	0.00303565	0.0615381	0.615645	0.220425	0.0546395
í	0.00550417	0.00202522	3.48719e-05	0.0217356	0.0194908	0.000845312	0.070187	0.53957	0.107257	0.23335
a	0.00422592	0.00201387	0.000261614	0.0608554	0.053495	0.0115497	0.0797783	0.456832	0.1963	0.134689
l	0.0214162	0.00714469	0.00069459	0.00760539	0.0245714	0.010788	0.0185508	0.294876	0.510129	0.104223
ω	0.00666091	0.00288679	0.00030893	0.00657236	0.00476582	0.000515647	0.00541411	0.180233	0.67873	0.113913
i	0.00119624	0.000920863	8.00036e-05	0.0114518	0.0097006	0.00466818	0.0160538	0.137956	0.710423	0.107549
</S>	0.00861511	0.00381518	0.00047374	0.00663533	0.00624727	0.00333872	0.0459519	0.24973	0.180678	0.494515
