 	ils	se	sont	brouillés	</S>
b	0.800433	0.187955	0.00793638	0.0024524	0.00122347
á	0.874808	0.0817207	0.0425829	0.000561794	0.000326297
a	0.991102	0.00819161	0.000628848	1.88912e-05	5.85473e-05
á	0.264882	0.501513	0.15983	0.000815988	0.0729581
k	0.0101743	0.367467	0.532793	0.0630723	0.0264935
a	0.0106618	0.454102	0.28183	0.163136	0.0902703
b	0.0173184	0.294845	0.279982	0.246198	0.161657
h	0.0954366	0.25372	0.206504	0.191008	0.253331
i	0.0802215	0.158971	0.105142	0.369693	0.285973
l	0.152743	0.0786478	0.170277	0.132303	0.466029
i	0.0205356	0.0990671	0.26952	0.184412	0.426465
l	0.0420567	0.0430663	0.15054	0.0873687	0.676969
a	0.0143186	0.0257399	0.129234	0.140724	0.689984
b	0.00587073	0.0139068	0.0576265	0.191404	0.731192
i	0.242597	0.0627495	0.315153	0.23934	0.14016
a	0.0193158	0.0309864	0.140846	0.0227632	0.786089
</S>	0.00088629	0.0255462	0.166123	0.0322394	0.775205
