 	la	danse	abvumba	ne	se	danse	plus	</S>
a	0.507592	0.482744	0.00357787	0.000924094	0.00209948	0.00201522	0.000957992	8.88293e-05
b	0.300109	0.490824	0.173004	0.00545462	0.0126111	0.00742262	0.00792561	0.00264982
v	0.11831	0.542179	0.266192	0.00549219	0.0293249	0.0176378	0.0161456	0.00471757
u	0.0263325	0.40967	0.512541	0.00370014	0.0210443	0.0213403	0.00288794	0.00248338
m	0.215097	0.54901	0.166633	0.00638208	0.00958715	0.0135337	0.0067879	0.0329688
b	0.514514	0.411649	0.0261707	0.0247077	0.00329624	0.00399421	0.00445011	0.0112178
a	0.364087	0.134889	0.330119	0.0473695	0.0254537	0.0191766	0.00999044	0.068915
á	0.2231	0.133029	0.077029	0.394773	0.0492694	0.0493308	0.0111938	0.0622743
b	0.022888	0.0107108	0.0950342	0.653768	0.119839	0.0269989	0.0143267	0.0564334
h	0.00427917	0.00826496	0.397329	0.190347	0.2929	0.0550942	0.0240984	0.0276874
i	0.0194696	0.00863284	0.40569	0.204488	0.231166	0.0612037	0.0214166	0.0479334
á	0.0119839	0.0119172	0.0967985	0.200341	0.249868	0.154464	0.0775857	0.197042
o	0.0209789	0.0210063	0.0139003	0.284177	0.225874	0.277943	0.110507	0.0456136
b	0.00438851	0.00249386	0.0161886	0.0407186	0.363042	0.158693	0.353872	0.0606046
í	0.00289109	0.00396629	0.0193151	0.0169235	0.382899	0.182551	0.325745	0.0657089
n	0.000313668	0.000431248	0.013569	0.023261	0.272036	0.2212	0.150621	0.318569
a	0.00323023	0.00137782	0.00712612	0.0642357	0.342197	0.317332	0.154725	0.109776
k	0.00638847	0.00126742	0.0014893	0.110528	0.0701587	0.215437	0.264758	0.329973
a	0.00250786	0.00189134	0.0011014	0.0108635	0.0672252	0.212449	0.629847	0.0741149
á	0.000607618	0.000705116	0.00151808	0.0055333	0.0556859	0.127663	0.511658	0.296629
</S>	0.00667429	0.00471752	0.00703782	0.042192	0.0310992	0.11436	0.237713	0.556207
