 	elle	m'	a	aspergé	d'	eau	</S>
w	0.90436	0.0834412	0.00909678	0.000779106	0.00207185	0.000195418	5.60325e-05
a	0.801048	0.152914	0.0107083	0.0024466	0.0293515	0.00346018	7.14827e-05
á	0.186001	0.347003	0.376259	0.0435107	0.0386042	0.0018125	0.00680836
m	0.0524429	0.197301	0.559226	0.0906078	0.041816	0.0141931	0.0444129
i	0.0173503	0.0610815	0.506625	0.330837	0.0266812	0.0266429	0.0307821
m	0.0216688	0.0611208	0.342834	0.489318	0.0184405	0.00892302	0.0576953
w	0.00246892	0.023021	0.0444252	0.909115	0.00566565	0.00393437	0.0113702
á	0.0085656	0.0565749	0.213514	0.638109	0.0513753	0.0109879	0.0208739
n	0.0430601	0.144063	0.218603	0.325438	0.135251	0.0401823	0.0934028
g	0.114549	0.487409	0.0734104	0.186562	0.0611556	0.0145769	0.0623381
á	0.01024	0.216354	0.0608422	0.586713	0.0685664	0.01864	0.0386441
m	0.0340989	0.075516	0.18412	0.0332678	0.450526	0.142255	0.0802161
á	0.000957611	0.000680771	0.00643007	0.136137	0.469556	0.123733	0.262505
a	0.00808365	0.0118373	0.032746	0.0326223	0.051863	0.835472	0.0273759
</S>	0.00153656	0.00480908	0.028512	0.0298194	0.0838271	0.789725	0.0617705
