 	cet	enfant	ne	respecte	pas	ses	parents	</S>
m	0.748985	0.192243	0.0168745	0.0151009	0.0154795	0.0088047	0.00181505	0.000697871
w	0.100895	0.880035	0.00783813	0.00248583	0.000588218	0.000668751	0.00291371	0.00457541
á	0.0404415	0.950171	0.00103626	0.00355483	0.000825148	0.000488252	0.00320732	0.000275309
n	0.316267	0.671646	0.00116685	0.00220092	0.000852851	0.000542201	0.00270794	0.00461634
a	0.212499	0.424481	0.063201	0.0692281	0.0249799	0.0154934	0.0150111	0.175106
w	0.825537	0.0465138	0.060244	0.0112784	0.0111584	0.0245498	0.0125888	0.00812975
ó	0.281124	0.0313588	0.20599	0.0537099	0.102385	0.140085	0.0513169	0.13403
a	0.17238	0.0411231	0.527594	0.0813097	0.0340505	0.0389752	0.00473934	0.0998282
d	0.00966371	0.00355849	0.563724	0.190948	0.0530048	0.08371	0.00295497	0.092437
í	0.012811	0.00374373	0.430405	0.186765	0.0383368	0.0243335	0.00116566	0.302439
i	0.00485607	0.00145879	0.339373	0.332941	0.138997	0.0906383	0.00620458	0.0855309
b	0.00731202	0.0113353	0.156709	0.431711	0.238212	0.052705	0.0164432	0.0855723
ó	0.00280753	0.0114774	0.0712602	0.687014	0.114136	0.0326676	0.04253	0.0381071
r	0.000450261	0.000630399	0.0602775	0.729163	0.0958524	0.0307339	0.0182908	0.0646019
o	0.00594198	0.000653212	0.0966149	0.380452	0.274777	0.0293384	0.00897083	0.203252
o	0.00825211	0.000441987	0.155233	0.0445236	0.514865	0.192402	0.0219382	0.0623435
k	0.00103558	0.00027712	0.0285445	0.0500535	0.266269	0.542465	0.0325319	0.0788235
a	0.000442008	0.000273483	0.0353254	0.122413	0.334815	0.343702	0.0455255	0.117503
n	0.000952215	0.000581471	0.0454367	0.0850552	0.244528	0.307524	0.0547346	0.261188
d	0.00327985	0.00064739	0.0456915	0.0754808	0.223255	0.246317	0.0836219	0.321707
a	0.00582009	0.00121091	0.0539304	0.046816	0.173909	0.12144	0.0629104	0.533964
k	0.00276632	0.000413672	0.0142158	0.00818313	0.0891154	0.190159	0.246714	0.448433
a	0.00160698	0.000682346	0.0272033	0.0232149	0.228498	0.570768	0.0336046	0.114422
á	0.000486335	0.000128908	0.00270407	0.00636076	0.0517949	0.103351	0.0500094	0.785165
</S>	0.000929437	0.000440507	0.0157634	0.00787581	0.0163684	0.0923636	0.0526314	0.813627
