 	la	bière	fermente	</S>
a	0.904206	0.0955738	0.000201456	1.87183e-05
l	0.0697816	0.921426	0.00700815	0.00178425
ω	0.120058	0.693476	0.0804671	0.105998
i	0.0722024	0.804114	0.0737343	0.0499495
m	0.523488	0.272544	0.093359	0.110609
á	0.282028	0.038386	0.381941	0.297645
a	0.468075	0.123886	0.231529	0.17651
f	0.0490276	0.0720094	0.610981	0.267982
ú	0.00841252	0.0174113	0.737788	0.236388
l	0.0086801	0.00179332	0.188371	0.801155
a	0.0468321	0.00678309	0.102959	0.843426
</S>	0.0326074	0.0120074	0.211002	0.744384
