 	sa	colère	s'	apaise	</S>
w	0.552082	0.397962	0.0485681	0.000938496	0.000450214
a	0.491421	0.348752	0.156741	0.00250429	0.000581556
l	0.553886	0.348517	0.0789747	0.00189409	0.0167289
á	0.271122	0.262415	0.153484	0.00472022	0.308259
a	0.423839	0.222293	0.220997	0.0162425	0.116628
k	0.0824865	0.563295	0.186207	0.0867099	0.0813019
ω	0.0659268	0.289618	0.0897527	0.46094	0.093762
ω	0.0198456	0.304856	0.11071	0.514577	0.0500122
s	0.094001	0.0411238	0.488254	0.100788	0.275833
ώ	0.0855294	0.179859	0.144765	0.0702461	0.519601
k	0.234229	0.0648624	0.399865	0.118145	0.182899
y	0.00588736	0.0384691	0.00774434	0.936639	0.0112603
έ	0.0129063	0.108284	0.0120146	0.846363	0.0204321
r	0.0316972	0.229467	0.101437	0.556505	0.0808941
ε	0.0932066	0.479538	0.0958427	0.262283	0.0691292
</S>	0.0940378	0.025719	0.305843	0.015537	0.558863
