 	elle	était	au	bord	des	larmes	</S>
w	0.946657	0.0301645	0.0123213	0.00322954	0.00670835	0.000730051	0.000189589
a	0.888797	0.055898	0.0160622	0.00206731	0.0296541	0.00703692	0.000484864
a	0.564915	0.307512	0.0842763	0.0105319	0.0176356	0.00809175	0.00703735
b	0.19072	0.263184	0.328206	0.0943905	0.0613383	0.017548	0.0446126
h	0.128073	0.142201	0.476069	0.148228	0.0564648	0.0041016	0.044862
i	0.0604591	0.0505763	0.496721	0.262139	0.0931261	0.00681074	0.0301679
p	0.110474	0.148372	0.406209	0.199585	0.0508856	0.00534689	0.0791276
ε	0.133375	0.0655828	0.19591	0.470089	0.0322344	0.031084	0.071725
l	0.0144876	0.010142	0.209136	0.547049	0.0597104	0.0411501	0.118325
έ	0.0337203	0.0183179	0.215019	0.496642	0.0548193	0.0441359	0.137346
έ	0.02144	0.0080599	0.155557	0.417924	0.308255	0.0444873	0.0442762
l	0.00780067	0.0147057	0.09029	0.332862	0.273144	0.183781	0.0974167
o	0.00708689	0.0100467	0.0620058	0.106131	0.257411	0.312638	0.244682
l	0.0368905	0.0159129	0.0361144	0.130961	0.17018	0.505069	0.104872
e	0.0137495	0.00587892	0.0398591	0.0740571	0.177968	0.570934	0.117553
a	0.00487803	0.00219798	0.0348296	0.12069	0.163406	0.398844	0.275154
</S>	0.0116347	0.00446022	0.032405	0.0335486	0.158845	0.533218	0.225888
