 	en	ville	il	y	a	un	bruit	insupportable	</S>
ó	0.647458	0.137466	0.0784738	0.0639654	0.0215286	0.0152419	0.0340632	0.00125658	0.000546978
n	0.106838	0.748326	0.0406676	0.0170247	0.0197377	0.0302693	0.0211243	0.00552513	0.0104872
g	0.0110452	0.857443	0.018352	0.00794994	0.00893841	0.0142598	0.0120745	0.0631297	0.00680761
y	0.00329439	0.993545	0.000714964	0.000268052	0.000171847	0.000421725	0.000232637	0.000918002	0.000433025
ε	0.00409961	0.975226	0.00231725	0.000895784	0.000611371	0.00257139	0.00137107	0.00637131	0.00653681
l	0.020393	0.865503	0.0215876	0.00734185	0.00558113	0.0204138	0.0140437	0.0219855	0.0231507
έ	0.0523858	0.134587	0.171533	0.0970755	0.0398843	0.0858383	0.0442476	0.0151876	0.35926
é	0.215881	0.0301597	0.335005	0.260757	0.100233	0.0322613	0.015525	0.00102575	0.00915303
d	0.170854	0.0275097	0.118955	0.180796	0.224196	0.136602	0.0870988	0.00490937	0.0490804
í	0.0748047	0.0476334	0.0581894	0.0655037	0.170334	0.218736	0.0949274	0.016821	0.253051
l	0.0407506	0.00392366	0.0443881	0.122825	0.111265	0.174818	0.23835	0.0162062	0.247474
a	0.0125109	0.00413306	0.110675	0.206749	0.220126	0.158983	0.0879543	0.0343338	0.164535
l	0.0277184	0.0138032	0.0733318	0.0858179	0.0925559	0.162679	0.149045	0.25831	0.136739
o	0.0181811	0.0149367	0.0189443	0.057257	0.0990426	0.251229	0.301482	0.185172	0.0537557
b	0.0123596	0.0212079	0.015348	0.0488547	0.0435364	0.356895	0.355428	0.107986	0.0383849
h	0.00523376	0.00314572	0.0245255	0.0999562	0.0938382	0.410193	0.304242	0.0188569	0.0400087
ó	0.0070163	0.0210367	0.045635	0.0823699	0.0374054	0.278576	0.28928	0.122243	0.116438
d	0.00414133	0.00361044	0.0265952	0.0730982	0.0658218	0.17044	0.351276	0.130463	0.174554
í	0.00514059	0.00733806	0.00692127	0.00670695	0.014985	0.093481	0.13756	0.195556	0.532312
l	0.00198807	0.000976246	0.00848087	0.0265206	0.044251	0.0863556	0.291665	0.195025	0.344737
á	0.00239424	0.00114065	0.0126688	0.0188559	0.0617676	0.0715561	0.0901137	0.350449	0.391054
n	0.00364985	0.00287094	0.0169211	0.0232452	0.0371299	0.0593123	0.185585	0.480913	0.190373
ώ	0.0017808	0.012495	0.00286839	0.00206045	0.00559113	0.0139553	0.0231883	0.87238	0.0656809
k	0.000301951	0.00138767	0.00515262	0.00614596	0.0201684	0.0423559	0.0785957	0.446415	0.399476
a	0.00339953	0.00396232	0.0159937	0.0491215	0.0483856	0.227566	0.344849	0.0720947	0.234628
á	0.00212632	0.001747	0.00739746	0.0109801	0.00849816	0.031783	0.119574	0.226128	0.591766
</S>	0.00412055	0.00195662	0.0478564	0.0410658	0.0596438	0.0365359	0.0583292	0.199067	0.551425
