 	il	est	venu	alors	que	tu	étais	malade	</S>
w	0.786096	0.0655664	0.0202936	0.0362512	0.0318419	0.0531911	0.00304792	0.00214855	0.00156383
a	0.591097	0.0877802	0.0287737	0.0104403	0.160179	0.100132	0.0164306	0.00373335	0.00143347
á	0.104146	0.398013	0.301395	0.0598435	0.0537038	0.0390836	0.028129	0.00279363	0.0128925
y	0.0211415	0.293751	0.517197	0.0594638	0.00734991	0.0154772	0.0417814	0.0144272	0.0294107
ε	0.00375094	0.109159	0.553412	0.158041	0.0139589	0.0124664	0.0273756	0.0108188	0.111019
ε	0.0144428	0.0554575	0.508682	0.270937	0.0610938	0.0167392	0.0273398	0.00530052	0.0400066
o	0.0466215	0.124618	0.336276	0.0826064	0.226729	0.0991949	0.0137766	0.00278732	0.0673903
n	0.000844076	0.0164429	0.0772374	0.500963	0.0824958	0.0170111	0.166926	0.0897983	0.0482812
d	0.00155406	0.0180189	0.0358997	0.303545	0.103703	0.119026	0.11192	0.0800619	0.226271
i	0.000800711	0.0132082	0.0749236	0.528874	0.0915144	0.0365652	0.0682092	0.0713485	0.114556
e	0.00215913	0.0284402	0.0452248	0.218342	0.266999	0.0777502	0.0742721	0.108002	0.17881
m	0.0120249	0.0536897	0.0641528	0.172329	0.373278	0.154823	0.0408923	0.027275	0.101535
ó	0.0218385	0.0243447	0.00467112	0.0245816	0.443733	0.09266	0.184351	0.00356369	0.200257
ó	0.0130171	0.0239328	0.0321461	0.0693421	0.511848	0.121234	0.0999557	0.0804058	0.0481179
d	0.00123776	0.0123435	0.0307627	0.0199052	0.0373655	0.0623947	0.5633	0.206592	0.0660993
z	9.14603e-05	0.000778135	0.00178399	0.00375764	0.00727295	0.0041671	0.711811	0.0411622	0.229176
é	0.000422355	0.00208255	0.00671667	0.0183238	0.0526393	0.0214792	0.745269	0.0216153	0.131452
n	0.00209303	0.00688772	0.0177682	0.0279267	0.144676	0.163093	0.134012	0.147988	0.355556
ω	0.00230669	0.0035497	0.0164872	0.00279648	0.218737	0.34613	0.0282224	0.0344666	0.347304
l	0.000193599	0.00509338	0.0509066	0.0188075	0.0441381	0.105592	0.112166	0.101218	0.561885
i	0.00274243	0.00716772	0.0244413	0.0298957	0.045348	0.096603	0.103964	0.270905	0.418933
k	0.000755869	0.00367854	0.00813688	0.0100098	0.112968	0.0601758	0.0563174	0.21805	0.529908
ω	5.72562e-05	0.000563305	0.00106519	0.00725785	0.00761997	0.0101173	0.00994992	0.881459	0.0819099
n	2.6513e-05	0.00027564	0.00102402	0.014488	0.0252806	0.0354432	0.00910856	0.79403	0.120323
í	0.000116783	0.00039768	0.000761871	0.037894	0.0166946	0.0149078	0.015264	0.770038	0.143926
</S>	0.00349688	0.00601161	0.00364911	0.00746969	0.0539846	0.119513	0.0843254	0.0724326	0.649117
