 	si	tu	consommes	beaucoup	de	safous	tu	vas	t'	endormir	</S>
w	0.809601	0.174574	0.00199681	0.00299385	0.00231037	0.000463568	0.0031707	0.00276433	0.00141175	0.000624527	8.8688e-05
á	0.70204	0.125443	0.0247591	0.0423315	0.0381803	0.00170878	0.0331692	0.0112986	0.0167188	0.00426251	8.82444e-05
á	0.246388	0.287139	0.143358	0.0572015	0.0596809	0.0868834	0.0373098	0.0417368	0.0158417	0.00328508	0.021175
n	0.0720304	0.587577	0.120723	0.0274091	0.0270172	0.0437521	0.029134	0.0124585	0.0152859	0.0144747	0.0501388
ω	0.0441764	0.893828	0.0267731	0.0073608	0.00370516	0.000724027	0.0167432	0.000127853	0.00292934	7.78884e-05	0.00355376
o	0.0219644	0.518487	0.231302	0.0678336	0.0342105	0.0375892	0.0229885	0.00412309	0.00575381	0.00160002	0.0541486
d	0.0055003	0.0157188	0.726073	0.108366	0.0359095	0.0625014	0.000606847	0.00188615	0.00122702	0.014567	0.0276435
z	0.00162335	0.00767713	0.683979	0.067869	0.0619161	0.076889	0.000545963	0.000787009	0.00173954	0.000648013	0.0963257
é	0.00867479	0.0188336	0.932228	0.01146	0.00306859	0.0238069	0.000204489	0.000282596	6.45447e-05	7.69267e-06	0.00136899
s	0.0119742	0.0292199	0.0404582	0.071449	0.175222	0.455363	0.0402904	0.0132628	0.0124197	0.0055897	0.14475
á	0.0262282	0.0635827	0.123008	0.13444	0.0925419	0.378547	0.0375174	0.0138378	0.0353004	0.0019586	0.0930382
á	0.00975349	0.0489874	0.0486317	0.199791	0.152336	0.328214	0.114991	0.0733624	0.010141	0.00389984	0.00989243
n	0.00174742	0.0156623	0.0563515	0.12186	0.130757	0.369467	0.0437698	0.121028	0.0507882	0.0546679	0.0339001
d	0.00916665	0.144321	0.0321066	0.203438	0.128509	0.0654197	0.247728	0.0162738	0.0961881	0.00486354	0.0519861
z	0.00688585	0.204527	0.0820272	0.204633	0.0639413	0.201814	0.127102	0.0407114	0.0254094	0.00619174	0.0367565
í	0.0119662	0.0612605	0.0479828	0.330288	0.198604	0.0857321	0.0727933	0.0496662	0.017693	0.00697235	0.117042
í	0.00156422	0.00323247	0.00304322	0.0486508	0.0843009	0.0662899	0.0392806	0.0849351	0.0938781	0.113185	0.461639
n	0.00163166	0.0127182	0.00560892	0.0884713	0.155034	0.0495229	0.311559	0.150515	0.132104	0.0419696	0.0508661
ω	0.0151623	0.0603061	0.0159366	0.0923573	0.083442	0.0170712	0.32896	0.0941891	0.184401	0.00817002	0.100004
l	0.000264416	0.00635551	0.0208639	0.117558	0.133468	0.0983358	0.103492	0.136905	0.100955	0.105608	0.176194
ó	0.00240696	0.00262586	0.0127114	0.0953909	0.0825736	0.0342284	0.031032	0.213484	0.0883753	0.136159	0.301013
o	0.00153594	0.00149423	0.0186167	0.0897237	0.0835818	0.0496081	0.0250026	0.208495	0.0490742	0.239931	0.232937
b	4.43375e-05	0.000148462	0.0077374	0.0087974	0.0174923	0.00957744	0.000835517	0.022671	0.0799076	0.700754	0.152035
v	4.24216e-05	4.47704e-05	0.00103536	0.00885959	0.0253968	0.000485178	0.000748656	0.0052304	0.0228511	0.897363	0.0379429
á	0.000263095	0.00011475	0.000925711	0.0124139	0.0470852	0.0027205	0.00372442	0.0149304	0.0418235	0.799859	0.0761394
f	0.000131637	0.000114459	0.000999863	0.00884184	0.0349776	0.00285615	0.0245177	0.0104914	0.0555515	0.050901	0.810617
u	0.0013372	0.000263941	0.000187309	0.00385098	0.00998666	0.00376916	0.0198989	0.261328	0.0807252	0.20997	0.408683
l	0.00055841	0.000188324	0.00168276	0.0207829	0.101244	0.0223403	0.0112953	0.0166599	0.0127774	0.0522552	0.760216
ú	0.000459608	0.00029123	0.000175914	0.00760222	0.0318457	0.00667306	0.0482695	0.0480677	0.139159	0.262656	0.4548
</S>	0.000376186	0.000346442	0.0002658	0.00671113	0.0204329	0.00300827	0.0217859	0.00712777	0.0754659	0.142851	0.721629
