 	il	n'	arrivera	pas	là-bas	avant	la	pluie	</S>
w	0.952542	0.0340283	0.000676176	0.00827713	0.00328697	0.000171314	0.000987249	2.35458e-05	7.73427e-06
a	0.942469	0.035569	0.00111877	0.0104816	0.00704178	0.00119445	0.0018362	0.000255979	3.28973e-05
a	0.101045	0.631961	0.0314043	0.081232	0.091783	0.0124255	0.0223025	0.0039033	0.0239438
d	0.0697357	0.544133	0.0756631	0.0453549	0.120202	0.0586308	0.0163801	0.00425974	0.0656409
í	0.0307757	0.749699	0.0659768	0.0207521	0.0296316	0.0237668	0.00310291	0.00210846	0.0741867
ω	0.0139971	0.393432	0.29262	0.0696529	0.0561899	0.0156823	0.0131019	0.00440036	0.140923
p	0.00278306	0.0899924	0.783902	0.0344498	0.0298599	0.0484122	0.00145865	0.0045287	0.00461341
f	0.000281019	0.0240696	0.915233	0.00929055	0.0120512	0.0284354	0.000529099	0.00153118	0.00857896
a	0.000433735	0.0318001	0.902952	0.0247121	0.0155529	0.0171783	0.000724168	0.00132996	0.0053168
w	0.0065357	0.0313489	0.59575	0.211831	0.0918224	0.0159653	0.0118065	0.00730068	0.027639
ó	0.0565026	0.0154402	0.376888	0.435604	0.046921	0.00375635	0.0228358	0.00490087	0.0371505
o	0.0160061	0.0402594	0.115096	0.376921	0.224099	0.0696229	0.0593125	0.0208448	0.0778392
o	0.000624427	0.0337996	0.12407	0.0577229	0.299472	0.469573	0.00499725	0.00620962	0.00353031
b	0.00121641	0.0503211	0.0226302	0.0210391	0.121276	0.756316	0.0115522	0.00615055	0.00949846
o	0.000146819	0.00481324	0.026629	0.00478249	0.018617	0.926028	0.00400958	0.00775532	0.00721842
s	2.59471e-05	0.00377557	0.0775564	0.0110435	0.0668883	0.818299	0.00373966	0.000610966	0.018061
ó	0.000186078	0.00798486	0.159477	0.0727024	0.132554	0.566845	0.0281738	0.00271296	0.0293642
b	0.0149206	0.0246121	0.0261556	0.217641	0.285785	0.161438	0.172084	0.00559049	0.0917729
á	0.0120683	0.023218	0.0388098	0.139589	0.169471	0.145134	0.188628	0.0261478	0.256934
m	0.0219833	0.00993339	0.00636809	0.125311	0.0660867	0.0165317	0.380472	0.231428	0.141885
b	0.000927481	0.000235243	0.000257899	0.00068602	0.000999755	0.0082873	0.0477133	0.905493	0.0354
v	3.3363e-05	2.39791e-05	0.000250408	0.000261826	0.000427168	0.0124158	0.0220296	0.949792	0.0147659
ú	2.97348e-05	3.19524e-05	0.00012238	3.86902e-05	7.73176e-05	0.0130621	0.00480337	0.962153	0.0196816
á	0.0118464	0.0107407	0.00415166	0.0242017	0.0282913	0.348955	0.142074	0.236412	0.193328
k	0.00189687	0.00454054	0.0030794	0.0159541	0.0197306	0.0347294	0.564929	0.142034	0.213106
a	0.00178312	0.0146433	0.200311	0.138348	0.172428	0.0807705	0.209782	0.0493472	0.132587
á	0.000740086	0.00354778	0.0132147	0.0188534	0.0363385	0.0375588	0.114307	0.150783	0.624656
</S>	0.00194928	0.00428367	0.00130909	0.00703785	0.00880696	0.00312927	0.185412	0.177378	0.610694
