 	ils	ont	enterré	les	feuilles	du	manguier	qu'	ils	ont	balayées	</S>
b	0.714431	0.0630416	0.00268202	0.02934	0.0149015	0.120254	0.00789927	0.0305222	0.00719823	0.00909006	0.000323514	0.000317235
á	0.770973	0.121751	0.019388	0.0252294	0.0067724	0.00827292	0.00987055	0.00195309	0.0308281	0.00476385	5.65112e-05	0.000141448
a	0.795301	0.076643	0.0132373	0.00195606	0.000405617	0.00088767	0.0221345	0.00180514	0.0854779	0.00108013	0.000404182	0.000667677
á	0.0809622	0.631321	0.0991071	0.0415288	0.00806086	0.003609	0.00130208	0.0133998	0.0165222	0.0489828	0.00215088	0.0530531
k	0.00340648	0.228721	0.509725	0.145218	0.050456	0.0044645	0.00158389	0.00359947	0.00271878	0.0226129	0.0154034	0.0120899
í	0.000298714	0.0292911	0.921519	0.0277267	0.015811	0.00223845	9.84856e-05	0.000600352	0.000239587	0.000883672	0.000233844	0.00105897
i	0.000351992	0.0591418	0.825314	0.0455225	0.0655829	0.00127539	5.45011e-05	8.28018e-05	6.19368e-05	0.000160597	0.000217088	0.0022349
k	0.0474284	0.0521609	0.0320876	0.534404	0.195109	0.0670337	0.00899479	0.0140494	0.0219247	0.0125773	0.000945422	0.0132843
á	0.00222555	0.00581427	0.0529649	0.318552	0.489381	0.101787	0.00520697	0.00716466	0.00833445	0.00153357	0.00128404	0.00575031
s	0.010893	0.0239643	0.030785	0.142869	0.423625	0.0794266	0.0354634	0.0267761	0.109251	0.0104764	0.00356458	0.102905
i	0.000161798	0.00128722	0.0176663	0.162906	0.594637	0.174209	0.00668157	0.0259435	0.00797579	0.00346051	0.000753057	0.00431841
y	0.00364676	0.00606992	0.0032849	0.122318	0.282666	0.351672	0.115148	0.0404678	0.0241531	0.0180078	0.00829865	0.0242669
ó	0.000479933	0.00296023	0.00316822	0.0482279	0.188858	0.538856	0.032884	0.0975935	0.00673509	0.0128902	0.0247557	0.0425916
m	0.000457965	0.000454967	0.00111622	0.0136067	0.101694	0.632091	0.126785	0.064448	0.00384451	0.00320611	0.037677	0.0146179
b	0.000284122	0.000285469	6.00161e-05	0.00178675	0.00785386	0.16974	0.78063	0.0118191	0.00305965	0.00730857	0.00375738	0.0134142
á	4.30045e-05	3.60076e-05	5.46599e-05	0.000595639	0.00190325	0.0415703	0.950692	0.00186834	0.000602333	2.50614e-05	0.00162	0.000988886
n	0.00196659	0.000224813	0.000147064	0.000883314	0.00345004	0.0366184	0.927496	0.0035607	0.00790227	0.000758031	0.00160902	0.0153833
g	0.000946582	0.00444446	0.00903012	0.0115184	0.0159597	0.176543	0.583867	0.0737339	0.0127897	0.00453982	0.0171299	0.0894976
é	0.000782269	0.00118724	0.00602821	0.00612718	0.0108986	0.17748	0.724943	0.0532794	0.00257845	0.000316975	0.00584633	0.0105317
y	0.000276845	0.00444017	0.0017718	0.0146254	0.0228543	0.151315	0.0625467	0.470369	0.0800558	0.133477	0.0110525	0.0472152
é	0.000328478	0.00318405	0.000700502	0.0143088	0.0159681	0.278023	0.0341748	0.521884	0.0202074	0.0497019	0.0445019	0.0170172
é	0.000563098	0.00178714	0.00133295	0.00424229	0.0118914	0.107398	0.025127	0.491562	0.097717	0.0983421	0.121335	0.0387026
w	0.000272496	0.00867141	0.00345065	0.00983594	0.0404025	0.0275698	0.0137578	0.0843003	0.0500841	0.322946	0.408622	0.0300873
ώ	0.000248705	0.00427081	0.00582906	0.00601888	0.0328653	0.0151538	0.0062003	0.0308332	0.0649618	0.0618211	0.628858	0.142939
m	2.42294e-05	0.000251246	0.000644986	0.00395459	0.0151546	0.0926981	0.013108	0.21517	0.0244321	0.130631	0.306662	0.197269
b	4.08022e-05	0.000128764	0.000176737	0.00229298	0.00611742	0.0875595	0.100747	0.197182	0.0435414	0.140487	0.313184	0.108542
í	0.000100246	0.000393867	0.00076034	0.0039639	0.00433322	0.0724695	0.286662	0.190999	0.252345	0.0698413	0.0332041	0.084927
b	0.000330348	0.00017058	0.000145597	0.00144497	0.00229514	0.010897	0.0177198	0.126567	0.566684	0.169106	0.0161693	0.0884707
á	0.00167315	0.000271415	1.10681e-05	0.000380885	0.000840009	0.0020297	0.0116581	0.00406535	0.943826	0.0263522	0.00663487	0.00225691
a	0.00265916	0.000261074	2.98527e-05	0.000886153	0.00195293	0.00590222	0.0212988	0.0221408	0.907928	0.0144072	0.0071736	0.0153595
</S>	0.000266547	0.000547542	0.000451784	0.00238775	0.00381277	0.00602734	0.00266714	0.030386	0.104681	0.215715	0.248915	0.384142
