 	les	hyènes	font	du	bruit	dans	la	forêt	</S>
a	0.617173	0.326943	0.0319514	0.00296045	0.00736739	0.00346256	0.00750029	0.00254602	9.62351e-05
s	0.0196839	0.967802	0.00525355	0.00159523	0.00137159	0.000545047	0.000969516	0.00211134	0.000668003
ó	0.0222704	0.945427	0.00927992	0.00660778	0.00588338	0.0040593	0.00111319	0.00263847	0.00272099
b	0.227032	0.510317	0.0166991	0.048285	0.039653	0.0343992	0.0173295	0.00347882	0.102806
h	0.151348	0.503967	0.224579	0.0345512	0.0388648	0.0131429	0.00795118	0.00774366	0.0178528
á	0.221677	0.411065	0.187897	0.0445713	0.0387678	0.00906888	0.00339458	0.00146565	0.0820929
b	0.246649	0.114941	0.45915	0.0797061	0.0293292	0.0286647	0.0199658	0.00247056	0.0191235
á	0.138832	0.00858539	0.372755	0.185002	0.168059	0.0620213	0.0395517	0.0123585	0.0128358
a	0.252557	0.00845564	0.37704	0.185869	0.088318	0.0239522	0.0235719	0.0152976	0.0249386
k	0.0216401	0.0105201	0.515574	0.268294	0.111056	0.0330354	0.00645096	0.00553413	0.027896
y	0.00687248	0.0511576	0.226253	0.367362	0.286135	0.0329706	0.0042731	0.00725191	0.0177252
á	0.0344469	0.0473181	0.0859806	0.393294	0.315462	0.0586982	0.0120206	0.0330996	0.0196794
l	0.00186276	0.00167894	0.113907	0.330397	0.241677	0.0970544	0.0321832	0.0594051	0.121835
o	0.00578274	0.00676987	0.108343	0.376205	0.275715	0.0958701	0.0542558	0.0326297	0.0444288
b	0.00428774	0.00120304	0.0202699	0.0950304	0.40191	0.3	0.0837755	0.0679238	0.0255997
h	0.020917	0.030936	0.0805464	0.101571	0.365555	0.0525434	0.0135434	0.262918	0.071469
ó	0.00285091	0.00356234	0.060634	0.0854208	0.492345	0.153122	0.0438613	0.0616749	0.0965283
s	0.00165577	0.000288554	0.0209818	0.0638719	0.127418	0.435407	0.214202	0.0353293	0.100845
á	0.0126137	0.00289439	0.00491478	0.0913216	0.147112	0.127281	0.0958454	0.0960348	0.421983
k	0.00728417	0.00345144	0.00170054	0.0087079	0.0183291	0.0448826	0.0887828	0.794711	0.0321507
ω	0.000387725	0.00278085	0.00204875	0.00615226	0.0189001	0.00638686	0.00541123	0.946669	0.011263
</S>	7.00051e-05	0.000695627	0.00112461	0.00509613	0.00781181	0.00491839	0.00370073	0.956301	0.0202815
