 	les	poissons	qui	entrent	dans	le	tuyau	embí	finissent	dans	la	nasse	</S>
a	0.742223	0.207569	0.0157211	0.0174963	0.00644027	0.00726611	0.00116327	0.000141926	8.72746e-05	0.000825649	0.000961278	9.67256e-05	7.85819e-06
s	0.354329	0.491226	0.071517	0.0195951	0.00859686	0.0163053	0.00593982	0.0088927	0.00221346	0.00578524	0.00382072	0.00957475	0.00220338
w	0.0474451	0.854609	0.0470448	0.0210661	0.015512	0.00592427	0.000632397	0.00309074	0.00201127	0.00117229	0.000214706	0.000150264	0.00112702
é	0.111038	0.732274	0.0734626	0.0135635	0.0323605	0.00974822	0.00112876	0.0143767	0.00720804	0.00124474	0.000694773	0.000492831	0.00240812
b	0.114629	0.188603	0.384028	0.0967071	0.0427279	0.0125382	0.00892959	0.0143729	0.0171273	0.0269673	0.0119599	0.00341703	0.0779934
á	0.16399	0.137607	0.36702	0.212007	0.0523938	0.0134594	0.019301	0.00734215	0.00159244	0.00637955	0.00552833	0.00199219	0.0113873
á	0.0634872	0.0636456	0.387284	0.274871	0.0959741	0.0225904	0.0146966	0.0096376	0.0123869	0.0145137	0.0112504	0.00394435	0.0257186
l	0.0212961	0.0181745	0.259792	0.379809	0.189363	0.0553274	0.028045	0.013111	0.00735753	0.0128923	0.00442478	0.00125876	0.0091485
ω	0.0150552	0.0274395	0.213399	0.346353	0.201552	0.0563608	0.0148671	0.0427742	0.0278475	0.0192966	0.00790323	0.00275274	0.0243991
n	0.0132938	0.0212896	0.208765	0.27803	0.247055	0.109638	0.0203099	0.0411876	0.0106393	0.0174	0.00628703	0.00271804	0.0233871
d	0.0353971	0.045288	0.210815	0.24988	0.302818	0.114678	0.00613443	0.0140612	0.00441405	0.00577955	0.00320876	0.00162283	0.00590265
ώ	0.0150265	0.0280166	0.278743	0.2074	0.232723	0.102566	0.0131596	0.0435822	0.00899027	0.0098667	0.00714829	0.00890873	0.0438689
ώ	0.00992224	0.00520923	0.143732	0.270022	0.334579	0.180605	0.0121805	0.00924036	0.00129435	0.00818404	0.00958223	0.00449384	0.0109545
e	0.00918713	0.00873835	0.0352557	0.110207	0.255268	0.402059	0.147553	0.0157505	0.00571952	0.00575026	0.00172953	0.0012375	0.00154441
m	0.00304682	0.00245836	0.0135073	0.0181225	0.0520496	0.152732	0.696604	0.0332027	0.0110793	0.00625877	0.00101698	0.00109012	0.00883206
b	0.00196668	0.00642459	0.0082615	0.00445248	0.0528953	0.144359	0.399257	0.24903	0.124959	0.00194731	0.000761584	0.00107435	0.00461109
í	0.000171131	0.0013156	0.00204341	0.00129211	0.00876455	0.0192875	0.906688	0.0417715	0.0153362	0.000625863	0.000276448	0.000472321	0.00195518
b	0.00209009	0.00227321	0.0101452	0.00954303	0.0212728	0.0217223	0.823677	0.0527198	0.0297504	0.00295418	0.0013717	0.00117782	0.0213026
á	0.0139611	0.00443075	0.0680034	0.0580552	0.0517165	0.107834	0.529441	0.0350905	0.0026837	0.0158977	0.00485052	0.0087497	0.0992866
a	0.010567	0.00211332	0.0701478	0.0872273	0.127868	0.20158	0.29347	0.128892	0.018556	0.0286816	0.0072369	0.00108581	0.0225736
d	0.00649772	0.00331388	0.0440245	0.0542844	0.043108	0.0932574	0.166234	0.35735	0.0581177	0.120532	0.0235466	0.00659744	0.0231364
z	0.00285848	0.00462929	0.0124379	0.0118305	0.0200353	0.0231477	0.0491557	0.403483	0.159226	0.159806	0.03259	0.00537513	0.115424
w	0.00196201	0.00388802	0.00474942	0.00217354	0.0139626	0.0395667	0.0742564	0.700025	0.124556	0.0163782	0.00298942	0.0010509	0.014442
á	0.00215006	0.000895684	0.00741859	0.00634791	0.0306842	0.0433592	0.137907	0.402187	0.150013	0.0687878	0.0370453	0.0105234	0.102681
o	0.00133923	0.000414125	0.00407896	0.00393481	0.0127617	0.0270415	0.0641243	0.390065	0.339836	0.084689	0.0352268	0.0224578	0.0140306
s	0.00106182	0.00282259	0.00642587	0.00421256	0.00444526	0.0182999	0.122346	0.341294	0.262462	0.1515	0.0198915	0.0483171	0.0169216
ú	0.000463935	0.00192813	0.0100104	0.0036399	0.00745763	0.0140136	0.00623909	0.326367	0.564701	0.0265706	0.00962022	0.0198353	0.00915282
á	0.00118506	0.0020158	0.0092377	0.014897	0.0184325	0.106347	0.0340491	0.474111	0.187873	0.102567	0.0187867	0.0177793	0.0127195
s	0.000530053	0.000223232	0.0043798	0.00523744	0.00777611	0.0121717	0.0138181	0.113617	0.0873617	0.326183	0.238942	0.0748706	0.114889
ó	0.00110189	0.00126711	0.00473022	0.00700909	0.00543042	0.00635616	0.00906702	0.0916894	0.12158	0.274623	0.120359	0.191508	0.165279
b	0.000604424	0.000290879	0.00463359	0.00352712	0.00505499	0.0148298	0.00238798	0.0334344	0.0851575	0.185139	0.125541	0.449242	0.0901578
h	0.00328056	0.00288823	0.00493125	0.0105929	0.00812485	0.00760461	0.00820018	0.0330933	0.0388114	0.156785	0.158019	0.505575	0.0620944
í	0.000774811	0.000262274	0.00110888	0.00239159	0.00160476	0.00230587	0.0287656	0.0219792	0.0353192	0.141534	0.0976086	0.271688	0.394658
á	4.33937e-05	5.55413e-05	0.000279375	0.000812581	0.000709635	0.00196236	0.00319852	0.0130654	0.0132542	0.257419	0.219994	0.244546	0.244661
</S>	0.000842316	0.000359071	0.00579441	0.00509392	0.00725492	0.00609496	0.00523366	0.0256462	0.0451212	0.218104	0.327066	0.130586	0.222804
