 	le	notable	okoumou	a	envoyé	les	masques	de	kyebé-kyebé	à	ongonza	</S>
m	0.453642	0.516024	0.0115784	0.00150863	0.00023207	0.00310754	0.00178507	0.00600266	0.00376619	0.00204021	0.000248776	6.49457e-05
w	0.00814268	0.969996	0.0074013	0.00233014	0.00125709	0.000694385	0.00445194	0.000604075	0.000129187	0.00134501	0.00029724	0.00335137
ε	0.0097017	0.985286	0.00414301	0.000232333	0.000162339	0.000108213	0.000208319	2.08623e-05	3.12652e-05	2.49212e-05	5.44115e-05	2.65151e-05
n	0.17363	0.594187	0.157888	0.0308957	0.00193144	0.00387658	0.00623875	0.00910046	0.000756426	0.00542222	0.000259367	0.0158142
έ	0.534699	0.327869	0.0390413	0.00693785	0.00642034	0.00908874	0.00613804	0.0195173	0.00805247	0.0120765	0.00838276	0.0217766
o	0.0916571	0.0455593	0.487518	0.0888947	0.0164964	0.0231214	0.0117379	0.0359826	0.00748562	0.0640674	0.000754999	0.126725
k	0.184249	0.0421603	0.290138	0.0938532	0.132442	0.0341212	0.0436665	0.0424378	0.0540241	0.0305698	0.00638219	0.0459562
ú	0.0787284	0.0834104	0.356673	0.107608	0.130339	0.0366949	0.0376547	0.0327027	0.0850766	0.0139755	0.00128743	0.0358495
m	0.0922488	0.288589	0.20885	0.017391	0.0247019	0.0165448	0.0287241	0.0605946	0.18278	0.0221558	0.0162843	0.0411353
ú	0.389993	0.0572267	0.35073	0.0886307	0.0159623	0.026073	0.010458	0.0195055	0.00390145	0.0257915	0.00137244	0.0103552
á	0.0176581	0.00253776	0.378693	0.388905	0.087204	0.0467056	0.0154535	0.0157418	0.00403962	0.022754	0.000977463	0.01933
t	0.0057293	0.00128288	0.0627	0.348495	0.431436	0.0559161	0.0147756	0.0169108	0.0127985	0.017631	0.00141013	0.0309145
í	0.00106382	0.000692054	0.0428592	0.125632	0.647106	0.0951063	0.0220879	0.0204455	0.017105	0.0141643	0.000999405	0.0127387
n	0.000766955	0.00155445	0.0824781	0.113804	0.639457	0.0491615	0.0117824	0.0105974	0.0193752	0.0124012	0.0011291	0.0574926
d	0.00361298	0.00192318	0.0789507	0.134329	0.589221	0.0620602	0.00976427	0.0124537	0.0283827	0.0136566	0.00514388	0.0605015
i	0.00580551	0.00216683	0.0382795	0.0853731	0.676994	0.0609863	0.0175968	0.00518686	0.0052117	0.00918838	0.0141601	0.0790511
o	0.0133343	0.000877067	0.0737124	0.219116	0.0988455	0.412226	0.0716956	0.0506818	0.00970489	0.0280638	0.0017723	0.019971
n	0.00165915	0.000529319	0.00441522	0.0170585	0.248933	0.227235	0.320543	0.0249922	0.140824	0.005448	0.00304307	0.00532083
g	0.00424479	0.00016207	0.0033339	0.0156557	0.512563	0.207861	0.110547	0.0221227	0.0553777	0.0106812	0.0224518	0.0349987
ó	0.00032949	0.000372573	0.00247923	0.0137284	0.589951	0.112796	0.121395	0.0146196	0.0623694	0.00396191	0.0623795	0.0156177
n	0.00221631	0.00123017	0.0226623	0.0362993	0.20178	0.313304	0.270666	0.0493018	0.0260334	0.0202399	0.0460018	0.0102653
d	0.00328279	0.00303643	0.0116175	0.0259614	0.0437857	0.141915	0.203472	0.0882365	0.351371	0.0213874	0.0087643	0.0971696
z	0.0108849	0.00959727	0.0188497	0.0192323	0.337691	0.194505	0.112814	0.0303495	0.129266	0.00963399	0.0285288	0.0986469
a	0.00280746	0.00615194	0.0107785	0.0274407	0.152059	0.0591196	0.0314776	0.0195789	0.420551	0.00521727	0.0160976	0.248721
a	0.00235359	0.000186054	0.00462107	0.0245667	0.02418	0.225047	0.241704	0.276056	0.118798	0.035994	0.00145175	0.0450419
k	0.0021681	0.000370953	0.00568957	0.0228504	0.0360084	0.151912	0.208522	0.15766	0.167513	0.122505	0.00844897	0.116351
ω	0.000315623	0.00069633	0.000820662	0.00163922	0.00393502	0.0688502	0.131407	0.0785443	0.538184	0.0903207	0.0053775	0.0799099
n	0.000365269	5.39575e-05	0.00101154	0.00367339	0.00641692	0.0669809	0.112494	0.204566	0.382984	0.0891844	0.0246705	0.107599
g	0.000754023	0.000633534	0.00136814	0.00433983	0.0108576	0.0539979	0.0933105	0.105778	0.409277	0.10854	0.0340901	0.177054
ώ	0.00229325	0.000168776	0.00140957	0.00302598	0.0241375	0.138242	0.116112	0.0485624	0.043782	0.0847874	0.331721	0.205758
m	0.000659705	4.38974e-05	0.0017056	0.00217979	0.00108804	0.0641622	0.0638887	0.104858	0.0191604	0.577468	0.0420109	0.122774
á	0.00271776	0.000853856	0.0151384	0.00847961	0.000408281	0.0372732	0.119114	0.12875	0.003366	0.375437	0.00862667	0.299835
f	0.00400816	0.000951896	0.00371143	0.00504298	0.00105134	0.0398731	0.0623201	0.0604111	0.00836852	0.287053	0.423316	0.103892
i	0.00369014	0.00662371	0.00484847	0.00317281	0.0018756	0.104207	0.120843	0.0763123	0.0719635	0.247709	0.142664	0.216091
a	0.000354061	0.000251243	0.00196513	0.00259119	0.00243127	0.0615607	0.0396326	0.11454	0.0912252	0.28927	0.0627732	0.333406
</S>	0.00103152	0.000104467	0.00294928	0.00580757	0.00120243	0.0269793	0.0321484	0.0699452	0.00514063	0.483344	0.0724296	0.298918
