 	les	chasseurs	ont	abattu	un	buffle	</S>
a	0.85197	0.146667	0.000941506	0.000119376	0.000196797	6.97339e-05	3.61042e-05
b	0.260512	0.679257	0.0273513	0.0293137	0.00130041	0.00110483	0.00116031
e	0.335173	0.578891	0.0208904	0.0562758	0.00211669	0.00299809	0.00365429
n	0.157139	0.76064	0.0179179	0.0230771	0.00164312	0.00244559	0.0371379
g	0.746754	0.134477	0.0518723	0.00466262	0.00532261	0.00348682	0.0534253
i	0.555862	0.301096	0.0759104	0.0186816	0.00742864	0.00231397	0.0387072
á	0.110753	0.0349325	0.7769	0.0372207	0.0220888	0.000489755	0.0176151
m	0.00395817	0.00847074	0.260466	0.545631	0.130253	0.0160282	0.035193
i	0.00242244	0.0019539	0.112864	0.596556	0.234903	0.0185648	0.0327361
b	0.00517768	0.0013707	0.0921223	0.68147	0.152343	0.0188566	0.0486596
o	0.000801333	0.00169278	0.011823	0.902067	0.0627349	0.0132737	0.00760725
m	0.000241079	0.000177131	0.00952173	0.776539	0.149932	0.00957086	0.054018
á	0.0219109	0.00143442	0.0810961	0.25041	0.385842	0.127383	0.131923
n	0.0187147	0.00145148	0.0500705	0.0440459	0.320589	0.41767	0.147459
d	0.00277951	0.000290128	0.00126326	0.00148235	0.0424808	0.927027	0.0246772
z	0.00205741	0.000152562	0.000786738	0.00215189	0.0530167	0.87007	0.0717651
á	0.0001446	8.31454e-05	0.000424929	0.00854667	0.0233569	0.921086	0.0463577
a	0.000125491	0.000315571	0.0023455	0.0239023	0.0490878	0.614639	0.309585
</S>	0.00306987	0.000165001	0.00318924	0.00575586	0.106816	0.149371	0.731634
