 	attention	à	ce	que	tu	fais	</S>
ω	0.617579	0.248083	0.0453563	0.0467298	0.0358629	0.00538741	0.00100124
b	0.156897	0.590771	0.081894	0.0467895	0.0231035	0.0453838	0.0551603
á	0.0190505	0.751707	0.0644088	0.078875	0.00325279	0.0564592	0.0262472
r	0.0155685	0.561203	0.0989099	0.0877883	0.00792321	0.0465171	0.18209
a	0.294016	0.416102	0.0470155	0.0727736	0.0374736	0.0209758	0.111643
a	0.320584	0.16567	0.238947	0.18363	0.0478044	0.00967828	0.0336867
l	0.0636776	0.0678228	0.215262	0.349888	0.179686	0.0397767	0.0838867
á	0.0342115	0.0497866	0.168242	0.175649	0.161807	0.0506235	0.359681
n	0.0460632	0.0566604	0.313338	0.248452	0.191251	0.0354558	0.10878
ω	0.0194707	0.0410578	0.0883326	0.150657	0.669708	0.01853	0.0122444
m	0.0458467	0.055912	0.344747	0.22912	0.206885	0.0379117	0.0795781
ó	0.0861622	0.0977048	0.475631	0.120284	0.0225129	0.020858	0.176847
y	0.0601439	0.064597	0.342288	0.259239	0.0769287	0.158147	0.0386556
έ	0.036983	0.0596832	0.411716	0.269638	0.0838033	0.114979	0.0231985
έ	0.00425529	0.00923243	0.271777	0.222263	0.14105	0.147655	0.203767
k	0.00380121	0.00891711	0.0565624	0.0929736	0.168545	0.486359	0.182843
y	0.00138743	0.0084616	0.0209369	0.0970077	0.0341106	0.575085	0.263011
á	0.00376145	0.00823927	0.034413	0.10472	0.0396811	0.559634	0.24955
n	0.00589033	0.0126339	0.0582898	0.141707	0.143506	0.243023	0.394949
ω	0.000732726	0.00816094	0.0192128	0.0555442	0.506293	0.228451	0.181605
</S>	0.000943479	0.00154262	0.034283	0.0426007	0.117457	0.0880574	0.715116
