 	le	marchand	est	arrivé	au	village	avec	un	ballot	d'	etoffe	</S>
o	0.642381	0.314157	0.0205716	0.00387152	0.00562515	0.000790776	0.00883915	0.00281527	4.04559e-05	0.000776038	0.000114478	1.83662e-05
k	0.00348016	0.995233	0.000476321	0.000118538	8.98465e-05	0.000106667	5.50178e-05	0.000109144	4.87624e-05	8.12257e-05	0.000100089	0.000101587
i	0.00304904	0.992395	5.70409e-05	0.00010072	0.00035841	0.00101155	0.000804185	0.000412747	8.94639e-05	0.000173903	0.00111987	0.000427721
r	0.00144077	0.985922	0.00142644	0.00038235	0.00125356	0.0029541	0.000949921	0.000944161	0.000907845	0.000769467	0.00184611	0.00120319
i	0.0267054	0.961075	0.00347965	0.000734749	0.000967617	0.00141117	0.000630153	0.000486039	0.000416822	0.000139198	0.00075479	0.00319901
m	0.151373	0.0739786	0.505933	0.0877883	0.0391348	0.0153437	0.0319202	0.0203036	0.00844685	0.0226881	0.00266877	0.0404205
y	0.554229	0.00625956	0.278606	0.0560698	0.0481142	0.00031124	0.00920575	0.0122406	0.000133127	0.00878763	0.000770449	0.0252724
e	0.26673	0.0804043	0.157846	0.279041	0.102867	0.0179381	0.00880148	0.0106046	0.00478622	0.00458393	0.00828424	0.0581128
r	0.254921	0.109266	0.284704	0.122471	0.0870279	0.00728363	0.00750715	0.0115712	0.00168717	0.00484547	0.00525837	0.103456
é	0.540535	0.0554405	0.104877	0.0963142	0.0946547	0.0122806	0.00740035	0.00992596	0.00218595	0.00295999	0.0123556	0.0610707
á	0.074735	0.00127685	0.300259	0.331843	0.203984	0.0371016	0.0192403	0.00770808	0.00259678	0.0131039	0.000531388	0.00761931
y	0.00799156	0.000900448	0.0497507	0.344213	0.351871	0.126596	0.052981	0.0215478	0.00951596	0.0190406	0.00359571	0.0119963
ε	0.0121387	0.00020819	0.0260953	0.452946	0.247496	0.15865	0.029027	0.0116971	0.0127302	0.00992544	0.00308366	0.0360021
ε	0.00448714	0.000333401	0.0396417	0.214809	0.394665	0.113415	0.0568641	0.0354136	0.0103976	0.0324049	0.00528497	0.0922839
l	0.00231475	0.000226511	0.0197351	0.185634	0.436064	0.105547	0.150355	0.0520064	0.00860363	0.0242439	0.00225852	0.0130109
a	0.00258889	0.000659888	0.014166	0.176401	0.292664	0.0981838	0.117918	0.0910619	0.0143447	0.0574316	0.0169209	0.11766
o	0.00293394	0.000380174	0.00587719	0.0375874	0.10809	0.164572	0.273801	0.221168	0.0333406	0.0678094	0.0095399	0.0749005
t	0.00125269	0.00262273	0.00293073	0.0126193	0.0602782	0.289142	0.142004	0.137759	0.206322	0.0403352	0.0814905	0.0232431
ú	0.00011196	0.000629032	0.000785534	0.00350493	0.0116088	0.390808	0.0485966	0.0581631	0.395579	0.0175798	0.0450084	0.0276252
ú	0.000301789	0.000287033	0.000120438	0.00107143	0.00656542	0.29712	0.0179333	0.0404557	0.59694	0.00815219	0.0131731	0.01788
g	0.00087735	4.98308e-05	0.000649227	0.00485986	0.0239282	0.0609384	0.116756	0.266677	0.229774	0.169116	0.0473524	0.0790212
h	0.00414612	0.000126059	0.000942956	0.00851571	0.0389547	0.0133782	0.225245	0.143883	0.0208669	0.123858	0.103479	0.316604
u	0.00503573	0.000333619	0.00089977	0.0132163	0.0652238	0.0170227	0.123833	0.330598	0.109599	0.135015	0.13259	0.0666333
m	0.000490954	3.52243e-05	0.000639238	0.00220277	0.0115872	0.00948909	0.106204	0.259235	0.0697384	0.336427	0.0687352	0.135216
á	0.00296757	9.28646e-05	0.00250656	0.00243257	0.00854335	0.00129448	0.031903	0.126475	0.00686358	0.170329	0.0587418	0.58785
i	0.00317257	0.000690757	0.00162975	0.00286421	0.00698878	0.00448322	0.0366103	0.0981642	0.0155713	0.253506	0.405305	0.171013
k	0.000594485	0.00026094	0.00142942	0.00192311	0.0046923	0.00561553	0.00891261	0.0196155	0.0340974	0.144087	0.593919	0.184852
á	4.86064e-05	0.00187175	0.000367293	0.000561007	0.00124489	0.0118168	0.00855236	0.011635	0.0692664	0.03417	0.819825	0.0406411
n	0.00102611	0.000899125	0.000208669	0.000521473	0.00184002	0.0340724	0.0110486	0.00598798	0.106462	0.028586	0.780977	0.0283702
d	0.0013749	0.00879532	0.000561564	0.00247801	0.0111027	0.00834457	0.0442564	0.0870002	0.022953	0.1668	0.51327	0.133064
á	0.0348577	0.0791468	0.0055134	0.0138972	0.042981	0.0101176	0.0633776	0.160354	0.0542412	0.217896	0.181868	0.135749
</S>	0.00919401	0.000603964	0.00423018	0.00477722	0.01348	0.00728596	0.0271858	0.071677	0.0241136	0.248127	0.154148	0.435177
