 	la	mère	et	l'	enfant	ont	mis	ensemble	leurs	poissons	pour	les	vendre	</S>
n	0.695595	0.0540317	0.0694062	0.0729821	0.0258121	0.0392229	0.0133867	0.019093	0.00310487	0.00113499	0.00307052	0.0019249	0.00120719	2.78592e-05
g	0.194018	0.789569	0.00405163	0.007174	0.00472015	0.000227703	2.48002e-05	1.40366e-05	6.78951e-05	1.18546e-05	3.08546e-05	7.00393e-05	1.51521e-05	5.04663e-06
ó	0.0092406	0.98663	0.000777203	0.00184295	0.00119091	0.000152575	4.92623e-05	2.04738e-05	2.3896e-05	1.6628e-05	2.08503e-05	1.18653e-05	2.1192e-05	1.20019e-06
o	0.00683217	0.957897	0.00308207	0.0152091	0.0159741	0.000219694	0.000328024	0.00015653	2.92955e-05	2.9764e-05	4.14179e-05	6.09857e-05	0.000116888	2.25413e-05
b	0.081514	0.030676	0.46099	0.291814	0.0300245	0.0550047	0.0120478	0.00466675	0.0082141	0.00471972	0.00657402	0.00838508	0.000518515	0.00485085
á	0.0922341	0.0106983	0.154165	0.0951967	0.00769845	0.217024	0.0551649	0.0816717	0.049237	0.0327268	0.0618837	0.0269308	0.0614619	0.0539066
a	0.347041	0.0306431	0.189718	0.165085	0.149088	0.0697266	0.0085135	0.00286326	0.0051697	0.00329048	0.00714175	0.0071623	0.000814977	0.0137428
l	0.0282074	0.00349362	0.397376	0.197275	0.0124514	0.0907827	0.159524	0.0349244	0.00885585	0.0157131	0.00862242	0.00224541	0.00204577	0.0384826
a	0.0242092	0.00289223	0.325287	0.311999	0.00304617	0.0539884	0.0961975	0.0305052	0.0198598	0.0270437	0.0277644	0.00730647	0.00117501	0.0687266
m	0.0580713	0.00526649	0.389752	0.292305	0.00916487	0.0694188	0.03874	0.0077472	0.0103596	0.0436391	0.0104965	0.00188278	0.000882356	0.0622736
w	0.0366449	0.00111218	0.0657363	0.225349	0.579242	0.0645073	0.00233537	0.00145046	0.00401214	0.00899029	0.00333503	0.00116129	3.02646e-05	0.0060939
á	0.00168729	2.70862e-05	0.0174918	0.0462588	0.906557	0.0066451	0.0033628	0.00843534	0.00290206	0.00164635	0.00141858	0.000670025	3.52105e-05	0.002863
n	0.00465124	5.92187e-06	0.00645443	0.0145059	0.959842	0.00685726	0.00101508	0.00251865	0.000553196	0.000102741	0.000543728	0.000527596	7.553e-06	0.00241427
a	0.0715286	0.00129824	0.0583713	0.365569	0.412023	0.0219042	0.00691141	0.00455006	0.00191539	0.00136542	0.00624189	0.00336999	0.000132835	0.0448191
á	0.00744212	0.00042456	0.0861258	0.133448	0.0266816	0.550349	0.11355	0.0205463	0.0225174	0.0121406	0.00871161	0.00891124	0.00159815	0.00755291
b	0.00318714	0.00143337	0.0252915	0.017775	0.00205559	0.208033	0.550097	0.0638828	0.0497189	0.0568863	0.00991269	0.00270659	0.000910555	0.00810909
v	0.000151374	1.40063e-05	0.0155327	0.00510315	0.00110515	0.0281614	0.603437	0.289202	0.0394585	0.00853669	0.00428791	0.000924005	0.00260042	0.0014857
u	0.00130591	7.01108e-06	0.00747421	0.00455546	0.0125263	0.0432002	0.461285	0.300155	0.124832	0.017228	0.0148882	0.00473065	0.00121129	0.006601
u	0.00207715	0.000549326	0.0657269	0.0211529	0.00862988	0.0433556	0.22117	0.403461	0.0932922	0.0432939	0.0459958	0.0111871	0.0137048	0.0264031
n	0.00123909	4.15779e-05	0.0152343	0.00620966	0.00244765	0.0469383	0.123428	0.328236	0.250056	0.0705621	0.0932559	0.0273091	0.00386773	0.0311741
g	0.0697686	0.000824961	0.08248	0.14795	0.0557929	0.0385368	0.0416483	0.10283	0.172851	0.0364899	0.0830562	0.0878936	0.000866709	0.0790114
u	0.00838315	0.00573762	0.0911763	0.340358	0.17756	0.0884587	0.0391514	0.0276717	0.111286	0.0242398	0.0249376	0.0322154	0.00121353	0.0276109
a	0.00261412	3.12533e-05	0.0114449	0.017264	0.00400782	0.0277463	0.0149664	0.0267369	0.402534	0.149845	0.179103	0.0859842	0.00355322	0.07417
s	0.000340941	3.2469e-05	0.00770343	0.00316824	0.000122539	0.00882479	0.0208938	0.0222546	0.259384	0.461124	0.142968	0.0482298	0.010921	0.0140322
w	0.00115079	0.000125377	0.0167406	0.00978082	0.000672517	0.00524034	0.00775311	0.00441567	0.096395	0.602139	0.0949157	0.039078	0.00239219	0.1192
é	0.00331016	0.000279418	0.0041875	0.00808386	0.00494101	0.00279211	0.00101653	0.00301591	0.069213	0.672096	0.144399	0.0368241	0.000666604	0.0491742
á	0.000101485	4.31231e-06	0.00152305	0.00131455	0.000124082	0.00439638	0.0133674	0.0284209	0.113599	0.374701	0.193996	0.094985	0.0404306	0.133037
b	0.00077013	6.67476e-05	0.00759363	0.00442673	0.000272796	0.00793841	0.0140167	0.0120006	0.0952686	0.158199	0.281852	0.251032	0.0755659	0.0909967
á	0.00135198	2.87965e-05	0.0245789	0.00825283	0.000810578	0.0120067	0.0132	0.0253512	0.071881	0.183139	0.223641	0.134643	0.223883	0.0772313
a	0.00162478	0.000325589	0.01464	0.0129547	0.00412224	0.00867338	0.00384008	0.00516047	0.0837918	0.112552	0.165447	0.248844	0.171152	0.166873
m	6.37829e-05	1.46232e-05	0.00161463	0.000829867	4.28642e-05	0.00162442	0.00494709	0.00534513	0.0119119	0.0774646	0.140877	0.0891292	0.277889	0.388246
í	9.08092e-06	1.30878e-05	0.00673574	0.0026775	0.00038454	0.00248104	0.00205926	0.0114938	0.0120814	0.266554	0.325026	0.122932	0.0708268	0.176726
k	5.31554e-05	1.40808e-05	0.00672749	0.00346366	7.87019e-05	0.00200467	0.0032327	0.00595435	0.0122988	0.0773925	0.166319	0.114845	0.320996	0.286621
i	8.37719e-06	7.18548e-06	0.00198384	0.000771553	7.35595e-06	0.000898392	0.0047069	0.00313311	0.00321406	0.0147415	0.0621123	0.0256416	0.8023	0.0804741
r	3.03209e-05	9.74852e-06	0.000562149	0.000491621	3.461e-05	0.000284392	0.00171665	0.00267637	0.0034553	0.0337943	0.0490741	0.0221805	0.741147	0.144543
a	6.98928e-05	2.33572e-06	0.000898849	0.000998007	8.95061e-05	0.000455475	0.00122014	0.00308275	0.00329777	0.0419581	0.142247	0.0670504	0.166505	0.572125
</S>	0.00017362	9.09178e-06	0.00101168	0.002363	0.000179049	0.000723041	0.000852925	0.00244639	0.00818999	0.0152196	0.106778	0.150544	0.253195	0.458315
