 	le	chasseur	a	raté	la	perdrix	</S>
o	0.979075	0.0195849	0.000627401	0.000140853	0.000521561	3.71799e-05	1.31692e-05
b	0.455891	0.537723	0.000762638	0.00359583	0.000710279	0.000629483	0.000687597
e	0.389354	0.6085	0.000158458	0.00145151	0.000356747	9.52492e-05	8.36292e-05
n	0.445987	0.534968	0.00315756	0.0027222	0.00118504	5.08949e-05	0.0119296
g	0.889798	0.0984764	0.00277035	0.00171927	0.0013099	0.000235202	0.00569101
i	0.730783	0.248027	0.00816349	0.00779123	0.00146244	0.0003056	0.00346758
á	0.35778	0.050602	0.449328	0.0625038	0.0309685	0.000982706	0.0478351
t	0.00259113	0.00244351	0.491757	0.478791	0.0132921	0.00227881	0.00884648
u	0.000394693	0.000514824	0.284486	0.672974	0.0249137	0.00790379	0.00881336
s	0.00359199	0.000135767	0.133105	0.805452	0.0454245	0.00655226	0.00573826
u	0.0042878	6.6553e-05	0.221748	0.602229	0.115403	0.0436028	0.0126623
e	0.00384615	0.000875829	0.0775648	0.105923	0.601907	0.132832	0.0770509
n	0.000216964	0.00104144	0.0287983	0.321269	0.344288	0.270572	0.0338139
g	0.00116869	0.000178653	0.00459755	0.235495	0.358059	0.329705	0.0707959
w	0.00125536	0.000459376	0.00274866	0.140538	0.110323	0.711637	0.033038
a	0.000167781	1.51971e-05	0.000307458	0.0291356	0.110735	0.769513	0.0901259
a	0.000446388	3.15438e-05	0.00710257	0.0371661	0.136213	0.373485	0.445555
l	0.000150329	1.02598e-05	0.0055217	0.0260038	0.278524	0.0469	0.64289
é	0.00191988	9.58281e-05	0.0145249	0.0633446	0.110317	0.359882	0.449915
</S>	0.000891404	4.47031e-05	0.00811292	0.0450125	0.152378	0.306405	0.487155
