 	son	travail	est	achevé	il	peut	partir	</S>
i	0.860809	0.129032	0.00371741	0.00181072	0.00154179	0.00291586	8.40192e-05	8.9284e-05
s	0.0162799	0.970306	0.0047598	0.00346847	0.00206509	0.00223947	0.000584366	0.000297086
á	0.141416	0.78859	0.0288122	0.0161468	0.00766834	0.00324958	0.0107861	0.00333038
l	0.0996398	0.442535	0.0369448	0.0354939	0.0132713	0.00791415	0.0274705	0.33673
a	0.226148	0.40819	0.0764467	0.0503386	0.0407489	0.00966002	0.00997233	0.178495
l	0.342595	0.159615	0.370916	0.0745706	0.0247909	0.00818407	0.00290434	0.0164246
á	0.0705501	0.0852046	0.162653	0.128295	0.109699	0.0300156	0.0325144	0.381069
w	0.186164	0.0894819	0.218903	0.218281	0.117397	0.0405392	0.0227864	0.106448
a	0.151593	0.0544068	0.333564	0.132993	0.164215	0.0543372	0.0370276	0.0718637
í	0.0315193	0.0291639	0.446487	0.28917	0.117571	0.0276398	0.00945127	0.0489969
m	0.00555873	0.0181532	0.294614	0.370694	0.241509	0.0384694	0.0068564	0.0241451
i	0.00139041	0.00566626	0.192491	0.315648	0.402783	0.0561098	0.00557127	0.0203406
s	0.00069553	0.00472216	0.0322249	0.49431	0.312265	0.136756	0.00851294	0.0105139
í	0.000822571	0.00838607	0.053372	0.536775	0.286487	0.0584507	0.0254675	0.0302392
a	0.0020355	0.000867029	0.0920886	0.272599	0.41475	0.0619843	0.0232046	0.132471
a	0.00197136	0.000913405	0.0380041	0.0855898	0.550583	0.277981	0.0204444	0.0245123
b	0.00228824	0.00389735	0.0210204	0.061289	0.309776	0.505567	0.0621158	0.0340469
h	0.00177623	0.00127211	0.00466353	0.0287492	0.190114	0.631288	0.0448061	0.0973317
i	0.000979773	0.000458217	0.00619193	0.0377092	0.145498	0.604091	0.0183645	0.186707
l	0.00227296	0.000118721	0.00854173	0.0165793	0.141055	0.511409	0.0434441	0.276578
á	0.00430111	0.00133706	0.00731141	0.0202224	0.120228	0.159482	0.329224	0.357894
a	0.021772	0.00615247	0.0351898	0.0198111	0.0525982	0.0796562	0.662067	0.122753
b	0.00108658	0.00407001	0.00572407	0.0136487	0.0339331	0.138282	0.743175	0.0600807
h	0.000448142	0.00338627	0.0145206	0.0319919	0.0564679	0.599635	0.208037	0.0855136
e	0.000208831	0.000625342	0.00487516	0.021279	0.0570996	0.668645	0.141898	0.105369
r	0.00206899	0.00031283	0.00390113	0.00671893	0.0515592	0.377329	0.18562	0.37249
á	0.00104446	0.000140452	0.00191185	0.00371098	0.0422746	0.216769	0.312241	0.421908
ω	0.0293544	0.00321252	0.0278439	0.0268571	0.0772894	0.0683376	0.468024	0.299082
d	0.00309032	0.00803795	0.0241041	0.0350236	0.0611795	0.0878813	0.52203	0.258653
z	0.000436395	0.00224506	0.0515747	0.049153	0.0441182	0.0453144	0.55996	0.247198
w	0.000433197	0.00064739	0.0294174	0.0110427	0.0311934	0.0336123	0.800222	0.0934321
a	0.00145576	0.000566974	0.00690948	0.0122078	0.0470086	0.164683	0.456247	0.310922
</S>	0.00242285	0.00015216	0.0105132	0.0110304	0.022833	0.035109	0.172008	0.745932
