 	ce	fer-ci	est	rouillé	</S>
e	0.652852	0.343778	0.00219079	0.00110648	7.27392e-05
b	0.45289	0.508292	0.0251983	0.0116412	0.00197882
e	0.111841	0.873943	0.00705092	0.0059179	0.00124778
n	0.0818536	0.887362	0.00918618	0.00406539	0.0175328
d	0.435764	0.51362	0.00847278	0.00474355	0.0373997
é	0.63981	0.24169	0.0162689	0.00222459	0.100006
y	0.683366	0.0178184	0.242148	0.0268106	0.0298574
é	0.756038	0.0891628	0.113251	0.0061424	0.0354058
é	0.789131	0.0548213	0.0874135	0.0369476	0.0316867
b	0.10297	0.0279637	0.574589	0.19611	0.0983662
h	0.0590257	0.282008	0.420836	0.115517	0.122613
í	0.0233567	0.0698853	0.414067	0.188737	0.303954
l	0.0606899	0.0358987	0.450415	0.0964973	0.356499
a	0.0149593	0.00268356	0.274382	0.320961	0.387014
k	0.0515369	0.0062359	0.0600649	0.584473	0.29769
ó	0.011056	0.00346921	0.0550434	0.814073	0.116359
n	0.00271035	0.00107432	0.157812	0.618496	0.219908
g	0.0348694	0.0120911	0.0360358	0.30099	0.616013
a	0.034727	0.0222999	0.00233366	0.185712	0.754928
</S>	0.0338249	0.00369849	0.0850497	0.148865	0.728562
