 	il	a	amené	son	frère	avec	lui	</S>
w	0.880576	0.061665	0.0244357	0.0173579	0.00702735	0.00615125	0.00234902	0.000437422
a	0.599582	0.175901	0.0676051	0.116129	0.0123479	0.0188133	0.00919991	0.000422617
á	0.190209	0.449531	0.193588	0.0737926	0.0141255	0.0266563	0.00935293	0.0427452
y	0.0852016	0.31014	0.380935	0.0742396	0.0301465	0.0463425	0.0173703	0.0556238
ε	0.0271772	0.449433	0.300345	0.076089	0.00957977	0.01018	0.00664771	0.120548
ε	0.0308474	0.269735	0.220359	0.234555	0.0167309	0.0215234	0.0101351	0.196115
b	0.032896	0.188122	0.344549	0.309069	0.0229671	0.03118	0.0205364	0.0506807
á	0.102683	0.184924	0.331965	0.269977	0.0266774	0.0246618	0.0308274	0.0282842
a	0.0907476	0.152903	0.385572	0.169277	0.0396039	0.0323054	0.0444603	0.0851314
l	0.00768665	0.0406422	0.216161	0.350936	0.17019	0.162745	0.0250281	0.0266115
a	0.00823282	0.0586079	0.0362938	0.225827	0.177487	0.0906648	0.0835127	0.319374
m	0.0115079	0.0418462	0.0448707	0.406621	0.14435	0.163969	0.120039	0.0667968
w	0.00450918	0.00617224	0.00344413	0.0804152	0.491125	0.170732	0.109077	0.134527
á	0.00396289	0.0071741	0.00959337	0.10662	0.282699	0.0730948	0.382849	0.134007
n	0.0636702	0.0165946	0.105663	0.225759	0.0865731	0.159353	0.19216	0.150226
a	0.0724113	0.136524	0.0569254	0.250688	0.0520832	0.0589206	0.161815	0.210633
n	0.00816684	0.0420661	0.0804931	0.213028	0.0719273	0.309901	0.156374	0.118044
g	0.0268339	0.0575317	0.0115834	0.0685109	0.0165566	0.0745792	0.229107	0.515297
ó	0.00408188	0.0282806	0.0121261	0.131652	0.0309271	0.133829	0.291902	0.367202
o	0.000888862	0.00439551	0.00265957	0.158156	0.0742124	0.0785961	0.262315	0.418776
</S>	0.00233652	0.00802326	0.0107908	0.0890005	0.0911132	0.436353	0.211931	0.150451
