 	même	s'	il	pleut	aujourd'	hui	j'	irai	en	forêt	</S>
s	0.727451	0.147483	0.0151541	0.00317448	0.0810675	0.018197	0.00675658	5.90971e-05	0.000366654	0.000260509	3.00513e-05
i	0.382732	0.22127	0.0304042	0.2119	0.0525716	0.00247287	0.0735513	0.000736272	0.00553107	0.002424	0.0164068
m	0.49676	0.376683	0.0384519	0.0249971	0.0430874	0.00462922	0.013536	0.000663847	0.000314398	0.000466021	0.00041119
b	0.138543	0.391789	0.22352	0.0201534	0.0739738	0.00674243	0.00708226	0.00380645	0.0113763	0.000569238	0.122444
v	0.130694	0.483399	0.292312	0.0367603	0.0282689	0.00246349	0.00232524	0.00443883	0.00335855	0.0014581	0.0145207
ú	0.145212	0.492477	0.20063	0.0600346	0.0100204	0.000517579	0.00164503	0.00186202	0.00370387	0.000613267	0.0832841
á	0.229307	0.367738	0.157293	0.183744	0.00404604	9.8587e-05	0.00596127	0.00450194	0.00614105	0.00080065	0.0403685
á	0.124457	0.259826	0.34972	0.0800107	0.0284548	0.0187131	0.0716474	0.00539585	0.0330986	0.00275675	0.0259196
n	0.0309735	0.0959402	0.181992	0.537277	0.00797435	0.00709202	0.0382425	0.0258166	0.0491211	0.00844316	0.0171279
ώ	0.00996146	0.0767323	0.066491	0.763082	0.00109708	0.000313193	0.0682529	0.00125568	0.0035864	0.000883173	0.00834441
ω	0.0272599	0.134507	0.169421	0.593906	0.00660493	0.000387362	0.0425203	0.00515128	0.0101598	0.00369681	0.00638551
p	0.0375229	0.0782657	0.222483	0.308827	0.178613	0.103545	0.0359917	0.00426886	0.0165872	0.00458423	0.00931165
á	0.0157795	0.0222575	0.0692657	0.073349	0.147349	0.520025	0.00737215	0.0575008	0.00985509	0.0130453	0.0642007
b	0.00460922	0.00452734	0.00733494	0.0081447	0.0700208	0.861572	0.00529447	0.0132007	0.00127714	0.00225441	0.0217647
h	0.00301994	0.00307699	0.0159442	0.0483909	0.270838	0.537427	0.0190626	0.016247	0.0112495	0.00851205	0.0662315
a	0.024739	0.0219159	0.0662748	0.136871	0.0793251	0.282255	0.0169238	0.0302652	0.0103255	0.0125879	0.318517
n	0.00697821	0.00913062	0.033459	0.0852731	0.271708	0.13016	0.410693	0.00748583	0.0209873	0.0023753	0.0217497
g	0.0136983	0.0678367	0.0617489	0.43878	0.0170434	0.00285669	0.315056	0.0021686	0.0048716	0.0012901	0.0746498
á	0.000252746	0.00181584	0.00460004	0.175509	0.015235	0.00338059	0.780085	0.00357516	0.00300357	0.002247	0.0102956
l	0.00150415	0.00190235	0.00946071	0.0271204	0.509356	0.0918411	0.30246	0.0207604	0.0191184	0.00742379	0.0090526
í	0.00536722	0.00659224	0.0143971	0.0231663	0.0347239	0.00662585	0.47298	0.161601	0.0630676	0.0172869	0.194192
i	0.00744681	0.00521516	0.0225186	0.0253668	0.132831	0.0654251	0.246702	0.150517	0.182788	0.0894858	0.0717035
d	0.00126958	0.00229726	0.00438489	0.010872	0.00258099	0.00213483	0.0100147	0.889657	0.0329566	0.0330241	0.0108082
z	0.000668114	0.00222278	0.00703104	0.0162821	0.00191235	0.000384796	0.0129493	0.822247	0.0752926	0.0385047	0.022505
w	0.000832018	0.00150878	0.00283848	0.00856539	0.0110854	0.00107725	0.0166589	0.93258	0.0156251	0.00174892	0.00747927
a	0.00235757	0.00291443	0.0184046	0.0131087	0.0334292	0.00201452	0.00367393	0.267484	0.218331	0.01467	0.423612
k	0.000504587	0.000531138	0.00202772	0.00324264	0.0213917	0.00724768	0.0252298	0.101226	0.353747	0.0613384	0.423513
ώ	0.000959232	0.000939567	0.00142892	0.00156349	0.00264064	0.00380993	0.00145852	0.442225	0.0294779	0.40018	0.115316
</S>	0.000101434	7.68716e-05	0.000145947	0.00104733	0.00335496	0.00124534	0.00154617	0.027945	0.021243	0.891211	0.0520834
