 	chacun	a	sa	manière	de	se	prosterner	</S>
m	0.604875	0.112234	0.0145312	0.0642174	0.0982501	0.0972751	0.00775116	0.000865758
o	0.450433	0.209969	0.0221154	0.0109416	0.0891785	0.139121	0.0428745	0.0353661
r	0.904173	0.0529557	0.00221068	0.00184571	0.0010015	0.00268477	0.0168981	0.0182303
o	0.431205	0.0969832	0.0708825	0.1061	0.0457749	0.0770464	0.152932	0.0190762
l	0.60049	0.218739	0.0339656	0.0372492	0.0274892	0.0321822	0.00666725	0.0432174
a	0.117958	0.0849635	0.134699	0.0626914	0.110369	0.0959577	0.00614468	0.387216
m	0.143727	0.303854	0.11314	0.135853	0.0531946	0.0908291	0.0275521	0.13185
o	0.0953943	0.561012	0.0938088	0.0614944	0.0199122	0.036535	0.015493	0.116351
r	0.13134	0.576115	0.0792765	0.0399826	0.0183597	0.0455965	0.0244264	0.0849038
o	0.291055	0.436195	0.0713498	0.0551472	0.0187603	0.015915	0.0415776	0.0700009
a	0.0160631	0.17326	0.315683	0.262328	0.104677	0.0540877	0.0140066	0.0598945
d	0.00612967	0.157705	0.27222	0.110656	0.186525	0.144612	0.033906	0.0882466
í	0.000245108	0.0537601	0.405767	0.0468309	0.0823349	0.0341563	0.00530343	0.371603
l	0.000380585	0.0911998	0.290512	0.0669269	0.0936992	0.0777445	0.0170766	0.36246
e	0.000443835	0.0264928	0.161206	0.0917026	0.11019	0.0775714	0.0290915	0.503302
k	0.00192555	0.0541086	0.093402	0.088437	0.111952	0.0956146	0.341705	0.212856
ú	0.00147133	0.0353411	0.0615465	0.0357269	0.0455012	0.058189	0.5678	0.194424
r	0.000936354	0.0123512	0.0136268	0.0091053	0.00608002	0.0194621	0.850021	0.0884169
ú	0.00273111	0.0369912	0.0305477	0.048438	0.0111442	0.0416972	0.757176	0.0712744
m	0.00065905	0.0132169	0.0473837	0.0431579	0.129751	0.241815	0.297362	0.226655
ú	0.0010299	0.0214587	0.101998	0.0744781	0.113603	0.162092	0.395008	0.130333
l	0.000812136	0.0118237	0.0383268	0.0102185	0.112985	0.136975	0.0516285	0.63723
ú	0.00372637	0.0182535	0.0964848	0.0383487	0.336508	0.249262	0.0275065	0.22991
y	0.00024677	0.00501684	0.0470449	0.0135281	0.105617	0.130532	0.0243961	0.673617
á	0.00165138	0.0114523	0.219574	0.052105	0.132705	0.248194	0.0741485	0.260169
w	0.00120592	0.00613129	0.136727	0.0611998	0.147237	0.353099	0.0463844	0.248015
a	0.00150369	0.00831576	0.0969949	0.0409102	0.0796287	0.301131	0.231773	0.239743
</S>	0.000620801	0.00179531	0.0133761	0.00682712	0.0546104	0.226833	0.056027	0.63991
