 	les	têtards	à	grosse	tête	plate	nagent	dans	l'	étang	</S>
a	0.589876	0.357676	0.0261235	0.00672111	0.0169203	0.000543526	0.000141581	0.000557627	0.000878584	0.000435339	0.000125838
t	0.0464529	0.392605	0.0234583	0.459722	0.0183798	0.00343537	0.00769925	0.0145712	0.019451	0.012555	0.00167029
ú	0.00418807	0.330522	0.0149903	0.513118	0.0778534	0.00129029	0.00319077	0.01052	0.00389621	0.0345557	0.00587603
t	0.0232207	0.277685	0.0135301	0.648115	0.0111121	0.000299133	0.00960363	0.00721375	0.00539603	0.00141156	0.00241307
u	0.309702	0.163088	0.0185731	0.20536	0.0185907	0.001712	0.00382915	0.0638459	0.0378218	0.0211193	0.156357
l	0.0574976	0.035666	0.225673	0.195883	0.165058	0.0735539	0.0449119	0.0622929	0.0342799	0.00148297	0.103701
ú	0.11273	0.0301274	0.171237	0.225175	0.0487325	0.0382742	0.0323536	0.0437652	0.0589194	0.00398979	0.234696
m	0.121038	0.070189	0.329009	0.160685	0.132297	0.0569415	0.0267886	0.0231919	0.0264823	0.00251481	0.0508639
á	0.108058	0.0328234	0.150279	0.145797	0.010061	0.132292	0.325064	0.0302465	0.0263684	0.000362131	0.0386488
a	0.0243226	0.0359526	0.0913108	0.227589	0.19825	0.205831	0.147537	0.0291201	0.0208015	0.00490315	0.0143822
b	0.00137529	0.00366692	0.0160543	0.0587093	0.0789426	0.107023	0.569761	0.120719	0.0146857	0.01169	0.0173737
h	0.00235408	0.00833339	0.00865908	0.013642	0.108479	0.0938951	0.600023	0.140137	0.0168657	0.00185407	0.00575692
é	0.000920944	0.00424673	0.00821777	0.0126601	0.105386	0.0251201	0.747708	0.084677	0.0049698	0.000655654	0.00543817
m	0.00391929	0.00641332	0.0629164	0.0440763	0.0500214	0.235764	0.269125	0.215917	0.0764377	0.00675286	0.0286565
b	0.0740961	0.0369976	0.0749814	0.0269233	0.0248013	0.172639	0.154665	0.188009	0.167911	0.00183107	0.0771445
á	0.0178358	0.0187924	0.0746736	0.0548911	0.0273154	0.0324254	0.261853	0.263958	0.149014	0.00320487	0.0960366
s	0.00998622	0.0092681	0.0442166	0.00684187	0.00861674	0.359392	0.0381103	0.192266	0.292257	0.0061513	0.0328933
é	0.0403689	0.00358539	0.0276157	0.0472032	0.0110533	0.0201956	0.0435582	0.306536	0.267518	0.0881453	0.144221
t	0.0590056	0.00396567	0.0132245	0.0111974	0.00774285	0.0112122	0.00310955	0.0256962	0.0739758	0.765084	0.025786
ó	0.000682244	0.000579505	0.000462626	0.00135907	0.00379872	0.00108909	0.000477917	0.0225139	0.0128469	0.943419	0.0127708
n	0.000182935	0.00021779	0.00145268	0.00373089	0.0189851	0.00288316	0.0106844	0.105369	0.0527079	0.725288	0.0784986
g	0.00552937	0.00611848	0.00844171	0.0150062	0.0145984	0.00575555	0.0283042	0.144623	0.176167	0.354128	0.241328
o	0.00278204	0.00326599	0.00324787	0.00325721	0.00138977	0.000459549	0.000907443	0.0073824	0.0213349	0.744002	0.211971
</S>	0.00155851	0.00104418	0.00285091	0.00420634	0.00384975	0.00187901	0.00459628	0.0391322	0.112709	0.133337	0.694836
