 	ils	se	sont	associés	pour	faire	le	travail	</S>
b	0.891198	0.0940834	0.00868713	0.00119952	0.00154331	0.000856954	0.00147477	0.000917848	3.92277e-05
á	0.86042	0.0787905	0.0230245	0.00716031	0.00805872	0.0071402	0.0127628	0.00227573	0.000367241
a	0.819685	0.156346	0.0133791	0.00380464	0.00166189	0.000978126	0.00139769	0.000801017	0.00194691
á	0.0262066	0.447954	0.459808	0.017352	0.00727226	0.00331347	0.00328525	0.00157545	0.0332328
b	0.00134581	0.0455328	0.210805	0.660588	0.0350947	0.0205405	0.00868293	0.00852462	0.00888523
ω	0.003566	0.118928	0.153983	0.4888	0.118128	0.0501295	0.0143252	0.00776016	0.044379
n	0.0145349	0.115081	0.0452405	0.487637	0.184097	0.0904728	0.035539	0.0122104	0.0151877
g	0.022045	0.112143	0.158216	0.405204	0.157279	0.0810939	0.0356486	0.0101096	0.0182611
i	0.0966597	0.090601	0.164746	0.298994	0.180879	0.0787747	0.0437216	0.010903	0.0347206
e	0.0154165	0.0387451	0.128047	0.0703312	0.386207	0.146893	0.1498	0.0250248	0.0395361
k	0.00135982	0.0023906	0.00289671	0.0440793	0.319769	0.41614	0.10455	0.0988614	0.00995296
ó	0.000681747	0.000644855	0.0010219	0.0300632	0.226854	0.63699	0.028055	0.064377	0.011313
r	3.99713e-05	0.00552794	0.00318087	0.190161	0.17375	0.510095	0.0351643	0.0547941	0.0272874
í	0.000190691	0.00434043	0.00254267	0.0420115	0.332679	0.432575	0.0404067	0.0143652	0.130888
í	0.00072738	0.00774652	0.0131682	0.0227668	0.21303	0.262748	0.295643	0.0773588	0.106812
m	0.000943623	0.0025676	0.00888838	0.0104014	0.0730688	0.100256	0.373638	0.384015	0.0462213
ó	0.00128372	0.00550397	0.00804329	0.00704966	0.0693658	0.0566919	0.517144	0.0981737	0.236744
i	0.000209991	0.00105406	0.0018519	0.00439366	0.0350053	0.0579217	0.245971	0.603863	0.0497297
s	3.6202e-05	0.000530283	0.000483073	0.00302956	0.0251123	0.0917228	0.146442	0.628152	0.104492
á	8.52651e-05	0.00151671	0.00229401	0.0121544	0.0299377	0.100142	0.153826	0.675346	0.0246978
l	0.000126573	0.00151412	0.0025621	0.0143428	0.0120794	0.0400515	0.067039	0.75349	0.108794
a	9.94582e-05	0.00204074	0.000630642	0.00637968	0.0572856	0.226914	0.1415	0.300643	0.264507
</S>	6.40632e-05	0.00135069	0.0014081	0.00376957	0.0231872	0.0522793	0.184162	0.136469	0.59731
