 	l'	argument	que	tu	as	avancé	n'	est	pas	pertinent	</S>
k	0.310297	0.502011	0.0902145	0.030867	0.0177601	0.00891407	0.0103911	0.0084111	0.0153121	0.00392299	0.00189899
i	0.0262798	0.949355	0.00206582	0.00101068	0.000461203	0.0030155	0.00158678	0.00355945	0.00410251	0.00796626	0.000597194
á	0.0114012	0.868406	0.0325223	0.01586	0.00154578	0.0239395	0.00961332	0.00874746	0.00524129	0.0110479	0.0116751
y	0.0909141	0.061393	0.602346	0.0709012	0.0487614	0.0135944	0.00843265	0.00662714	0.00683896	0.00147749	0.0887133
é	0.0774368	0.0295509	0.406313	0.131085	0.139441	0.036177	0.0201038	0.0240173	0.0143658	0.000569646	0.120939
é	0.0985943	0.00647008	0.442041	0.198421	0.17409	0.0117238	0.00705369	0.0055801	0.0151994	0.000517694	0.0403089
p	0.0134617	0.00548573	0.116042	0.238149	0.0971744	0.365713	0.050829	0.041243	0.00948769	0.00544513	0.0569703
έ	0.00283619	0.0155939	0.0338027	0.0591675	0.00671622	0.598486	0.0971251	0.0535711	0.00559158	0.0777594	0.0493507
n	0.0263656	0.0100835	0.159321	0.161085	0.0597837	0.202163	0.0521683	0.0423768	0.0607136	0.0228525	0.203087
ω	0.0251995	0.00619938	0.203257	0.3123	0.12751	0.0232929	0.020286	0.0335943	0.179937	0.00473623	0.0636871
é	0.00605544	0.000684832	0.456817	0.172753	0.206128	0.0476014	0.0317514	0.0131422	0.0345947	0.00267745	0.0277948
d	0.00393721	0.00215854	0.0579289	0.118072	0.167871	0.386776	0.170985	0.0426501	0.0133232	0.0140676	0.0222308
í	0.000660602	0.00017945	0.0159801	0.0627877	0.0891994	0.455357	0.145592	0.0850601	0.0145771	0.00086524	0.129742
o	0.00172871	0.000152194	0.0617775	0.0726582	0.118049	0.158995	0.26091	0.124053	0.100096	0.0285549	0.0730254
d	0.000554882	0.0012907	0.000542007	0.0024217	0.00345362	0.451283	0.187303	0.0850685	0.00503666	0.246541	0.0165045
z	0.000933615	0.000963837	0.00111679	0.00267519	0.00524745	0.524911	0.162572	0.134926	0.0254725	0.0368121	0.104369
a	0.000499786	0.000717047	0.00226762	0.0114197	0.0180098	0.806995	0.0757533	0.024318	0.00340093	0.0203062	0.0363129
m	0.000629698	5.37427e-05	0.00506145	0.00924946	0.0207044	0.0860699	0.118573	0.240008	0.193693	0.0373355	0.288622
ó	0.000749223	0.000111147	0.00228342	0.00312277	0.0057871	0.118414	0.132124	0.183702	0.120231	0.151084	0.282392
k	0.00197981	0.00104109	0.00643227	0.00888417	0.00893101	0.0401834	0.0994902	0.148888	0.139803	0.383921	0.160446
ó	0.000567909	0.00455846	0.000680031	0.00056762	0.000209147	0.00369816	0.0121711	0.0400665	0.0412413	0.843006	0.0532339
ó	3.24671e-05	0.000994598	0.000396785	0.000636386	0.000162603	0.00669688	0.0125429	0.0205648	0.0135753	0.907229	0.0371683
k	0.000280187	0.000235295	0.00288774	0.000696064	0.00101375	0.00626435	0.0357819	0.162527	0.194352	0.167956	0.428006
a	0.00542247	0.00873162	0.0100934	0.00298261	0.00159279	0.00184877	0.0107971	0.0765505	0.28096	0.321628	0.279392
á	0.000455171	0.00115037	0.00191617	0.00119042	0.0013239	0.00339022	0.01102	0.0487531	0.0691993	0.175108	0.686493
</S>	0.00249984	0.00101336	0.0292328	0.018458	0.0477759	0.0201625	0.022715	0.0894925	0.184142	0.0374207	0.547087
