 	approche-toi	de	la	table	</S>
b	0.620935	0.281796	0.0935432	0.00318667	0.000538652
h	0.814861	0.129129	0.0519591	0.00239938	0.00165115
ε	0.768112	0.168836	0.0160462	0.0203404	0.0266652
n	0.833437	0.142482	0.0162168	0.000232872	0.00763162
έ	0.69522	0.268417	0.0194023	0.000640313	0.0163197
έ	0.167293	0.529058	0.281789	0.00184906	0.0200119
l	0.229859	0.428973	0.244572	0.0153175	0.0812793
a	0.274364	0.462831	0.166474	0.0116134	0.0847174
m	0.196048	0.349961	0.240964	0.136833	0.0761938
é	0.0278291	0.0565981	0.0434137	0.72421	0.147949
s	0.056352	0.222279	0.144612	0.46514	0.111617
á	0.00644125	0.0901257	0.301736	0.358962	0.242735
</S>	0.00128028	0.00966674	0.0849465	0.635613	0.268494
