 	il	est	venu	me	demander	du	sel	</S>
w	0.855553	0.120042	0.00722692	0.00514076	0.0029527	0.00809864	0.000846037	0.000139693
a	0.867742	0.0926271	0.00197004	0.0253754	0.000143126	0.0108762	0.00124585	1.97985e-05
á	0.198621	0.437345	0.239451	0.088066	0.00602834	0.0246385	0.0022875	0.00356159
y	0.0252153	0.30728	0.461005	0.1096	0.0221638	0.0429507	0.00906645	0.0227191
ε	0.00915625	0.0621782	0.600581	0.185855	0.0105335	0.0162231	0.00451396	0.110959
i	0.0259438	0.118097	0.322478	0.347957	0.0311738	0.0476103	0.0035848	0.103156
o	0.0569604	0.0886269	0.284423	0.440572	0.0229066	0.0249267	0.0046245	0.07696
l	0.00313571	0.0359658	0.0717648	0.230092	0.593174	0.0204967	0.0314663	0.0139051
a	0.00026853	0.0216081	0.0165504	0.0735005	0.747755	0.0122749	0.0303816	0.0976614
n	0.0035186	0.0318463	0.0266781	0.0845179	0.467164	0.021701	0.118074	0.2465
g	0.00738896	0.0704735	0.0652061	0.247459	0.297263	0.0445976	0.0439312	0.22368
á	0.136625	0.134179	0.0261128	0.249434	0.0498835	0.0485732	0.0574779	0.297715
o	0.0556612	0.0326298	0.0522456	0.349104	0.0865861	0.322086	0.0633737	0.0383147
k	9.15002e-05	0.00130992	0.00074221	0.0197993	0.7359	0.0540769	0.183437	0.0046432
w	9.26179e-06	0.000109859	0.000127921	0.0017641	0.835724	0.0521771	0.0972498	0.0128377
á	0.000129859	0.000656176	0.000542912	0.00983793	0.587794	0.114813	0.149485	0.136741
l	0.00823686	0.0105392	0.00697609	0.144453	0.144023	0.202168	0.163902	0.319701
a	0.00178792	0.00273991	0.00476063	0.0556473	0.0977285	0.131926	0.100674	0.604737
n	0.0106828	0.00678935	0.00231525	0.323315	0.0159133	0.295978	0.238204	0.106802
g	0.00899659	0.0052486	0.000676107	0.483925	0.0120821	0.277712	0.101242	0.110118
á	0.00127899	0.00262272	0.00117785	0.394923	0.00858876	0.224193	0.194551	0.172665
</S>	0.00192084	0.0024854	0.000680818	0.0310379	0.0168143	0.339205	0.233805	0.374051
