 	l'	aigle	s'	envole	</S>
m	0.716383	0.280218	0.00309442	0.000156412	0.000148065
b	0.174432	0.774746	0.0243312	0.000270938	0.0262207
e	0.121472	0.875572	0.00133093	0.000810132	0.000814027
m	0.0986181	0.880018	0.00414831	0.000662813	0.0165525
b	0.275708	0.700439	0.0108124	0.000864786	0.0121763
e	0.095286	0.857917	0.0093884	0.0018424	0.035566
l	0.144896	0.0313856	0.686069	0.0160469	0.121603
á	0.0754271	0.0209071	0.338706	0.0149023	0.550057
a	0.427575	0.0391005	0.384482	0.0653955	0.0834473
f	0.00664276	0.0300089	0.382506	0.545381	0.0354604
u	0.00110235	0.00615224	0.0603871	0.879428	0.0529307
m	0.00154414	0.00159445	0.0477705	0.530569	0.418522
b	0.115791	0.00664104	0.519002	0.0307485	0.327817
a	0.0252604	0.0151241	0.0336831	0.0372873	0.888645
a	0.00741601	0.00142271	0.193792	0.0186051	0.778764
</S>	0.0390714	0.019023	0.399351	0.167354	0.3752
