 	il	a	un	caractère	bougon	</S>
w	0.903912	0.0775902	0.0154459	0.00221232	0.000440487	0.000398859
a	0.879051	0.0693154	0.0241143	0.0245034	0.00261791	0.000397875
a	0.185655	0.598271	0.133024	0.0292524	0.00161757	0.052179
d	0.0974505	0.49253	0.238507	0.0680172	0.00419431	0.0993017
í	0.0432187	0.586933	0.202403	0.0226054	0.00311619	0.141723
l	0.0208955	0.0649168	0.081868	0.0617992	0.0355168	0.735004
e	0.0633184	0.135814	0.298624	0.220099	0.0280388	0.254106
y	0.0116748	0.106754	0.34651	0.315209	0.0791946	0.140657
u	0.000774405	0.028232	0.191686	0.728322	0.00821569	0.0427698
ú	0.00277154	0.00652617	0.0708667	0.801331	0.0358609	0.0826437
e	0.00171896	0.0163346	0.0854591	0.232885	0.562512	0.10109
b	0.00160619	0.0280744	0.0997092	0.427712	0.358159	0.0847401
é	0.0136291	0.0359173	0.263182	0.307009	0.293769	0.0864939
</S>	0.00206132	0.0121876	0.0427761	0.0642297	0.345211	0.533534
