 	nos	pères	sont	encore	vivants	nos	oncles	doivent	se	conformer	à	leur	volonté	</S>
a	0.423804	0.548113	0.0155156	0.00110484	0.000401429	0.00369938	0.00139289	0.000938679	0.00354847	3.00937e-05	0.000563554	0.000491285	0.00038235	1.44804e-05
t	0.0449418	0.912157	0.0143112	0.00458814	0.00522506	0.00092278	0.00231013	0.000906253	0.000261769	0.000725347	0.000720448	0.0014585	0.0110069	0.00046443
á	0.0205268	0.930382	0.0198638	0.00115605	0.000951418	0.00563772	0.00499121	0.00381184	0.00403113	0.000233361	0.00163681	0.00226343	0.00274501	0.00176953
á	0.0206387	0.854578	0.0341672	0.00179254	0.00294768	0.0144348	0.00343102	0.00569335	0.0121265	0.000437431	0.00835119	0.00679499	0.00697559	0.0276306
á	0.0749341	0.114169	0.415423	0.266517	0.0411121	0.0218339	0.00701749	0.00539932	0.00693054	0.0010081	0.0126324	0.0084767	0.00171949	0.022827
b	0.0087736	0.0176327	0.145624	0.469154	0.236859	0.0312816	0.0280321	0.0173273	0.00559352	0.00621531	0.0109528	0.00589026	0.00929869	0.00736474
í	0.0504471	0.0470913	0.0904099	0.0511798	0.3155	0.136009	0.074643	0.0258416	0.0218327	0.0548745	0.0343399	0.026708	0.0329074	0.0382158
s	0.0379384	0.0177818	0.125637	0.117832	0.572953	0.0384421	0.0158624	0.0143638	0.00535922	0.0122285	0.012708	0.00497355	0.0100879	0.0138324
í	0.114505	0.0546258	0.303665	0.116943	0.206772	0.0902584	0.0217206	0.0295652	0.0162697	0.00258317	0.0145998	0.0163857	0.00251516	0.009591
á	0.0314228	0.00622869	0.202662	0.253242	0.237507	0.173235	0.0212839	0.0161552	0.00990997	0.00695883	0.00868133	0.0078143	0.00202104	0.0228776
s	0.00973994	0.00317391	0.0875688	0.121268	0.33063	0.221708	0.0746126	0.069656	0.0334106	0.0122041	0.0105503	0.0116635	0.00648029	0.00733307
á	0.00447865	0.000296107	0.0671891	0.0674278	0.374154	0.11408	0.13332	0.16594	0.0345558	0.00766804	0.0100573	0.0113293	0.00108074	0.00842336
a	0.0073097	0.00460636	0.185914	0.0792154	0.0819706	0.251422	0.0634991	0.128187	0.145227	0.00523575	0.0132029	0.0203201	0.00309054	0.0108004
m	0.00124199	0.000996384	0.0110533	0.016187	0.0738122	0.258012	0.307319	0.20837	0.0519601	0.0432815	0.00976269	0.00348889	0.00972959	0.00478531
ω	0.00271596	0.00138106	0.0190773	0.00716605	0.0582628	0.0186974	0.376811	0.140425	0.112009	0.25011	0.00711947	0.000962418	0.000542016	0.00472139
n	0.000314902	0.000186801	0.00888432	0.00174571	0.0202774	0.0181944	0.472877	0.196257	0.0707198	0.17935	0.0144424	0.00108349	0.0060132	0.00965384
g	0.001203	0.000658193	0.00475019	0.00246907	0.0022298	0.00962363	0.34137	0.316448	0.119131	0.116457	0.0384769	0.00538291	0.00865526	0.0331436
ω	0.00214034	0.00208011	0.0146086	0.00784144	0.000854182	0.0142424	0.101527	0.210875	0.102148	0.452691	0.0235484	0.00577678	0.0177225	0.0439448
a	0.00146634	0.00307434	0.0133219	0.00457802	0.00132945	0.0211595	0.0767309	0.255004	0.317417	0.0643755	0.143802	0.0254281	0.0269923	0.0453204
n	0.00466282	0.000896309	0.00732951	0.00121689	0.00142213	0.0832442	0.122807	0.263067	0.316843	0.0275079	0.0982151	0.0300288	0.0143429	0.0284168
g	0.0134825	0.000615177	0.0161425	0.00382478	0.00123439	0.00598159	0.0910079	0.302288	0.248011	0.109473	0.0831204	0.0144031	0.00585553	0.104559
ó	0.000935568	0.00109794	0.00799442	0.007227	0.000830247	0.0124733	0.0684522	0.256433	0.17076	0.37724	0.0598884	0.0119715	0.0122041	0.0124929
l	0.000658378	0.000692712	0.00420993	0.00382485	0.00232684	0.0101092	0.0597543	0.170155	0.13145	0.381001	0.126442	0.0171657	0.0396294	0.052581
