 	nous	partirons	seuls	en	forêt	</S>
b	0.86825	0.0055859	0.0118746	0.0205116	0.093029	0.000748903
í	0.831276	0.00601259	0.0719659	0.0794864	0.00946156	0.00179707
s	0.993148	0.00159689	0.00325481	0.0017193	0.00017763	0.000103167
í	0.64451	0.0310637	0.235324	0.0712077	0.00123517	0.0166598
l	0.0324218	0.371546	0.0406434	0.0520433	0.0179691	0.485377
é	0.0226936	0.141683	0.22082	0.125831	0.00554578	0.483427
e	0.0107224	0.904555	0.0623923	0.0133268	0.00091986	0.0080835
d	0.000706156	0.942518	0.0309469	0.0119003	0.0037215	0.0102069
z	0.00416605	0.85251	0.1196	0.0162831	0.00119697	0.00624442
w	0.0680823	0.822623	0.0644982	0.0228487	0.00182321	0.0201244
a	0.0213651	0.301259	0.251731	0.268895	0.00409426	0.152655
s	0.00254246	0.0289522	0.540547	0.28858	0.0518669	0.087512
á	0.008051	0.0165755	0.626029	0.231885	0.027895	0.0895639
k	0.0796872	0.00778922	0.286486	0.264984	0.310305	0.0507484
ώ	0.00136834	0.00130955	0.0104362	0.00663174	0.970655	0.00959946
b	0.00317828	0.00153372	0.0584339	0.019728	0.900868	0.0162581
í	0.189882	0.0133028	0.201017	0.153544	0.264478	0.177776
s	0.00113859	0.0291855	0.222416	0.14159	0.0932194	0.512451
í	0.0024116	0.00775688	0.390223	0.166839	0.281842	0.150928
m	0.00246996	0.00878902	0.12096	0.189561	0.33994	0.33828
έ	0.00476157	0.0249624	0.0848467	0.310583	0.115356	0.45949
n	0.00216229	0.00978763	0.0725891	0.213407	0.386021	0.316033
έ	0.00305921	0.005836	0.117734	0.136376	0.242428	0.494566
</S>	0.000565086	0.00249501	0.0550036	0.0890973	0.0247774	0.828062
