 	j'	ai	découvert	le	sentier	d'	une	antilope	dans	la	forêt	nommée	lebhee	</S>
n	0.904245	0.0293391	0.00951262	0.0517907	0.000307865	0.00249284	0.000518156	0.000141089	0.000424764	0.000582928	0.000329541	0.000126083	0.000151725	3.76522e-05
g	0.965334	0.0332718	0.000134	0.00112151	5.81991e-06	2.31404e-05	1.54258e-05	3.9549e-06	9.17531e-06	2.44873e-05	2.38118e-05	1.4767e-05	1.75279e-05	7.08313e-07
á	0.756869	0.228796	0.00876442	0.00465743	7.90367e-05	0.00011249	0.000309237	8.29122e-05	6.27679e-05	0.000134719	5.88886e-05	1.83928e-05	4.40912e-05	1.00078e-05
í	0.0247052	0.27636	0.0962522	0.16299	0.0279105	0.0225037	0.0127101	0.0127074	0.0121901	0.00729682	0.00854165	0.0162645	0.00875002	0.310818
k	0.0085714	0.0635965	0.834359	0.0179541	0.0506396	0.00207891	0.00227636	0.00608753	0.00156537	0.000893733	0.000751973	0.000867447	0.00129453	0.00906318
ú	0.000287929	0.00773558	0.911898	0.017851	0.0314035	0.0013402	0.0018642	0.0109146	0.00111885	0.000935231	0.00123583	0.00170447	0.00543853	0.00627187
n	0.00027167	0.00802107	0.872029	0.11237	0.00403061	0.000584378	0.000766668	0.000527813	0.000374378	0.000390064	0.00039062	4.88543e-05	7.19489e-05	0.000123213
d	0.00209118	0.0144085	0.833012	0.117063	0.0118463	0.0062776	0.00380456	0.000807259	0.00188282	0.00113534	0.00136863	0.000493746	0.000445613	0.0053631
u	0.00294139	0.0165579	0.314661	0.535475	0.0151949	0.0447564	0.0258691	0.00558145	0.0128602	0.009967	0.00855273	0.00285399	0.00069594	0.00403254
i	0.00645417	0.0779982	0.0135204	0.378481	0.0508176	0.330695	0.0904605	0.012135	0.0178606	0.00860937	0.00440344	0.00295945	0.000721624	0.0048839
l	0.00199356	0.00778194	0.0447193	0.0312707	0.612275	0.103349	0.0873292	0.047957	0.0174099	0.00748499	0.00547574	0.00216576	0.0033105	0.0274777
o	0.00290214	0.00595816	0.0391222	0.0560207	0.224163	0.245898	0.171665	0.0514819	0.0415863	0.025745	0.0125786	0.0055939	0.00297243	0.114312
m	0.00127578	0.00270281	0.0119677	0.0609308	0.507467	0.244172	0.0951355	0.0243772	0.00965041	0.00372065	0.006869	0.00126832	0.00163626	0.0288269
b	9.48644e-05	0.000400693	0.0152369	0.0217112	0.173416	0.162422	0.229636	0.215283	0.0594325	0.0125563	0.00351668	0.000154416	0.00103647	0.105103
o	5.9793e-05	0.000587803	0.00524207	0.0169268	0.00607931	0.0492713	0.134374	0.755119	0.0104071	0.00613414	0.00244309	0.000577044	0.00336489	0.00941361
l	6.70822e-06	0.000103238	0.00961202	0.0158285	0.120392	0.168554	0.236096	0.376536	0.0293232	0.00487335	0.00735366	0.00176926	0.00466462	0.0248876
á	3.42878e-05	7.89826e-05	0.0137667	0.00646957	0.0596078	0.106047	0.316173	0.263567	0.068727	0.024033	0.0218081	0.00321402	0.00620209	0.110271
m	0.000108474	0.000437179	0.000426904	0.00444531	0.00339388	0.153514	0.246061	0.0886048	0.331373	0.107084	0.0401191	0.00701693	0.00399631	0.0134186
b	0.000103088	0.000245486	0.000804637	0.001572	0.00307775	0.036653	0.118053	0.147163	0.0879491	0.0588898	0.0385991	0.00542735	0.0390036	0.462459
v	7.28688e-06	1.07744e-05	0.000142149	0.000222024	0.000508235	0.00296693	0.0300236	0.873689	0.00694856	0.010018	0.013882	0.00383606	0.0534873	0.00425816
u	4.18447e-05	0.000102852	0.0020962	0.000854438	0.000409074	0.00823698	0.0732266	0.530381	0.0476709	0.0669815	0.0741036	0.0942767	0.0347779	0.0668402
l	0.00398471	0.00211854	0.000932186	0.00507238	0.00368295	0.0387201	0.117303	0.449488	0.094449	0.0560104	0.0924333	0.0422539	0.0213123	0.0722389
u	0.00348057	0.000355389	0.00264329	0.00325767	0.00221524	0.022497	0.173615	0.240853	0.118198	0.17082	0.183732	0.0171058	0.00972729	0.0515003
s	1.45672e-05	8.59025e-05	0.000461267	0.00117124	0.000251462	0.0136161	0.0489839	0.072054	0.295711	0.167823	0.0552611	0.0128288	0.0491665	0.282571
á	0.000336943	0.000144301	0.000383814	0.00287871	0.000308041	0.00744216	0.0334391	0.0286348	0.25145	0.474588	0.094339	0.0141531	0.00838319	0.0835182
l	0.000679388	0.00105248	0.000251558	0.00940499	0.000663492	0.00807739	0.0128948	0.0057441	0.0501899	0.274987	0.314145	0.266522	0.0267715	0.0286165
ε	0.00530319	0.0107237	0.00148554	0.00184359	0.0013588	0.0128089	0.0170545	0.0209248	0.12908	0.198156	0.0496599	0.307441	0.0503487	0.193812
b	0.00026256	0.00161937	0.000105505	0.000894264	0.000202538	0.00502416	0.014116	0.0125444	0.0350384	0.0699138	0.238126	0.216145	0.120746	0.285262
h	9.54642e-06	2.61899e-05	1.29426e-05	0.000368382	0.000111798	0.000361698	0.00152804	0.00819449	0.0183614	0.106481	0.164634	0.164151	0.52373	0.0120295
ε	4.09715e-06	3.92564e-06	4.66603e-05	8.00876e-05	0.000248661	0.000390465	0.000949052	0.00388312	0.0028928	0.0191409	0.0982954	0.623923	0.243468	0.00667388
ε	0.000147838	0.000219285	0.000158034	0.00179806	0.00038537	0.011662	0.0112163	0.00252787	0.0688719	0.187245	0.104907	0.256621	0.106872	0.247369
</S>	0.000375642	0.00167127	0.00242762	0.0044485	0.00351969	0.019957	0.0191946	0.0203821	0.079411	0.157099	0.0800006	0.139791	0.151779	0.319943
