 	avec	cette	manière	de	construire	les	murs	en	bambou	la	case	ne	tiendra	pas	longtemps	</S>
e	0.143176	0.373123	0.186749	0.112499	0.0186147	0.0349199	0.0496462	0.0028147	0.00190056	0.00351468	0.00226849	0.0236474	0.0131615	0.0252696	0.00311399	0.00558181
l	0.00528632	0.00959647	0.010367	0.0341956	0.824089	0.0216018	0.0139095	0.00601123	0.0123242	0.00445363	0.000581025	0.00155582	0.000284196	0.00501792	0.0447849	0.00594115
a	0.00393068	0.00329518	0.0761498	0.0212184	0.545665	0.0289779	0.0122303	0.0509359	0.0349149	0.0189732	0.0040307	0.00718393	0.00144374	0.00307184	0.0284183	0.15956
n	0.00636681	0.00310521	0.0401617	0.107821	0.437368	0.0628746	0.014409	0.105914	0.0518604	0.0159396	0.00716826	0.00264441	0.000486387	0.0145475	0.0465573	0.0827759
d	0.097935	0.0919611	0.0523431	0.0896634	0.234569	0.160635	0.0519701	0.0308627	0.0134696	0.0243739	0.0403462	0.00157658	0.000215697	0.0100873	0.0199634	0.0800277
í	0.0253152	0.0269971	0.0498813	0.0695464	0.215996	0.0836402	0.161644	0.0550054	0.0144578	0.02068	0.0378441	0.00279105	0.000390257	0.00581539	0.0122692	0.217727
l	0.0305266	0.12365	0.0540437	0.0768688	0.0303391	0.0900417	0.00401374	0.288555	0.0957018	0.0351972	0.00712007	0.00557248	0.000928853	0.0137524	0.0184677	0.12522
í	0.144105	0.261018	0.0550633	0.043854	0.0189063	0.0495004	0.0030445	0.0546466	0.0211497	0.0260657	0.020632	0.00498969	0.00072572	0.0130963	0.00520714	0.277996
y	0.191364	0.304364	0.0425855	0.125572	0.0565835	0.0532617	0.0157219	0.0504122	0.0208745	0.016314	0.0101227	0.00856368	0.00274113	0.0299913	0.0102224	0.061305
á	0.0814845	0.117081	0.0514165	0.240291	0.218115	0.049444	0.00567367	0.0540887	0.0123835	0.0236158	0.00941846	0.00469734	0.000978489	0.0122545	0.00694761	0.112111
n	0.0284325	0.0429379	0.00946532	0.0851299	0.38316	0.111247	0.119978	0.0706969	0.014275	0.0235126	0.0340978	0.00955738	0.00197874	0.00969985	0.0121007	0.0437304
d	0.00638065	0.00667979	0.00695942	0.0509579	0.107495	0.222741	0.425245	0.0269377	0.0138204	0.0175573	0.0576979	0.00696794	0.000887925	0.00324004	0.0184033	0.0280298
é	0.000577171	0.000441622	0.00425889	0.00672585	0.0723392	0.125727	0.735725	0.00788972	0.00190028	0.00403607	0.0266844	0.000567963	0.000210042	0.000467142	0.00182285	0.0106274
e	0.000831408	0.000545775	0.00159583	0.0205087	0.128911	0.30874	0.319969	0.0567571	0.0125861	0.0376155	0.0440774	0.00480481	0.00220858	0.00408403	0.0200894	0.0366754
y	0.00751398	0.0084163	0.00496512	0.108549	0.0619807	0.144131	0.0360863	0.290421	0.125556	0.0804775	0.00823949	0.0303114	0.0255599	0.0233525	0.0155363	0.0289036
é	0.0487757	0.0467963	0.0316917	0.19748	0.0862781	0.150006	0.0274547	0.250178	0.0331656	0.04897	0.0269463	0.0116163	0.000968007	0.00540973	0.00336659	0.0308961
é	0.0445071	0.0869979	0.00523377	0.201667	0.0620893	0.124097	0.0305945	0.236525	0.0509978	0.0828466	0.0248112	0.0163667	0.00245872	0.0107691	0.00470714	0.0153307
d	0.00502394	0.00357699	0.00382861	0.0574662	0.0632328	0.0777328	0.0256411	0.200858	0.174128	0.0676654	0.020096	0.0455929	0.0342335	0.0316482	0.119776	0.0695006
í	0.00269499	0.00413919	0.00194444	0.0307556	0.00724789	0.032618	0.00364501	0.144535	0.209801	0.104301	0.0181196	0.0364238	0.00924933	0.0868894	0.0507083	0.256927
o	0.00935563	0.0174371	0.00123121	0.0534424	0.00375221	0.0389247	0.00289532	0.0592602	0.0895099	0.104613	0.0407234	0.0744944	0.0582286	0.278906	0.0321347	0.135092
b	0.00592181	0.00573179	0.00249451	0.00531934	0.0112691	0.00997044	0.00138521	0.022026	0.0774663	0.0886342	0.0474007	0.0413446	0.0351332	0.0781928	0.411288	0.156422
í	0.0015272	0.00362162	0.00522759	0.0073957	0.0212959	0.00447708	0.00115762	0.0100939	0.0196396	0.0107081	0.00294674	0.0125565	0.00561943	0.0169126	0.825294	0.0515265
a	0.000141405	0.00023963	0.000145734	0.00214941	0.0061955	0.00322968	0.00397099	0.0115221	0.0594693	0.0656589	0.014052	0.0774607	0.155453	0.0657985	0.181045	0.353467
k	0.000741847	0.000828123	0.00040666	0.00996923	0.000768213	0.00627583	0.000478687	0.00791079	0.0161925	0.0477391	0.153074	0.0772825	0.0624049	0.302048	0.0759391	0.237941
a	0.000150858	0.00026267	0.000234237	0.00321887	0.00274507	0.00191985	0.00163648	0.00234072	0.0114635	0.0286855	0.00940849	0.118102	0.384028	0.182594	0.144593	0.108617
á	0.000115176	0.000137617	0.000138326	0.00124343	0.00299413	0.00257135	0.00407649	0.004933	0.0253221	0.0549329	0.0174251	0.133031	0.216338	0.0437867	0.122196	0.370759
</S>	0.00174406	0.00162263	0.000632466	0.0143485	0.00218169	0.00780464	0.00176378	0.0135795	0.014799	0.0138617	0.0345658	0.0333189	0.0128139	0.119508	0.135131	0.592324
