 	on	m'	a	jeté	en	prison	arbitrairement	</S>
á	0.860552	0.121334	0.0102477	0.00196123	0.0017017	0.00402901	6.72352e-05	0.000107388
k	0.040802	0.0282173	0.286931	0.564609	0.0640364	0.0132317	0.00167291	0.000499755
a	0.0212868	0.00691487	0.0423655	0.67088	0.0668431	0.157745	0.00205422	0.0319096
n	0.0115709	0.0118606	0.238687	0.565615	0.0489345	0.0768606	0.00695159	0.0395201
i	0.172297	0.1099	0.426935	0.201755	0.0411004	0.0121654	0.00443188	0.0314143
n	0.228419	0.499907	0.135287	0.0431409	0.0799966	0.00484885	0.00122331	0.00717782
g	0.0590309	0.785589	0.0357464	0.00382307	0.0482136	0.0320563	0.0267339	0.0088073
á	0.0159781	0.766027	0.0445617	0.00970385	0.0609129	0.0485732	0.0374674	0.0167761
s	0.0121932	0.029759	0.0696561	0.104619	0.639464	0.0904646	0.0201372	0.0337069
á	0.0245826	0.0729503	0.0788182	0.0391259	0.322712	0.118423	0.190884	0.152504
b	0.0849248	0.0487627	0.0379152	0.0202669	0.354555	0.187276	0.230554	0.0357452
ω	0.147507	0.0204375	0.0241833	0.0671977	0.206334	0.494532	0.0186806	0.0211283
l	0.00114226	0.00210416	0.00502482	0.0555826	0.0647329	0.825653	0.00582161	0.0399389
ώ	0.000997494	0.00104113	0.00906831	0.129314	0.0863753	0.240195	0.187056	0.345953
k	0.00728386	0.00550356	0.0367852	0.0707097	0.193474	0.0843363	0.203336	0.398571
ω	0.0105101	0.00121364	0.00382836	0.0250403	0.0757244	0.123017	0.112389	0.648278
ó	0.000155444	0.000263728	0.00248444	0.0515389	0.0608238	0.374214	0.265758	0.244762
n	0.000945242	0.000182809	0.00403043	0.0258314	0.0565484	0.00642502	0.293428	0.612609
g	0.000758615	0.00284806	0.00316794	0.00150096	0.0156537	0.00635739	0.621052	0.348662
u	0.000103379	0.00675886	0.000328327	0.000335066	0.00463146	0.0157325	0.845557	0.126554
a	2.77901e-05	5.15474e-05	7.71471e-05	0.000369136	0.0113605	0.00413916	0.642284	0.34169
</S>	0.000565624	0.000179444	0.00264765	0.0119776	0.0729768	0.00380349	0.32007	0.58778
