 	ce	safoutier	n'	a	pas	produit	</S>
o	0.624431	0.287607	0.0559809	0.0084329	0.0120849	0.00881431	0.00264895
s	0.0669332	0.846333	0.0119396	0.00547289	0.00733762	0.032768	0.0292159
á	0.12915	0.824614	0.0138486	0.00247668	0.00039411	0.0130207	0.016496
á	0.0534239	0.412479	0.0236239	0.0172744	0.0083451	0.00813929	0.476714
b	0.330167	0.195805	0.271251	0.0640172	0.0436454	0.00688988	0.0882241
v	0.196671	0.064522	0.256251	0.125729	0.159323	0.0288628	0.168641
ú	0.334436	0.0881614	0.166045	0.129016	0.188674	0.028117	0.0655514
u	0.555896	0.0597712	0.228015	0.075096	0.0484474	0.0194861	0.0132886
ó	0.0785014	0.00757262	0.336631	0.289573	0.0421543	0.0357635	0.209804
d	0.030436	0.0132658	0.161908	0.356992	0.0994598	0.0876885	0.250251
z	0.0263609	0.00342597	0.0172794	0.100647	0.020661	0.00685028	0.824776
e	0.717533	0.0129667	0.0502015	0.0423927	0.0370887	0.00816978	0.131647
o	0.0459706	0.00259357	0.130015	0.185258	0.240351	0.0861503	0.309661
f	0.0069346	0.00294205	0.0142532	0.0552882	0.0269082	0.311975	0.581698
ú	0.00462427	0.00263668	0.0233397	0.0638934	0.0366007	0.470767	0.398138
l	0.00743298	0.000227929	0.0190447	0.0246086	0.0840583	0.219043	0.645585
a	0.0492725	0.00199631	0.0550418	0.129986	0.293747	0.156123	0.313834
k	0.00714006	0.00229353	0.0174007	0.0883093	0.17612	0.0392341	0.669503
a	0.00108965	0.000720325	0.0169564	0.0383141	0.562953	0.223293	0.156673
á	0.000279696	0.000256092	0.0205644	0.0427987	0.091887	0.100901	0.743313
</S>	0.00659018	0.00405983	0.0497536	0.0760479	0.174344	0.0437622	0.645443
