 	les	gens	se	sont	réunis	en	masse	dans	la	salle	de	l'	école	</S>
b	0.243009	0.747524	0.00853879	0.00031506	0.000137417	5.52818e-05	3.22633e-05	0.000106207	2.8147e-05	2.50932e-05	6.49078e-05	0.00011842	4.14006e-05	4.06411e-06
a	0.15106	0.833209	0.00658435	0.00107019	0.00299983	0.00188404	0.000743192	0.000436744	0.000253371	8.88953e-05	0.000997695	0.000571527	1.94921e-05	8.21692e-05
r	0.032373	0.957422	0.00685665	0.00218151	0.000367631	0.000208327	2.8766e-05	0.000163845	8.99389e-05	9.89249e-05	6.64881e-05	5.38114e-05	1.25142e-05	7.65169e-05
e	0.518618	0.406417	0.0305356	0.00609786	0.0089754	0.00268697	0.000120529	0.00241408	0.00119542	0.00364636	0.0014585	0.00164231	0.000224935	0.0159673
á	0.0552238	0.0468058	0.382596	0.3702	0.0439084	0.0557954	0.0045414	0.011243	0.00426902	0.00167415	0.00377018	0.00428711	0.00106133	0.0146243
m	0.00686454	0.00221117	0.171575	0.341315	0.197011	0.146721	0.0558224	0.0275664	0.0216371	0.0074238	0.00286442	0.00491275	0.00455118	0.00952378
i	0.0093547	0.00637721	0.0833628	0.281604	0.219283	0.263848	0.0321387	0.0587883	0.0291015	0.00336109	0.00184083	0.00245792	0.000446267	0.00803606
k	0.001259	0.00095813	0.0102137	0.0901574	0.384534	0.0908625	0.304467	0.0372782	0.0434908	0.023998	0.000805053	0.0010247	0.00245744	0.00849396
o	0.00157925	0.000957732	0.00425395	0.00808747	0.098747	0.0266311	0.780967	0.019953	0.01055	0.036031	0.00096494	0.000653573	0.00142526	0.00919875
á	0.00088802	0.000814745	0.00402252	0.00253302	0.0355178	0.0280854	0.864682	0.0292044	0.0132046	0.0131854	0.00184493	0.00112017	0.00134556	0.00355132
p	0.00386832	0.000744771	0.0156647	0.0245476	0.0145003	0.0272336	0.0483738	0.444949	0.261856	0.0854952	0.0387656	0.0189652	0.0047351	0.0103009
e	0.00199507	0.00278216	0.00594516	0.00434996	0.0239012	0.00526693	0.245031	0.075706	0.117691	0.443138	0.0345431	0.0111909	0.00895438	0.0195048
r	0.0016361	0.0020005	0.0130059	0.0159786	0.0176021	0.0225668	0.125671	0.279947	0.232197	0.199503	0.0338419	0.0112028	0.0073646	0.037484
e	0.011784	0.00300537	0.00413181	0.00759441	0.0723693	0.0173624	0.0298939	0.205393	0.232927	0.287001	0.0586249	0.0194954	0.00671592	0.043701
p	0.00505298	0.000965687	0.010339	0.0149539	0.00666423	0.0198199	0.0036786	0.361149	0.180441	0.0834365	0.215172	0.063211	0.0100433	0.0250726
e	0.00610981	0.00343943	0.00362805	0.00173452	0.00826852	0.00219744	0.0389649	0.0227089	0.0558397	0.749448	0.0507418	0.0176335	0.0146564	0.024629
r	0.00417867	0.00300827	0.00377933	0.00219798	0.00680917	0.00450218	0.0302833	0.0781704	0.132997	0.43658	0.144594	0.049886	0.0364807	0.0665341
e	0.00139299	0.000424277	0.000892116	0.000762918	0.0115391	0.00381424	0.00869684	0.0573443	0.184193	0.502108	0.103112	0.033703	0.0294612	0.0625557
s	0.00178371	0.000250127	0.00242545	0.00160194	0.00266412	0.00504015	0.00183947	0.0725558	0.0546649	0.0778257	0.528593	0.182403	0.0381683	0.0301845
á	0.0048652	0.000413635	0.000981595	0.000508548	0.00164353	0.00128888	0.000378657	0.0123068	0.0528508	0.338571	0.125685	0.123848	0.171565	0.165093
l	0.0194357	0.00297401	0.00757867	0.00447322	0.00164665	0.00283148	0.00104658	0.00932822	0.014174	0.0535108	0.174115	0.319943	0.367311	0.0216309
ε	0.0032642	0.000488209	0.00357803	0.00605023	0.00312243	0.00488875	0.000158151	0.0114745	0.0170285	0.0183477	0.0987256	0.205355	0.474452	0.153067
k	0.00259476	0.000359471	0.0014025	0.00171847	0.000658433	0.000690891	7.12631e-05	0.00405299	0.0138362	0.0301053	0.136034	0.120232	0.624643	0.0636016
ώ	0.000616106	0.000188201	0.000380007	0.000156664	0.0009112	0.000527112	0.00534029	0.00262588	0.00723264	0.149117	0.057193	0.0723368	0.612537	0.0908379
ώ	4.71731e-05	3.09912e-05	3.66819e-05	2.23248e-05	0.000278172	0.00010192	0.00385329	0.00127052	0.0049403	0.0455953	0.0391954	0.0335358	0.793321	0.0777711
l	0.00145305	0.00020824	0.00133656	0.000687557	0.00135822	0.00201553	0.00114883	0.00878353	0.00574541	0.00865741	0.162997	0.33742	0.182219	0.28597
i	0.0027075	0.000243205	0.00204569	0.00189057	0.00362935	0.00709337	0.00124867	0.0133302	0.0113587	0.00921887	0.078015	0.221928	0.32504	0.322251
</S>	0.00460605	0.000954489	0.00596218	0.00357689	0.00101385	0.0043862	0.000281033	0.00869528	0.00482782	0.00280159	0.0722984	0.236237	0.193499	0.46086
