 	l'	habitude	d'	abattre	les	vieillards	sous	prétexte	qu'	ils	sont	des	sorciers	s'	est	installée	à	boundji	</S>
e	0.266586	0.225346	0.0873886	0.0952204	0.0548865	0.020777	0.151674	0.0052311	0.0305489	0.00522815	0.00694946	0.00508599	0.00183194	0.00873993	0.006364	0.00366173	0.0227363	0.00153613	0.000208127
k	0.0956767	0.522347	0.0786522	0.0459579	0.0280843	0.0325799	0.00747172	0.00270503	0.00327607	0.00110578	0.01069	0.0202962	0.0243624	0.0116774	0.00892405	0.00735222	0.0152163	0.0774467	0.00617862
ó	0.0174989	0.045157	0.0888657	0.510113	0.0706845	0.0581446	0.0186535	0.00232626	0.00634851	0.000437661	0.00616085	0.0150929	0.0237309	0.0136695	0.0130588	0.0176176	0.00878124	0.0741407	0.00951746
k	0.016721	0.0598627	0.107234	0.498227	0.0416121	0.0627895	0.0281718	0.0027137	0.00700898	0.00154452	0.00294204	0.013934	0.0127843	0.0153144	0.0130216	0.0197692	0.022464	0.0397808	0.0341048
ó	0.0957672	0.0478581	0.164243	0.183169	0.0842665	0.02795	0.0144987	0.000395528	0.0101326	0.000718411	0.00428383	0.0142519	0.0121822	0.0278759	0.0266703	0.0902008	0.0254783	0.0231809	0.146877
y	0.288765	0.169647	0.248419	0.0525775	0.0457226	0.014368	0.0225444	0.00270865	0.00863055	0.00414476	0.00868651	0.00973651	0.0097932	0.0243404	0.0228579	0.0257886	0.0120467	0.00234326	0.0268803
í	0.216181	0.0447963	0.0616983	0.00984487	0.0167094	0.0169805	0.0524419	0.00684902	0.0459851	0.00384343	0.0268233	0.0314755	0.0251147	0.0448791	0.0707474	0.114382	0.0423283	0.0427373	0.126182
b	0.0680653	0.0449666	0.184069	0.0828146	0.171892	0.040076	0.0834042	0.0582002	0.051933	0.0468181	0.0199742	0.0162979	0.00603557	0.0169424	0.0122054	0.0110638	0.0333958	0.00576944	0.046076
o	0.0207514	0.0112375	0.179748	0.160281	0.170185	0.0610783	0.0329362	0.0565656	0.0284574	0.0453672	0.024056	0.0302993	0.0170844	0.0305672	0.0259745	0.0273626	0.0172803	0.0141377	0.0466315
m	0.0375381	0.0212444	0.157311	0.245911	0.147174	0.142237	0.10441	0.00466663	0.00680391	0.00340868	0.00442269	0.0127764	0.0300247	0.0178318	0.0159935	0.0104288	0.00478803	0.0177124	0.0153167
a	0.0541639	0.00775782	0.0514925	0.00451368	0.103073	0.0781778	0.279119	0.0397241	0.198599	0.0191042	0.0244524	0.0200247	0.0041473	0.0233105	0.0264046	0.0132839	0.0188245	0.00286803	0.0309597
a	0.0360762	0.0100819	0.0856594	0.038718	0.289259	0.0748383	0.219864	0.0492527	0.0540593	0.0354626	0.028338	0.0215726	0.00931668	0.0138611	0.0102683	0.00526192	0.00462486	0.00258806	0.0108976
l	0.0360673	0.0324435	0.113635	0.114091	0.165708	0.122898	0.044681	0.015447	0.0269045	0.010178	0.0706086	0.0683839	0.0404978	0.0303087	0.0290149	0.0237367	0.00840542	0.00625218	0.0407384
á	0.0191526	0.0368123	0.0741157	0.035236	0.121397	0.148864	0.0227209	0.00917631	0.0409372	0.00235978	0.1032	0.0811396	0.0376273	0.0198111	0.0109705	0.0101734	0.0193423	0.00399321	0.202971
