 	lorsqu'	on	prépare	le	riz	il	augmente	de	volume	</S>
w	0.883423	0.107593	0.000234541	0.00341539	0.0014454	0.00113028	0.00059101	0.00160596	0.000483006	7.86446e-05
á	0.816981	0.10258	0.000376589	0.0373253	0.0104447	0.0036965	0.00340268	0.00921962	0.0159013	7.23783e-05
á	0.266455	0.508713	0.103377	0.032622	0.0146814	0.0217831	0.0175522	0.00895729	0.00439581	0.0214624
o	0.0504315	0.684538	0.194267	0.00980792	0.0161984	0.00324307	0.00588368	0.00988964	0.00243692	0.023303
l	0.0123214	0.0364158	0.883406	0.00919482	0.013782	0.00980288	0.0113569	0.00159656	0.013219	0.00890475
á	0.000326584	0.00508914	0.988259	0.000567868	0.000972296	0.000140048	0.000716844	8.28524e-05	0.000301788	0.00354392
m	0.012536	0.0676571	0.796069	0.0244715	0.0814606	0.00202561	0.00391072	0.00258883	0.00113437	0.00814656
b	0.0136767	0.0592257	0.119146	0.45282	0.0930746	0.118778	0.0555548	0.0401137	0.00424969	0.0433612
í	0.0387695	0.173869	0.156164	0.415295	0.0526762	0.040875	0.0103289	0.00497515	0.00122916	0.105818
l	0.0110894	0.0456141	0.00235805	0.406873	0.366257	0.132019	0.0166854	0.0085326	0.00173942	0.00883209
ώ	0.00367255	0.0040338	0.0131423	0.0818564	0.562557	0.0536702	0.0940906	0.0192334	0.00429585	0.163447
s	0.00210061	0.00193083	0.00184293	0.0463636	0.746565	0.0538528	0.0777135	0.0129179	0.0350656	0.0216472
ω	0.000396132	0.00075544	0.001887	0.0255136	0.769156	0.0592086	0.0810926	0.018444	0.0139198	0.029627
d	0.000152686	0.00103939	0.00193942	0.0601897	0.374772	0.098693	0.244931	0.0709982	0.0595564	0.0877273
í	0.000148551	0.000564972	0.00832719	0.0251923	0.160432	0.131513	0.411992	0.0239734	0.0979179	0.139939
a	0.000357932	0.00220994	0.000626851	0.0460153	0.00561445	0.51832	0.221714	0.0581884	0.00615383	0.140799
l	0.0069015	0.0130949	0.00140011	0.0301902	0.00663643	0.316186	0.227163	0.27501	0.00421285	0.119206
í	0.0043466	0.0110003	0.00455352	0.0255476	0.0184789	0.0345359	0.188288	0.22373	0.019345	0.470174
i	0.00484558	0.00480409	0.00119723	0.0271817	0.0244427	0.0564281	0.188497	0.459656	0.166317	0.0666301
k	0.000268334	0.00100523	0.00376299	0.00206281	0.00311905	0.0104293	0.26907	0.0982567	0.547912	0.064113
ú	3.24222e-05	0.000136629	0.00118716	0.00108821	0.000472202	0.00124542	0.0557822	0.0174603	0.902506	0.0200892
n	1.49876e-05	3.70612e-05	7.58237e-05	0.000706842	0.000515491	0.00114156	0.0664943	0.0216361	0.879034	0.030344
a	0.000241281	0.000396991	0.000265005	0.00224162	0.00194701	0.0148106	0.145797	0.0541114	0.616093	0.164095
</S>	0.000184091	0.000224407	1.53388e-05	0.0106213	0.00158024	0.0455703	0.0697513	0.119274	0.118773	0.634006
