 	il	s'	est	cassé	le	bras	</S>
w	0.941652	0.045912	0.00289545	0.00195104	0.00707421	0.000341821	0.000173755
a	0.935412	0.0177093	0.00275032	0.00741839	0.0355464	0.00110688	5.6899e-05
á	0.0945437	0.7262	0.153141	0.00948908	0.00751251	0.00174712	0.0073664
m	0.0423573	0.586449	0.318849	0.0304018	0.00850514	0.00195798	0.0114802
i	0.0146618	0.335138	0.332625	0.0763067	0.0431471	0.0202072	0.177915
b	0.00504859	0.132506	0.424025	0.366658	0.0191052	0.0061084	0.0465493
v	0.00412505	0.0692229	0.433075	0.383949	0.00692403	0.0409807	0.061723
ú	0.00184227	0.0996589	0.585735	0.287092	0.00735643	0.01561	0.0027053
n	0.00787374	0.0229871	0.0950357	0.709803	0.0499194	0.0371862	0.0771945
y	0.00568896	0.0293432	0.134506	0.392858	0.181398	0.00460211	0.251603
á	0.00281819	0.00533653	0.0486111	0.174103	0.603209	0.0702389	0.0956836
e	0.00877338	0.0158374	0.0328412	0.104094	0.579257	0.217133	0.0420643
b	0.000795725	0.00114941	0.00393407	0.012353	0.0179294	0.9399	0.0239381
ώ	0.00205436	0.00215386	0.00380984	0.00791403	0.0128223	0.966879	0.00436624
ω	7.93645e-05	0.000259595	0.00141028	0.00534408	0.029623	0.910241	0.0530426
</S>	0.0040794	0.0192275	0.0486584	0.06721	0.141714	0.178868	0.540243
