 	j'	ai	un	rendez-vous	avec	le	chef	</S>
n	0.402306	0.0780024	0.0574086	0.393345	0.0554952	0.0118334	0.00109841	0.000510815
g	0.985914	0.00596269	0.000989365	0.00653982	0.000261103	0.000305949	1.55143e-05	1.11864e-05
á	0.83432	0.132381	0.010547	0.02215	0.00017902	0.000346097	5.82758e-05	1.88298e-05
i	0.0547016	0.352839	0.333522	0.150166	0.0362808	0.0278247	0.00362802	0.0410385
d	0.0144741	0.32298	0.55234	0.0595661	0.0121552	0.00501723	0.00649423	0.0269734
i	0.0454696	0.749946	0.096584	0.0806655	0.00395672	0.00198024	0.000107913	0.0212898
l	0.0066305	0.16941	0.577253	0.141437	0.0210412	0.0156941	0.00694641	0.0615874
a	0.0501339	0.241405	0.42118	0.126089	0.0438494	0.0167287	0.00222052	0.0983932
n	0.0265702	0.103276	0.223795	0.535712	0.0467828	0.0173356	0.00652406	0.0400053
d	0.0647477	0.0901725	0.147762	0.665455	0.0116944	0.00599262	0.000479491	0.0136961
a	0.0369428	0.0824483	0.0763251	0.767571	0.0118902	0.00342668	0.0028083	0.0185874
é	0.00128667	0.0348217	0.165973	0.158828	0.225109	0.123068	0.0687552	0.222158
l	0.000127803	0.0164909	0.0694243	0.0186807	0.491545	0.320137	0.0328153	0.0507794
o	0.000824175	0.0128115	0.126331	0.0177639	0.224546	0.149762	0.0676073	0.400355
k	0.000613106	0.00528047	0.0261321	0.0181237	0.239787	0.187155	0.408078	0.114831
o	5.56419e-06	8.40632e-05	0.00287013	0.00303276	0.0239918	0.00756556	0.948396	0.0140541
n	6.43809e-06	0.000345809	0.00894592	0.0112543	0.0189503	0.00483568	0.943199	0.0124624
d	4.25149e-06	0.000128013	0.0053688	0.00552003	0.00940597	0.00360175	0.935861	0.0401103
z	0.000167348	0.000260753	0.00550506	0.0042278	0.0276774	0.00942031	0.878877	0.0738647
i	0.00065979	0.000345786	0.0115691	0.0247606	0.190791	0.0179621	0.601136	0.152776
</S>	0.00140616	0.00273177	0.0172177	0.00164062	0.0323398	0.140171	0.0867109	0.717782
