 	il	bouche	le	trou	</S>
k	0.345048	0.490048	0.151093	0.00977882	0.00403204
í	0.157962	0.624077	0.0906727	0.10006	0.0272277
n	0.0998006	0.261039	0.0768421	0.104085	0.458233
d	0.277367	0.259173	0.125145	0.0321324	0.306183
í	0.309142	0.482084	0.0747729	0.00169665	0.132305
s	0.206875	0.380792	0.335484	0.0424809	0.0343688
á	0.0953854	0.129766	0.170222	0.0205742	0.584052
i	0.264093	0.168096	0.441862	0.0897243	0.0362253
w	0.0339962	0.0761366	0.279653	0.447441	0.162773
ó	0.088894	0.0597101	0.353803	0.411891	0.0857012
l	0.0107194	0.00748369	0.130374	0.594821	0.256602
á	0.0330851	0.0743159	0.178064	0.12568	0.588855
</S>	0.0587238	0.0707833	0.226263	0.107765	0.536464
