 	il	emplit	la	bouteille	de	vin	</S>
n	0.438382	0.384673	0.134251	0.0124524	0.0268436	0.00163887	0.00175933
y	0.023131	0.962163	0.00196383	0.00993228	0.00250088	0.000244513	6.42838e-05
á	0.0135563	0.9186	0.0128639	0.0525367	0.00125142	0.000634752	0.000556372
á	0.110205	0.177663	0.277632	0.0659198	0.0630584	0.04482	0.260701
o	0.102197	0.25323	0.516428	0.0611065	0.0191747	0.00246963	0.0453951
l	0.00512874	0.00475841	0.107979	0.858613	0.00994821	0.00349177	0.0100811
a	0.00334277	0.00527907	0.0770812	0.867337	0.00686796	0.0168486	0.0232431
n	0.00485594	0.00147019	0.0670421	0.797171	0.0345273	0.0110949	0.0838381
g	0.0873231	0.0203334	0.203583	0.360817	0.128394	0.113123	0.0864263
i	0.16064	0.0535368	0.23604	0.250506	0.122483	0.115	0.0617934
m	0.0701787	0.00731895	0.150723	0.0119349	0.574621	0.120648	0.0645752
á	0.0764053	0.000189458	0.0242062	0.011454	0.319803	0.153993	0.41395
l	0.0162036	0.00394401	0.0230471	0.00865063	0.124741	0.803419	0.0199956
ω	0.00671777	0.00240986	0.0225231	0.0256332	0.18165	0.5432	0.217866
i	0.00398516	0.00058256	0.00900681	0.00708881	0.0716902	0.820405	0.0872409
</S>	0.0224574	0.000685444	0.0259793	0.00376184	0.372886	0.176528	0.397703
