 	je	me	suis	pris	le	pied	dans	un	fil	</S>
n	0.574829	0.103705	0.186349	0.0425647	0.0527122	0.0154005	0.00662594	0.0153854	0.00213796	0.000289744
g	0.46365	0.517679	0.0143248	8.12464e-05	0.000938202	3.81869e-05	0.000259743	0.000995107	0.00197131	6.19667e-05
á	0.410591	0.54448	0.0372926	0.000885068	0.00124373	9.62564e-05	0.000131808	0.000302298	0.0049305	4.68316e-05
e	0.0300523	0.316071	0.367115	0.0279398	0.0255475	0.0031176	0.012958	0.00966748	0.00472248	0.202809
k	0.00401853	0.0370925	0.312133	0.530833	0.0441297	0.0312594	0.00956992	0.00425862	0.00179941	0.0249059
o	0.000758885	0.00455724	0.12776	0.722108	0.0318625	0.0951722	0.00523633	0.00233237	0.0019216	0.00829181
o	5.92053e-05	0.00112318	0.0944601	0.848624	0.0206934	0.0327896	0.000770146	0.00020208	0.000136155	0.0011419
é	6.94625e-05	0.00678893	0.265607	0.177786	0.445841	0.0478976	0.0376384	0.00939884	0.000744059	0.00822819
k	0.000299494	0.015666	0.127483	0.151038	0.392817	0.180922	0.077861	0.0226391	0.00370666	0.0275684
a	4.00281e-06	0.000229791	0.0430493	0.32965	0.198258	0.377867	0.0286166	0.00675936	0.00185147	0.0137138
b	2.89509e-05	0.000578855	0.0319523	0.217658	0.200454	0.474184	0.0366848	0.00658062	0.00174122	0.0301383
h	0.000353107	0.00160926	0.0409589	0.171898	0.148083	0.293897	0.0992489	0.0683308	0.0115872	0.164034
i	0.000149598	0.00159691	0.0372152	0.0388733	0.117647	0.345192	0.0852753	0.0792176	0.0272501	0.267582
r	0.000237992	0.00171396	0.0192883	0.00440827	0.158936	0.121018	0.386824	0.168251	0.0468111	0.0925105
i	0.00138029	0.00500412	0.0235453	0.00243941	0.0588522	0.0604912	0.0534579	0.109352	0.387883	0.297594
m	0.000432793	0.00349536	0.0113278	0.00149904	0.0726857	0.0603814	0.334602	0.272265	0.103199	0.140112
ó	0.000466877	0.000274035	0.00298332	0.00130367	0.0227493	0.00501623	0.0962494	0.221194	0.205575	0.444188
s	8.69735e-05	0.000426943	0.00140484	0.000623475	0.00472054	0.00659325	0.0160172	0.0542833	0.891472	0.0243712
i	0.000300396	0.00251789	0.00324995	0.000781649	0.00236163	0.00123288	0.0245028	0.0597088	0.87398	0.0313643
n	4.39906e-05	0.000257388	0.00132404	0.000469018	0.00482666	0.00638421	0.0344979	0.0993431	0.698407	0.154447
g	2.2652e-05	0.00010902	0.00154914	0.000306821	0.00592051	0.0028255	0.0283692	0.118885	0.700327	0.141685
a	2.59429e-05	7.89124e-05	0.00101518	5.3807e-05	0.00260923	0.00242737	0.00463907	0.029173	0.729628	0.23035
</S>	7.26497e-05	0.000259679	0.00451779	0.00085581	0.0163149	0.00633451	0.0754609	0.205831	0.29748	0.392872
