 	il	brûlait	de	partir	</S>
w	0.995363	0.00105337	0.00337932	9.9717e-05	0.000104458
a	0.977682	0.000959784	0.020848	0.000440416	6.97917e-05
l	0.685404	0.127978	0.152159	0.00964204	0.0248172
á	0.168821	0.0668926	0.139248	0.0439949	0.581043
a	0.532531	0.101036	0.158423	0.0379839	0.170025
w	0.00981561	0.962666	0.00966319	0.0105422	0.00731255
á	0.0191467	0.892821	0.0319371	0.0432528	0.0128427
m	0.0608482	0.609331	0.114994	0.0586472	0.15618
ó	0.278048	0.233639	0.396798	0.0252792	0.0662361
p	0.125638	0.131613	0.421188	0.191066	0.130496
ó	0.0283866	0.109023	0.0983118	0.632729	0.13155
s	0.0191557	0.0802391	0.281625	0.487401	0.13158
á	0.00424542	0.107528	0.354146	0.225045	0.309036
o	0.0458368	0.0202266	0.518968	0.281746	0.133223
d	0.000381117	0.00615055	0.0852578	0.859298	0.0489127
z	0.000434087	0.00258471	0.0340403	0.690918	0.272023
w	0.00218783	0.00396695	0.045086	0.883189	0.0655706
a	0.00638841	0.00338895	0.149287	0.689038	0.151897
</S>	0.000724993	0.00273706	0.199782	0.173024	0.623732
