 	il	lui	est	arrivé	un	grand	malheur	</S>
w	0.812649	0.121721	0.0298448	0.0091826	0.00640232	0.0144154	0.00493035	0.00085426
a	0.689827	0.0915843	0.0163769	0.0138934	0.019718	0.148302	0.0194416	0.000856913
á	0.221287	0.529013	0.163187	0.0433519	0.00862215	0.00950637	0.00734243	0.0176901
m	0.0569131	0.23796	0.472917	0.127892	0.0366871	0.0151046	0.0210476	0.0314787
i	0.00991195	0.350642	0.277296	0.140978	0.0568518	0.0279411	0.0134995	0.12288
k	0.00920555	0.0727178	0.335291	0.37922	0.0857304	0.017886	0.0131637	0.0867853
u	0.00801891	0.041018	0.215479	0.261435	0.178584	0.0257351	0.0313701	0.238361
l	0.00741292	0.0264393	0.219459	0.347479	0.267529	0.0521736	0.0127039	0.0668025
á	0.0675808	0.0961593	0.197125	0.203473	0.149366	0.118862	0.0176766	0.149757
o	0.0114188	0.0452829	0.114896	0.155432	0.150367	0.25274	0.252019	0.0178433
t	0.00892986	0.00572613	0.013576	0.0373634	0.216677	0.218183	0.445159	0.0543855
ó	0.00239215	0.00315763	0.0249071	0.0798823	0.298188	0.244009	0.287074	0.0603896
n	0.00102508	0.00829349	0.0572535	0.157897	0.215148	0.0769331	0.297709	0.18574
g	0.00966833	0.0200175	0.0699301	0.232423	0.304562	0.122392	0.0995106	0.141497
i	0.0324918	0.029266	0.0404621	0.183611	0.27527	0.195536	0.155948	0.0874156
</S>	0.00965184	0.0177904	0.0376194	0.0565888	0.152141	0.0828454	0.0898505	0.553512
