 	les	gens	ne	savent	pas	qui	élire	comme	chef	du	village	</S>
b	0.432651	0.529773	0.017698	0.00294977	0.0100772	0.00346422	0.000679961	0.00185811	0.000139605	0.000505609	0.000193497	9.67515e-06
a	0.0300735	0.957422	0.00681567	0.000152792	0.00100313	0.000612513	0.000101576	0.00340466	1.34132e-05	0.000326688	1.40079e-06	7.31918e-05
r	0.0566997	0.893541	0.0169769	0.0121533	0.0111967	0.00246768	0.00090229	0.00527649	4.78094e-05	0.000210869	3.30734e-06	0.000523906
e	0.398992	0.400877	0.0180913	0.084329	0.0327255	0.00900968	0.00436078	0.0170859	0.00232508	0.0015968	5.53211e-06	0.0306014
b	0.405485	0.259285	0.212491	0.0292493	0.0323662	0.0203288	0.00668279	0.00876303	0.000281538	0.00536053	0.000102325	0.0196038
á	0.11594	0.111652	0.314867	0.0296446	0.0864148	0.041105	0.00922318	0.101822	0.000334037	0.0388368	1.48591e-05	0.150145
a	0.148332	0.0655648	0.471375	0.107348	0.0715407	0.0286092	0.0277937	0.0298018	0.00229799	0.0144897	0.000877508	0.0319699
d	0.01763	0.00972275	0.333686	0.479481	0.019844	0.054	0.0262	0.00738934	0.0209656	0.00313675	0.00100022	0.0269445
z	0.00145103	0.000767605	0.0695783	0.836135	0.00837626	0.0359121	0.0094508	0.00299733	0.00689348	0.000542959	0.000122679	0.0277727
á	0.00983318	0.000128249	0.0382038	0.821425	0.0279203	0.0545803	0.0346085	0.0023399	0.00331167	0.000290662	5.22876e-05	0.00730635
d	0.00354489	0.000847253	0.0407137	0.770705	0.0634012	0.0483573	0.00708336	0.00706935	0.00483903	0.00391367	0.00088635	0.0486385
z	0.000165407	3.00864e-05	0.0021594	0.947169	0.0095584	0.0197435	0.0057328	0.00182	0.00268423	0.000362415	6.35468e-05	0.0105115
á	0.000861686	2.36486e-05	0.00233878	0.843497	0.0259091	0.0435431	0.0708137	0.00236706	0.00475627	0.000313018	0.000433702	0.00514275
n	0.00309154	0.000677707	0.0150503	0.317456	0.20572	0.284756	0.0629843	0.0400118	0.0121204	0.00806744	0.00182873	0.048236
g	0.0128328	0.0034481	0.0139958	0.198442	0.307904	0.205028	0.115098	0.0764088	0.00642645	0.0113916	0.000279981	0.0487441
á	0.00559107	0.000570952	0.00229486	0.0360012	0.260195	0.134428	0.431417	0.0971331	0.00519706	0.00324542	0.000131704	0.023795
m	0.00498256	0.000851916	0.0195871	0.0240092	0.287006	0.351705	0.131377	0.125608	0.0088676	0.0198511	0.00122008	0.0249343
í	0.0153904	0.00103976	0.00629413	0.00467241	0.0692387	0.163361	0.113399	0.461309	0.00255915	0.0557726	0.00164692	0.105316
y	0.00639251	0.00345557	0.00947574	0.00938104	0.0645811	0.128224	0.463433	0.207255	0.0735255	0.00991522	0.00843264	0.015928
é	0.00240311	0.000101249	0.0026743	0.0479757	0.0653332	0.230894	0.483381	0.073518	0.0357136	0.0140078	0.0220307	0.0219677
n	0.000907859	4.04613e-05	0.00102928	0.0198589	0.0410732	0.124879	0.454491	0.153291	0.0564899	0.0137477	0.0162328	0.117959
g	0.000664226	0.000101516	0.00186446	0.0108258	0.0442675	0.164567	0.555953	0.158845	0.0103664	0.0146715	0.00083587	0.0370377
a	7.92595e-05	2.52107e-05	0.000352397	0.00200182	0.034148	0.0788977	0.738921	0.111284	0.015693	0.00696603	0.00042855	0.0112038
l	0.0011221	0.000212626	0.00391476	0.00211045	0.0685652	0.117592	0.216425	0.43551	0.0279612	0.0807362	0.00323418	0.0426163
ó	0.00249653	0.000473147	0.00385671	0.00544528	0.0244052	0.0589276	0.407703	0.303847	0.0255437	0.06405	0.00228705	0.100965
k	0.000446828	4.77225e-05	0.00118875	0.0010573	0.00621114	0.0302243	0.130633	0.300964	0.172651	0.189261	0.0460643	0.12125
o	0.000173443	0.000373523	0.000745766	0.00189153	0.00204907	0.00434065	0.0115199	0.0382388	0.88123	0.0114483	0.0188091	0.0291804
n	0.000187944	0.000171716	0.000191471	0.00552233	0.000518803	0.00400311	0.00230626	0.00461894	0.834383	0.00544502	0.136114	0.00653746
d	0.000584361	0.000436953	0.000392587	0.00133484	0.000736604	0.00562346	0.00794304	0.0198643	0.906856	0.00983138	0.017049	0.0293475
z	0.000243769	6.57672e-05	0.000104678	0.00102889	0.0011009	0.00378861	0.0171785	0.0187736	0.879334	0.0166273	0.014109	0.047645
i	0.00087498	0.00018611	0.000300564	0.00664021	0.00498239	0.00403691	0.0364642	0.061105	0.635931	0.0730829	0.118099	0.0582961
y	0.00121848	0.000121799	0.00313386	0.00189092	0.00831646	0.0228271	0.0430665	0.124003	0.0349895	0.400682	0.0163126	0.343438
a	0.00159973	0.000221208	0.00872757	0.0220015	0.0409453	0.0455321	0.0759214	0.121055	0.0398305	0.268643	0.10783	0.267694
p	0.000859522	0.000417943	0.00225999	0.00879555	0.0315243	0.0104336	0.0213284	0.0466539	0.0300515	0.156332	0.548957	0.142386
o	4.44138e-05	0.000211082	0.0010189	0.00638256	0.00148869	0.00148994	0.00214962	0.00267584	0.0267561	0.0108749	0.930775	0.0161329
o	4.63232e-05	2.88365e-05	7.43308e-05	0.00171268	0.000213536	0.000582348	0.00123575	0.00231214	0.0322001	0.0196014	0.906162	0.0358302
</S>	0.0030512	0.000391818	0.00522529	0.00472715	0.0135513	0.0231941	0.00676386	0.058042	0.0115588	0.206527	0.0736177	0.59335
