 	la	voiture	a	heurté	l'	enfant	</S>
o	0.844224	0.137482	0.0113231	0.00287189	0.003714	0.000330416	5.43637e-05
t	0.0107636	0.987404	0.00115973	0.000505893	6.70005e-05	4.97395e-05	5.00369e-05
ω	0.00713272	0.989596	0.000976778	0.00207514	0.000148527	6.46879e-06	6.41928e-05
m	0.00424356	0.994588	0.000438754	0.000336337	4.70629e-05	4.62591e-05	0.000300113
b	0.117037	0.797795	0.0252472	0.0178969	0.00154505	0.00795357	0.032525
í	0.123985	0.478894	0.0716258	0.0438364	0.00628961	0.0238211	0.251548
l	0.430497	0.257208	0.0668491	0.00368788	0.00885339	0.00253838	0.230367
i	0.563576	0.341972	0.0220953	0.00866124	0.00694339	0.00262515	0.0541262
ó	0.193261	0.0184107	0.658252	0.0505352	0.0412645	0.0084606	0.0298161
d	0.219859	0.0128777	0.424468	0.242023	0.0724535	0.0101693	0.0181495
z	0.00226719	4.58242e-05	0.0450942	0.88436	0.0123799	0.00287112	0.0529817
a	0.0203129	0.000414041	0.132885	0.717684	0.0954824	0.0244929	0.00872878
r	0.0270531	0.000128149	0.102316	0.435875	0.275752	0.0276052	0.13127
i	0.00870833	0.0019799	0.0236189	0.170706	0.519198	0.250244	0.0255446
m	0.0106528	0.00123985	0.217162	0.30603	0.245007	0.0365732	0.183335
w	0.00284455	0.000168596	0.0157465	0.0375278	0.0447852	0.832865	0.0660619
á	0.000210327	2.95019e-05	0.000785898	0.00909024	0.00848893	0.976742	0.00465283
n	0.0123633	1.73184e-05	0.00348336	0.0283389	0.123993	0.778565	0.0532388
a	0.00124282	0.000388927	0.00525803	0.104342	0.10579	0.683987	0.0989908
</S>	0.0408821	0.00800379	0.0561828	0.0637165	0.194499	0.0669296	0.569786
