 	les	anciens	du	villages	se	sont	réunis	pour	la	palabre	</S>
a	0.731899	0.111164	0.139419	0.0116117	0.00384819	0.000569178	0.000162293	0.000378067	0.000792597	0.000132263	2.34873e-05
k	0.117482	0.688157	0.0341804	0.154335	0.00101253	0.000616372	0.00131099	0.000549497	0.000854654	0.000907991	0.000593039
a	0.0328868	0.637297	0.0280268	0.265517	0.00467579	0.00332444	0.0182254	0.00212258	0.00109021	0.00325097	0.00358299
n	0.0132411	0.570641	0.316884	0.0732231	0.007091	0.00164951	0.00809176	0.00118649	0.00093534	0.00221353	0.00484258
í	0.389612	0.435486	0.126807	0.0161757	0.0065481	0.00299006	0.0129735	0.00220794	0.000415379	0.000176774	0.00660706
b	0.138704	0.070677	0.67187	0.0124357	0.0740921	0.0182925	0.00412367	0.00350471	0.00220494	0.000865126	0.00322981
á	0.166038	0.0355086	0.252037	0.00972805	0.230308	0.0631768	0.0444906	0.0746704	0.0293988	0.0158706	0.0787725
p	0.0498706	0.00850272	0.179375	0.241578	0.407125	0.0796724	0.0069573	0.00900988	0.00514003	0.000811226	0.011958
o	0.019549	0.0139328	0.0237169	0.761335	0.0592926	0.0559212	0.0576233	0.00381154	0.0018063	0.00143398	0.00157688
o	0.00763814	0.00959106	0.0266974	0.701874	0.105305	0.0845864	0.049979	0.0041084	0.00144927	0.00310714	0.00566343
á	0.00479649	0.00317965	0.0272299	0.00488385	0.288023	0.412241	0.159514	0.0487919	0.0215231	0.0129856	0.0168309
m	0.00514096	0.0171563	0.0208695	0.00175033	0.0548167	0.296122	0.375692	0.123147	0.0506955	0.0367322	0.0178778
i	0.0110051	0.0147474	0.00524021	0.00155169	0.0420686	0.202745	0.197117	0.248041	0.164422	0.0479836	0.0650779
t	0.00114624	0.00485308	0.000823369	0.00884042	0.00855527	0.0580311	0.633559	0.0565448	0.0276019	0.173548	0.0264969
έ	0.000324262	0.00796139	0.000777447	0.0131416	0.00193787	0.0234499	0.845742	0.0350945	0.00943964	0.0321096	0.0300215
n	0.00148745	0.0044977	0.00795074	0.00393838	0.0235871	0.0965269	0.689871	0.0781118	0.029569	0.0154116	0.0490485
έ	0.0251337	0.00800868	0.0220364	0.0094661	0.162215	0.166736	0.410199	0.141555	0.0326874	0.0021475	0.019816
m	0.00272458	0.000396768	0.0153002	0.00334861	0.125022	0.126291	0.0899497	0.361714	0.235799	0.0156232	0.0238316
ó	0.0172097	0.00328357	0.000439269	0.00376956	0.025562	0.0376009	0.0561906	0.39325	0.0787468	0.0268535	0.357094
ω	0.0204381	0.00353516	0.0106029	0.021706	0.018958	0.038841	0.0176695	0.126376	0.264805	0.454689	0.0223791
l	0.000802904	0.00144988	0.000764062	0.00393631	0.000678544	0.00370266	0.0256416	0.0431909	0.0498444	0.855632	0.014357
έ	0.000208165	0.000718517	0.0012895	0.000162466	0.00026694	0.00210909	0.0131977	0.0212501	0.0227302	0.910356	0.0277118
b	7.09351e-05	0.000137429	0.000812736	0.000262815	0.00243828	0.0117903	0.0254716	0.0831857	0.0792777	0.580352	0.216201
h	0.0153353	0.00631223	0.0126001	0.000758934	0.0192746	0.039438	0.117917	0.284964	0.213843	0.126238	0.163318
έ	0.00160469	0.00102534	0.00403773	0.000864115	0.0207996	0.0260625	0.172931	0.269105	0.161001	0.197353	0.145216
</S>	0.00528419	0.000871206	0.00412773	0.000861469	0.00899806	0.0109114	0.0188939	0.154124	0.192225	0.102142	0.501562
