 	pour	sécher	un	habit	il	faut	d'	abord	le	mettre	à	l'	envers	</S>
m	0.644683	0.179393	0.0763723	0.0125552	0.0137758	0.0253048	0.0186132	0.00714775	0.0132338	0.00584742	0.00119298	0.0014448	0.000306904	0.000129234
í	0.18297	0.217972	0.313018	0.060794	0.0476834	0.00898723	0.0312272	0.0262532	0.0177849	0.00955907	0.0178874	0.0107169	0.000975977	0.0541703
w	0.348938	0.197776	0.112523	0.223723	0.0248488	0.0206453	0.0139344	0.0359599	0.00531392	0.00332863	0.00303001	0.00145643	0.00248845	0.0060349
ó	0.0500467	0.245164	0.170457	0.0967027	0.132079	0.115579	0.0411186	0.0212867	0.0373994	0.0199303	0.0213071	0.00495193	0.00351988	0.0404581
m	0.119506	0.0290761	0.354443	0.077198	0.0739857	0.0467357	0.0397529	0.0178261	0.0209903	0.00637454	0.0298803	0.0220424	0.00472201	0.157467
i	0.294098	0.0906344	0.377823	0.0330563	0.0734689	0.00368596	0.0255789	0.00285459	0.0159184	0.0107936	0.0239557	0.00790761	0.00137102	0.0388535
s	0.136988	0.128774	0.405905	0.14335	0.0641702	0.0163146	0.0190843	0.00913874	0.00982547	0.0116973	0.0126733	0.0085535	0.00479881	0.0287267
a	0.0468031	0.320457	0.355353	0.154641	0.0358414	0.00568838	0.0151295	0.0298012	0.00634225	0.000536471	0.00559279	0.0051854	0.00131084	0.0173169
l	0.0309873	0.219783	0.273663	0.0809195	0.143626	0.0306658	0.0517727	0.0285535	0.0421761	0.00297055	0.0174272	0.021288	0.00404786	0.052119
ó	0.0268507	0.0327024	0.359507	0.144389	0.0733578	0.0315575	0.0505407	0.0543019	0.0155104	0.00247025	0.0258604	0.0195504	0.00404664	0.159355
k	0.0373055	0.0286262	0.174181	0.152285	0.175413	0.110211	0.0742644	0.0257246	0.0221624	0.00472326	0.0272177	0.0299669	0.022551	0.115368
á	0.00445805	0.000644761	0.0289755	0.722345	0.0609136	0.124212	0.0132457	0.00460643	0.00186386	0.0217135	0.00339823	0.000375379	0.00656289	0.00668504
n	0.00422219	0.00715346	0.0349016	0.368073	0.147938	0.164692	0.0263219	0.0209475	0.0084764	0.0674549	0.0150795	0.00183609	0.0173099	0.115594
d	0.0052984	0.00367352	0.0614827	0.433421	0.151488	0.185243	0.0346883	0.0182339	0.00996144	0.0166411	0.0101774	0.00197182	0.00307932	0.0646397
á	0.0216524	0.0421999	0.145598	0.366606	0.142929	0.0877139	0.0370441	0.0417086	0.0126749	0.00306	0.00637808	0.00300134	0.00407827	0.0853563
l	0.0182959	0.00868141	0.149486	0.0352239	0.240256	0.178029	0.168923	0.037265	0.0898437	0.0150027	0.0205845	0.0154837	0.00331099	0.0196133
ó	0.0197906	0.0115241	0.116576	0.0308301	0.0986621	0.130216	0.222385	0.082022	0.106444	0.0133803	0.0406271	0.029633	0.00449281	0.0934169
o	0.00705803	0.00192877	0.0228464	0.0118054	0.107144	0.303909	0.288189	0.0637071	0.0713276	0.00855466	0.0229616	0.0228714	0.00818501	0.059512
b	0.00819767	0.00229139	0.0499586	0.0758681	0.0145762	0.0360217	0.246837	0.439122	0.0439023	0.0258496	0.0175632	0.0109991	0.0223461	0.00646647
á	0.00695131	0.00170589	0.0592091	0.105736	0.0300204	0.023731	0.191725	0.0805999	0.048303	0.353427	0.0487518	0.00969086	0.0284342	0.0117152
n	0.00299406	0.00551492	0.0247765	0.0261314	0.033865	0.0817961	0.134946	0.270719	0.0726134	0.132874	0.0574997	0.0129439	0.0338023	0.109524
d	0.000694652	0.000895419	0.00898937	0.035626	0.0829151	0.332952	0.175387	0.121031	0.0907823	0.0570803	0.0284447	0.00594497	0.00348242	0.0557746
á	0.00738482	0.010441	0.0252025	0.0485505	0.112892	0.146275	0.177326	0.207177	0.0998462	0.0131427	0.0229313	0.00884698	0.00406032	0.115925
o	0.00220449	0.000638589	0.00597687	0.00196173	0.0245259	0.0334276	0.122064	0.0509017	0.303279	0.0611486	0.192967	0.156078	0.0127555	0.032071
f	0.00277335	0.00167305	0.029132	0.0357381	0.00218741	0.00258884	0.0264671	0.0950049	0.0428388	0.064736	0.230135	0.207548	0.197948	0.0612291
ú	0.00212609	0.00156413	0.0225722	0.0338481	0.006001	0.00713096	0.0443396	0.0809385	0.0532259	0.0659785	0.151473	0.0734964	0.389063	0.068243
n	0.000251249	0.000224899	0.000828978	0.00113731	0.000725726	0.00523528	0.0206302	0.0179562	0.0608389	0.0560574	0.193936	0.127597	0.252613	0.261968
d	0.00663641	0.00275969	0.00341363	0.00700722	0.00231385	0.00587156	0.0346212	0.11869	0.124872	0.158017	0.165493	0.0783484	0.151403	0.140553
á	0.00212156	0.000772098	0.00486384	0.00825532	0.00499496	0.00833091	0.0599926	0.159678	0.109399	0.0301348	0.154833	0.159619	0.179133	0.117873
m	0.00288083	0.000619146	0.00241692	0.00145948	0.00671065	0.00457897	0.0147971	0.013205	0.0517152	0.0106002	0.122906	0.213003	0.231643	0.323465
u	0.0126873	0.0113466	0.0229926	0.00417394	0.0180429	0.0022545	0.0228043	0.00680592	0.0396399	0.0323834	0.129768	0.101589	0.177023	0.418489
a	0.000540122	0.000778995	0.00214656	0.00159166	0.0011189	0.00175053	0.0145958	0.0188613	0.0339278	0.0180945	0.0786913	0.156306	0.379766	0.291831
</S>	0.000473674	0.00022199	0.00175951	0.000924501	0.0037815	0.00482074	0.0133409	0.00465849	0.0394254	0.00877826	0.0820635	0.275727	0.185667	0.378357
