 	l'	enfant	a	cassé	la	calebasse	</S>
m	0.739626	0.247207	0.00409009	0.00193922	0.00539265	4.76687e-05	0.00169717
w	0.0174312	0.98144	0.000515955	0.000298869	0.000255565	5.06529e-06	5.33505e-05
á	0.0138043	0.983767	0.000258004	0.00197889	0.000158285	1.76086e-05	1.63304e-05
n	0.456819	0.540372	0.000419391	0.000332803	0.000281259	6.60855e-05	0.00170955
a	0.605622	0.349105	0.0177404	0.0125244	0.00340244	0.00158731	0.0100184
á	0.739786	0.119204	0.0927266	0.00402552	0.0281905	0.00225945	0.0138071
m	0.0255017	0.0168356	0.756999	0.152919	0.0177222	0.0116509	0.0183718
i	0.00478245	0.00454504	0.520168	0.388942	0.0579007	0.000953089	0.0227088
b	0.00049996	0.00123003	0.201774	0.78555	0.00498616	0.001012	0.00494809
o	0.000483045	0.000293689	0.0348464	0.951418	0.00764523	0.000157672	0.0051564
n	0.000214151	0.00010145	0.0333483	0.957757	0.00270651	0.000370147	0.00550191
d	0.0132707	0.00267523	0.115515	0.652744	0.0606938	0.00253966	0.152561
z	0.00421884	0.00228834	0.0467346	0.459242	0.115915	0.00280079	0.3688
á	0.00790106	0.00536179	0.0651907	0.242928	0.197524	0.0146186	0.466475
t	0.00479413	0.00104933	0.017856	0.0898442	0.675493	0.182239	0.0287236
s	0.00213466	0.000315423	0.0015704	0.00536466	0.0807741	0.87264	0.0372011
ó	0.000195295	8.2776e-05	0.000646982	0.0080699	0.0781342	0.885673	0.027198
o	0.000463169	0.000443585	0.00410315	0.0159336	0.120344	0.655383	0.203329
</S>	0.000378981	0.000120827	0.0151562	0.0152163	0.0769183	0.00727121	0.884938
