 	il	n'	est	bon	à	rien	</S>
w	0.83382	0.0967035	0.0250668	0.0170405	0.0135293	0.00885213	0.00498759
a	0.743227	0.121299	0.0137241	0.0137323	0.0931955	0.0114975	0.00332466
a	0.243399	0.53361	0.092791	0.0166667	0.048325	0.00194915	0.0632597
d	0.0466681	0.220231	0.358411	0.104799	0.0818525	0.0332014	0.154836
í	0.0130028	0.104778	0.187144	0.0484166	0.0884212	0.0538176	0.50442
p	0.00539538	0.0213836	0.113094	0.0901856	0.0974587	0.0978643	0.574619
y	0.0111693	0.102471	0.0974062	0.161956	0.0967183	0.0902744	0.440005
e	0.0186694	0.0999739	0.19149	0.321666	0.109756	0.144435	0.11401
e	0.0116155	0.0324276	0.122218	0.259475	0.160053	0.0778661	0.336344
l	0.00797449	0.00903345	0.113452	0.174077	0.318189	0.0744658	0.302808
í	0.00880305	0.0142432	0.0688325	0.0787361	0.212552	0.0919118	0.524921
k	0.00462329	0.0054877	0.0428087	0.0430776	0.178046	0.111524	0.614432
a	0.0013621	0.0017162	0.00623854	0.0397858	0.0754527	0.410624	0.464821
á	0.000241989	0.00254617	0.00947193	0.0675368	0.0246906	0.00819897	0.887314
</S>	0.0402363	0.0262371	0.0641319	0.0715899	0.22256	0.0372435	0.538001
