 	nous	n'	avons	pas	pu	poursuivre	le	lièvre	dans	cette	forêt	parce	qu'	elle	est	touffue	</S>
b	0.588439	0.345156	0.0112094	0.0291848	0.0132435	0.000704245	0.000562024	2.38727e-05	0.00165293	0.00221163	0.00348297	0.0015821	0.0013138	0.000231119	0.000151334	0.000779563	7.17459e-05
í	0.774416	0.151307	0.0189692	0.0255735	0.00989045	0.00389392	0.00166992	2.58672e-05	0.000965439	0.0020184	0.00139771	0.00258986	0.00462255	0.000841717	0.000600484	0.00101217	0.000205977
s	0.660304	0.228609	0.0564084	0.0128547	0.0115542	0.00175779	0.000740955	0.00105251	0.000536541	0.00229532	0.0013555	0.00628172	0.0127627	0.00179228	0.000602888	0.000250969	0.00084081
í	0.844685	0.106719	0.0202096	0.00513247	0.00538798	0.000461736	0.00119044	0.000489083	0.000892773	0.00278757	0.00049704	0.00243457	0.00645081	0.00113981	0.000142616	0.000101512	0.00127791
l	0.0440514	0.212242	0.213113	0.0735298	0.0714091	0.0129566	0.00454658	0.00852277	0.00545047	0.00894654	0.0142152	0.0217416	0.0289959	0.032045	0.0226193	0.0127192	0.212895
é	0.0314644	0.0612026	0.333736	0.0586216	0.0358829	0.0483284	0.0291781	0.0124734	0.025461	0.0249432	0.0148229	0.0293641	0.0360637	0.0542642	0.0420103	0.00969521	0.152488
k	0.0161818	0.095674	0.292038	0.0777401	0.340077	0.0916338	0.0162901	0.0199443	0.00982635	0.00855665	0.00252124	0.00139726	0.00261674	0.00399583	0.00865074	0.00224763	0.0106088
ώ	0.000826137	0.0204628	0.0701223	0.052283	0.765498	0.0188501	0.0112648	0.0381711	0.00355123	0.00265344	0.00306136	0.00129915	0.001288	0.00309246	0.0026207	0.00135275	0.00360254
n	0.0173256	0.0601248	0.0254061	0.0938438	0.550983	0.0847188	0.0350163	0.0341222	0.0159818	0.0057081	0.0186375	0.00444492	0.00171974	0.00758317	0.0127911	0.0091851	0.0224083
d	0.00858767	0.0536099	0.0911987	0.100996	0.267663	0.116016	0.0907943	0.0169452	0.0260395	0.0210774	0.0250237	0.024341	0.0188632	0.0258606	0.0245445	0.0159294	0.0725093
i	0.0028695	0.0384471	0.0450808	0.100402	0.146795	0.065566	0.0639933	0.0276854	0.0495277	0.0497755	0.054535	0.046364	0.0562623	0.0434866	0.0258568	0.0330645	0.150288
o	0.0142785	0.0544449	0.191655	0.237359	0.0186611	0.0694613	0.291842	0.0193093	0.0244304	0.0215346	0.00457339	0.00953075	0.0201759	0.00703121	0.00447563	0.00105083	0.0101852
t	0.00130452	0.00886829	0.0704364	0.0427001	0.00853558	0.180798	0.416517	0.139297	0.0671134	0.0141933	0.0101883	0.0039659	0.00264703	0.007304	0.00904936	0.00199775	0.0150834
ú	0.000125325	0.00324069	0.0234561	0.0425536	0.0113972	0.0332524	0.157548	0.509701	0.0947153	0.0171767	0.0379417	0.0101452	0.00304062	0.0165732	0.0131066	0.00478585	0.021241
ú	3.65026e-05	0.00172312	0.00198283	0.0495028	0.0512035	0.0272958	0.0851839	0.728408	0.0196743	0.0039013	0.00553138	0.00157254	0.000709288	0.00254332	0.00464698	0.00270759	0.0133768
r	0.00024308	0.00358941	0.00348488	0.0882345	0.00491242	0.0175427	0.448084	0.0738256	0.194082	0.102559	0.0203138	0.0105637	0.0145476	0.00526505	0.00270401	0.0014636	0.00858453
á	0.00390345	0.00115188	0.00286469	0.0214589	0.00784109	0.0152148	0.100547	0.0748953	0.319345	0.258921	0.042173	0.0159464	0.0354643	0.00645212	0.00544184	0.0398279	0.0485516
t	0.00136898	0.00144968	0.00302071	0.0138378	0.00221425	0.00541314	0.0854346	0.14395	0.368164	0.223668	0.0784472	0.027068	0.0229113	0.0085192	0.00441176	0.00451321	0.00560884
s	0.00138386	0.00131606	0.00285414	0.00592523	0.00120737	0.000745731	0.00597246	0.336129	0.136708	0.0563048	0.286788	0.093255	0.0148859	0.0260233	0.00508677	0.00860235	0.0168119
έ	2.23571e-05	0.000133209	0.000137774	0.00194284	0.00145057	0.000469593	0.00562964	0.268527	0.266775	0.0669377	0.245969	0.0604752	0.0113591	0.019303	0.00895892	0.0317915	0.0101186
s	0.000153917	0.000186109	0.000613762	0.00313729	0.000361477	0.000565359	0.0203704	0.0986269	0.388614	0.143815	0.152629	0.0569103	0.0384042	0.018213	0.00872648	0.0178137	0.0508594
i	1.86044e-05	7.31701e-05	0.000142065	0.000774672	0.00099546	0.000614814	0.00572491	0.476331	0.14195	0.0771556	0.071462	0.0302083	0.0265939	0.0210932	0.0240562	0.0479934	0.0748127
s	0.00018539	0.000609734	0.000391981	0.00541001	0.000404006	0.00071004	0.00636291	0.0315615	0.125054	0.38938	0.115347	0.0628007	0.126871	0.0586047	0.019757	0.00753133	0.0490185
ó	0.00261993	0.0010067	0.00308185	0.0022441	0.000616888	0.00146621	0.00234652	0.0139536	0.189648	0.369074	0.086357	0.07793	0.0813974	0.0356538	0.0154265	0.0134651	0.103712
k	0.00421719	0.00151127	0.00164972	0.00407776	0.000953654	0.00197248	0.000831896	0.00469722	0.0618159	0.138778	0.172488	0.260337	0.128498	0.0747467	0.0160157	0.0537934	0.073617
o	0.000144971	0.000224556	0.000307041	0.00101091	0.000346452	0.000199206	0.000315413	0.0039737	0.0192756	0.0245984	0.671077	0.152481	0.0109484	0.0446921	0.00647947	0.0418684	0.0220581
n	0.000416644	0.00162541	0.00124561	0.00485507	0.00652345	0.0016625	0.00331623	0.0951352	0.0390651	0.0591638	0.388384	0.135039	0.0362066	0.120916	0.0402881	0.0292314	0.0369259
d	0.00119318	0.00282731	0.000888989	0.0097042	0.0324298	0.0149555	0.0154801	0.142679	0.064625	0.203735	0.180732	0.0412296	0.0252987	0.042991	0.039872	0.0418344	0.139524
a	0.000805553	0.00135457	0.000374494	0.00319345	0.0208628	0.0131157	0.00339985	0.050235	0.0508477	0.0801518	0.229435	0.063392	0.0507443	0.0565364	0.0206714	0.0525862	0.302293
