 	le	poulet	qu'	ils	sont	en	train	de	manger	a	crevé	d'	étouffement	</S>
t	0.399907	0.385332	0.121846	0.0154389	0.00449444	0.0110605	0.0265407	0.0230284	0.000525545	0.0089663	0.000390975	0.00225804	6.022e-05	0.000151102
s	0.0550728	0.862738	0.0136203	0.0103514	0.00786427	0.0232796	0.0188013	0.00233042	0.00125063	0.00174528	0.000535944	0.00125164	0.000301386	0.000857034
ó	0.00905271	0.9095	0.014858	0.00287393	0.00576421	0.027126	0.0117974	0.00517551	0.00327097	0.0040783	0.00215541	0.00185203	0.00134364	0.00115222
s	0.0187485	0.854939	0.0476965	0.00799289	0.00534917	0.027815	0.022175	0.00234867	0.000414159	0.00185036	0.000970795	0.00205968	0.00333615	0.00430446
ó	0.0439184	0.773913	0.0954807	0.000698403	0.00883261	0.0105094	0.00262921	0.0105343	0.00587168	0.00700641	0.00722424	0.00290512	0.00503674	0.0254395
y	0.218454	0.136632	0.525016	0.0156829	0.0164158	0.0123334	0.00591584	0.0241666	0.00545483	0.0136115	0.0049739	0.00802383	0.00221826	0.011101
é	0.685647	0.0672048	0.128973	0.00464722	0.017822	0.00882663	0.00318686	0.0199934	0.0171091	0.0207628	0.00653033	0.00760203	0.00405481	0.007641
é	0.37416	0.036022	0.317918	0.0532834	0.0204487	0.0404486	0.017044	0.0531297	0.010219	0.0242439	0.00270125	0.0130525	0.00498248	0.0323468
d	0.14071	0.0128769	0.105924	0.150027	0.151451	0.0438125	0.022329	0.046581	0.20403	0.0375966	0.0384241	0.0172769	0.0172359	0.0117257
i	0.0170496	0.00101045	0.0571831	0.0332957	0.348662	0.0523022	0.000492277	0.0309047	0.265754	0.0169896	0.0310279	0.0220925	0.00761304	0.115623
b	0.057071	0.001479	0.139625	0.136831	0.254386	0.133205	0.00445529	0.0471105	0.0999854	0.0304871	0.0271688	0.0274884	0.0095538	0.0311545
á	0.0155234	0.00417392	0.0182893	0.574915	0.0520003	0.160537	0.0544073	0.0357572	0.0137	0.027924	0.0165318	0.00764746	0.011797	0.00679621
a	0.00749536	0.00110913	0.0428139	0.43706	0.0403374	0.110784	0.149427	0.119438	0.0428422	0.0229469	0.00722591	0.00284743	0.00386142	0.0118105
b	0.00455744	0.000242228	0.0365854	0.133237	0.104486	0.0681829	0.0107454	0.301813	0.0639964	0.213986	0.0226009	0.0227822	0.00510503	0.0116802
á	0.0199333	0.00351234	0.0152449	0.214782	0.0475503	0.0666743	0.0887858	0.175463	0.120751	0.0864818	0.106811	0.0189169	0.0240353	0.0110578
b	0.00254844	0.000309198	0.0102742	0.44703	0.0444728	0.0696024	0.0630618	0.105639	0.120118	0.066243	0.0332866	0.00691492	0.00678397	0.023715
á	0.000874952	0.00106312	0.000573252	0.832765	0.0139572	0.0188981	0.0392835	0.0233925	0.0400911	0.0106081	0.0146398	0.00155456	0.00140012	0.000898708
a	0.00219418	0.000128112	0.00368694	0.526342	0.0360417	0.0698134	0.0947143	0.0737731	0.0690983	0.0587379	0.0486923	0.00852198	0.00384462	0.00441082
d	0.00184363	0.000224025	0.00598701	0.0116774	0.0473737	0.0110647	0.000497939	0.0438716	0.128263	0.329495	0.201487	0.126034	0.0491529	0.0430276
z	0.00129308	0.000367768	0.00216217	0.00243939	0.03652	0.0102466	0.00023916	0.0126962	0.469666	0.0506212	0.165559	0.0629467	0.073422	0.111821
á	0.00266776	0.000334823	0.00817429	0.00242198	0.0574314	0.0128824	6.30521e-05	0.0147029	0.659048	0.0532448	0.114249	0.0290515	0.0230269	0.0227004
a	0.00375777	0.000297685	0.0100549	0.031255	0.0325729	0.0262102	0.00262045	0.0403939	0.0987397	0.173994	0.289955	0.142278	0.0510673	0.096804
á	0.0026166	0.000406069	0.00375899	0.00521333	0.0100504	0.00464978	0.000379971	0.00615326	0.0189662	0.096293	0.174712	0.373997	0.249307	0.053497
w	0.00521678	0.0045038	0.00757479	0.00678923	0.0209578	0.00760477	0.00143913	0.00658301	0.0332245	0.0368928	0.074678	0.170489	0.53739	0.0866563
é	0.000232742	0.00027692	0.00116013	0.00316231	0.0074107	0.00500987	0.000200228	0.00201673	0.0110268	0.028409	0.136314	0.143279	0.574747	0.0867551
e	0.000359912	0.000127249	0.0019889	0.00205241	0.0124924	0.00953598	0.00113987	0.0163167	0.0230622	0.0687555	0.186301	0.218551	0.282659	0.176659
e	0.00378704	0.000150704	0.00244404	0.00174609	0.00691509	0.00321181	7.17339e-05	0.00361786	0.00606127	0.0319899	0.062526	0.225935	0.347943	0.303601
d	0.00581961	0.000983919	0.00372835	0.00230021	0.0121055	0.00918661	0.000589434	0.00386784	0.0120223	0.0167256	0.0535841	0.121147	0.631374	0.126565
ú	0.000751157	0.000111076	0.00373166	0.000741436	0.0192109	0.0085653	2.25876e-05	0.00259015	0.0236163	0.00703322	0.0416234	0.215954	0.33419	0.341859
l	0.00103075	0.000252147	0.00237567	0.00169097	0.00999352	0.00792727	0.000142535	0.00478442	0.0168635	0.0348559	0.08509	0.346853	0.137124	0.351016
ú	0.00347106	0.00022687	0.00630852	0.00269004	0.0128073	0.0246763	0.000217331	0.00714045	0.00569266	0.0563035	0.0411478	0.313644	0.19763	0.328044
</S>	0.000991829	8.02734e-05	0.00241097	0.00115252	0.00335464	0.00412136	8.88441e-05	0.00193885	0.00119408	0.0177316	0.0115007	0.15317	0.138877	0.663387
