 	le	vêtement	est	accroché	au	mur	</S>
o	0.966338	0.0322252	0.000795572	0.000430759	0.000197312	1.07865e-05	2.86778e-06
k	0.0419354	0.94713	0.00793725	0.00141825	0.000472473	0.000120066	0.000986762
á	0.00319588	0.99408	0.000681602	0.0006894	0.000273299	0.00038711	0.000692416
n	0.00257951	0.988829	0.00405867	0.00146537	0.000639682	0.000830943	0.00159686
d	0.122467	0.861412	0.00597663	0.00668371	0.000584428	0.000561044	0.00231517
á	0.0197618	0.972019	0.00130371	0.00149935	0.000205812	0.00025883	0.00495169
ó	0.404978	0.0173805	0.51607	0.0261403	0.0147052	0.00157007	0.0191563
d	0.0475495	0.0519431	0.588788	0.232884	0.0521328	0.00697305	0.0197302
í	0.0282397	0.00430978	0.258428	0.365546	0.211845	0.00128101	0.13035
p	0.0839787	0.00349813	0.211757	0.304757	0.203675	0.00517459	0.18716
a	0.0071462	0.00457275	0.153281	0.780327	0.0222546	0.0202752	0.0121438
n	0.00375221	0.00892516	0.218551	0.632222	0.0526793	0.0310392	0.0528309
y	0.00362399	0.0243509	0.0976259	0.733526	0.0642128	0.0061165	0.0705443
á	0.000572577	0.000903118	0.0431338	0.825872	0.0629588	0.0142282	0.0523316
m	0.00281413	0.00186183	0.0284675	0.225562	0.687875	0.0354173	0.0180018
é	0.00215837	3.80939e-05	0.0138226	0.115806	0.141514	0.0178828	0.708777
b	0.00142668	0.00118936	0.0154503	0.0708478	0.203699	0.65463	0.052757
a	0.000319628	0.00025646	0.00120328	0.00995534	0.0120535	0.969668	0.00654388
á	0.000106498	0.000149187	0.00106751	0.0106542	0.00618316	0.957475	0.0243643
y	0.00792832	0.00110566	0.0221639	0.0197858	0.334198	0.138518	0.4763
á	0.0735176	0.00332061	0.0700654	0.0967755	0.592364	0.0206242	0.143333
n	0.0134411	0.00816014	0.00928466	0.034333	0.687099	0.15427	0.0934114
d	0.027167	0.00287923	0.00482449	0.0765087	0.66043	0.0172255	0.210965
é	0.0193433	0.00909735	0.00568246	0.066563	0.2095	0.0524812	0.637333
e	6.98695e-05	0.00167322	0.00538907	0.0614008	0.0996517	0.0818994	0.749916
</S>	0.00222927	0.00159513	0.0189999	0.0280805	0.298624	0.0936095	0.556862
