 	il	a	toujours	été	avare	</S>
w	0.677034	0.183734	0.103459	0.0314567	0.0034594	0.000856393
a	0.76371	0.112932	0.048353	0.0650327	0.00928022	0.000692464
a	0.0554216	0.414682	0.382258	0.104315	0.00573245	0.037591
d	0.0410894	0.301264	0.372085	0.161011	0.048673	0.0758772
í	0.00786997	0.248524	0.403834	0.0813143	0.00515033	0.253307
í	0.00924323	0.0543393	0.356886	0.0597663	0.0312859	0.488479
t	0.00768207	0.070699	0.468251	0.262988	0.133347	0.0570325
é	0.00132582	0.0490783	0.106626	0.154113	0.57201	0.116847
é	0.00715953	0.122729	0.373698	0.17944	0.160743	0.15623
l	0.012711	0.0552819	0.274614	0.300063	0.166394	0.190936
a	0.00965984	0.0374465	0.140897	0.232627	0.18442	0.394951
t	0.0159322	0.0263474	0.183641	0.231819	0.190868	0.351392
é	0.00556464	0.0187815	0.0464927	0.222012	0.529183	0.177967
e	0.000440596	0.00481218	0.0250679	0.125002	0.0867591	0.757918
l	0.00122487	0.0123849	0.0474037	0.0560414	0.0498161	0.833129
a	0.00814403	0.0329526	0.134183	0.0987822	0.056694	0.669244
p	0.00969334	0.0129081	0.0866317	0.0552314	0.0487172	0.786818
ó	0.00733369	0.0314207	0.0396423	0.1084	0.287646	0.525558
s	0.000556003	0.00276255	0.00791456	0.0426563	0.052607	0.893504
á	0.00656366	0.0256061	0.105712	0.0983534	0.251825	0.511939
b	0.0391872	0.0199238	0.0708396	0.104469	0.0582683	0.707312
e	0.0175811	0.0205534	0.0413436	0.0539053	0.504848	0.361768
a	0.00148657	0.00371747	0.0118095	0.0165887	0.106414	0.859984
</S>	0.00437856	0.0175382	0.0651347	0.0648502	0.0262618	0.821837
