 	ecoute	le	lion	qui	rugit	dans	la	forêt	</S>
b	0.496591	0.314363	0.0578311	0.0753824	0.0197261	0.00845758	0.0229437	0.0044764	0.000228465
ó	0.458269	0.382579	0.060328	0.0459856	0.013821	0.0090337	0.0217519	0.00534683	0.00288478
n	0.521088	0.292735	0.0239318	0.0392851	0.0103773	0.0242433	0.00910256	0.00600692	0.0732298
d	0.620558	0.168297	0.0276135	0.0459307	0.0170289	0.00994134	0.00518904	0.00646724	0.0989745
á	0.728154	0.106142	0.0457947	0.0226888	0.0516081	0.00288372	0.000850996	0.000370902	0.0415069
n	0.0521912	0.118855	0.531973	0.15325	0.0252494	0.0539854	0.0292066	0.00364786	0.0316425
g	0.033151	0.0658511	0.444976	0.246047	0.149961	0.0134978	0.00458764	0.00137097	0.0405571
u	0.0472172	0.029465	0.229783	0.173589	0.515834	0.00186139	0.000429298	0.000284173	0.00153712
ú	0.0358663	0.0710206	0.098729	0.371198	0.178863	0.125363	0.064514	0.0364754	0.0179707
n	0.00293885	0.0148634	0.0617957	0.277478	0.356699	0.211683	0.0357937	0.0105939	0.0281543
g	0.0261921	0.0587734	0.159793	0.277731	0.333853	0.0692459	0.0128825	0.00360304	0.0579257
u	0.00734572	0.00890964	0.090183	0.211515	0.652914	0.0223484	0.00237941	0.00112852	0.00327704
ú	0.00334365	0.0110516	0.0697782	0.303059	0.157104	0.365622	0.0558378	0.00877648	0.0254279
l	0.00109155	0.0031299	0.0167481	0.0947869	0.179096	0.515399	0.150323	0.0292997	0.0101266
á	0.00537764	0.00940757	0.0208104	0.0295529	0.0662019	0.513522	0.17623	0.0318451	0.147052
a	0.00852618	0.0246188	0.0336718	0.118507	0.0698758	0.194196	0.336299	0.136415	0.0778904
b	0.0197328	0.00571015	0.00121085	0.00854012	0.0535746	0.235916	0.358057	0.256074	0.0611843
h	0.0196064	0.0125631	0.00236427	0.0120484	0.00752534	0.168039	0.443787	0.156633	0.177434
ω	0.0554077	0.0126287	0.000474605	0.00568667	0.00804742	0.0603167	0.353227	0.268269	0.235942
ω	0.00100232	0.000807119	0.000410452	0.00362523	0.0128612	0.0964576	0.355038	0.282467	0.247331
s	0.000276675	0.000722873	0.000758256	0.0090454	0.00534365	0.0716828	0.274968	0.326719	0.310483
á	0.00199186	0.00478927	0.00539546	0.0164282	0.0188484	0.169462	0.305768	0.25017	0.227147
k	0.00139267	0.00384122	0.00314727	0.0181177	0.0129339	0.0299347	0.170088	0.672134	0.0884101
ω	0.00146381	0.00181923	0.000220874	0.0030945	0.00180236	0.00733354	0.0353019	0.921587	0.0273763
</S>	0.000648649	0.000502187	0.000156951	0.00255196	0.00391301	0.0209773	0.0315709	0.836954	0.102725
