 	le	tourbillon	a	fait	chavirer	la	pirogue	</S>
m	0.864928	0.127586	0.00663478	0.000377024	6.81872e-05	0.000113161	8.39044e-05	0.000208624
b	0.248034	0.709291	0.0147959	0.00814507	0.0030032	0.0110931	0.00168397	0.00395403
é	0.280561	0.707057	0.000878221	0.000747263	0.000974304	0.00189519	0.00688356	0.00100273
á	0.268652	0.700331	0.021806	0.000522407	6.4722e-05	0.000790725	0.000592127	0.00724026
é	0.018142	0.014635	0.915414	0.0326021	0.0025771	0.00207477	3.20977e-05	0.0145232
p	0.000825313	0.000982467	0.0675807	0.517246	0.401682	0.00765256	0.000295984	0.00373546
f	4.89862e-05	0.00013475	0.012254	0.258719	0.722501	0.00496219	0.00021699	0.00116315
u	0.000679328	0.000137061	0.00529715	0.20091	0.787513	0.00503529	7.56943e-05	0.000353215
u	0.00795808	0.00146727	0.0845567	0.231426	0.498408	0.107456	0.0487833	0.019945
s	0.0106186	0.00347446	0.0858974	0.0560639	0.0264293	0.690463	0.0581907	0.0688623
u	0.000411649	3.88523e-05	0.0039834	0.148874	0.148183	0.650431	0.00779091	0.0402866
b	0.0029606	0.00155104	0.0717393	0.0442942	0.0124147	0.278075	0.521381	0.0675839
v	0.000360932	0.000419397	0.000446851	0.0011669	9.47682e-05	0.0380943	0.95653	0.00288688
á	5.1144e-05	2.29532e-05	5.87502e-06	0.000137212	7.73928e-05	0.010933	0.988314	0.000458231
r	0.0022159	0.00161098	0.000682185	0.000559473	4.07413e-05	0.0876386	0.829573	0.0776787
e	0.0033391	0.00173347	0.000714221	0.0032357	0.000201015	0.120321	0.772147	0.0983078
</S>	0.00135051	0.000512734	0.00429367	0.00630554	0.000634334	0.0790823	0.154193	0.753628
