 	l'	enfant	a	de	la	dartre	au	dos	</S>
m	0.642916	0.348731	0.00450707	0.00208154	0.00104736	0.000301073	0.000319337	6.52951e-05	3.17732e-05
w	0.00649983	0.980471	0.00699238	0.00268808	0.00190407	0.00055055	0.0006283	6.89415e-06	0.000259466
á	0.0131548	0.985307	0.000632977	0.000404145	0.000338981	6.74355e-05	3.47025e-05	4.33537e-05	1.69426e-05
n	0.43331	0.538798	0.0102168	0.00431549	0.00284315	0.0010378	0.0026854	9.11209e-05	0.00670205
a	0.233258	0.507681	0.0999102	0.0189986	0.00957529	0.00483633	0.00261962	0.00070714	0.122414
a	0.677901	0.0352306	0.182744	0.0717191	0.00923564	0.00820048	0.0071247	0.00123266	0.00661235
d	0.0507692	0.022507	0.628233	0.214735	0.0317464	0.018678	0.0140443	0.00773017	0.0115566
i	0.0384886	0.0151372	0.429761	0.17648	0.0572526	0.0239743	0.0335443	0.00292805	0.222434
l	0.015854	0.00155713	0.172262	0.42469	0.14978	0.030937	0.100466	0.00468227	0.099772
a	0.0100715	0.00203362	0.102123	0.215564	0.204248	0.143369	0.0580589	0.0124622	0.252069
l	0.0398334	0.00146386	0.0847618	0.121188	0.196202	0.382585	0.0361839	0.0703469	0.0674354
w	0.0181458	0.00102871	0.0284281	0.0762742	0.141995	0.627997	0.0323056	0.0543667	0.0194599
ω	0.00203486	0.000818587	0.0147739	0.0897773	0.230048	0.494871	0.0676049	0.068652	0.0314191
r	0.000778765	4.47612e-05	0.0260198	0.0996413	0.214792	0.441202	0.0824793	0.11835	0.0166922
ώ	0.0020288	0.000447289	0.0353769	0.130076	0.277884	0.37685	0.0736035	0.0118309	0.0919027
m	0.0104103	7.7953e-05	0.0198094	0.0609867	0.0845792	0.0979604	0.571171	0.0553946	0.0996109
ó	0.0389784	0.00138753	0.0164874	0.0524944	0.0841342	0.0459619	0.206892	0.0108913	0.542772
k	0.0186492	0.000345284	0.0035582	0.00684623	0.0196566	0.0306743	0.0765549	0.815177	0.0285382
ω	0.000285534	4.37188e-05	0.000505719	0.00167083	0.003359	0.00248875	0.00460648	0.981614	0.0054263
r	5.97837e-05	2.88753e-05	0.00060905	0.00233114	0.00359588	0.00759371	0.00584199	0.972142	0.00779818
ω	0.00212059	0.000977651	0.0156681	0.048078	0.0851557	0.203209	0.128607	0.40739	0.108794
</S>	0.0327561	0.000296771	0.00684106	0.0178208	0.0179026	0.0168749	0.389629	0.0427405	0.475138
