 	approche-toi	d'	ici	</S>
m	0.451458	0.487404	0.0543802	0.00675834
ó	0.514251	0.264095	0.096314	0.12534
b	0.905038	0.0347007	0.0251934	0.0350682
h	0.903564	0.030256	0.0502563	0.0159234
ε	0.848377	0.0316734	0.107549	0.0123997
n	0.667999	0.0655056	0.0240351	0.24246
έ	0.829121	0.138755	0.0135666	0.0185569
έ	0.0949635	0.744374	0.129499	0.0311627
l	0.0416918	0.171344	0.757777	0.0291872
a	0.0324195	0.191076	0.543371	0.233133
w	0.0108311	0.426966	0.475955	0.0862474
á	0.0203536	0.371702	0.549071	0.0588725
r	0.0063983	0.330489	0.379722	0.283391
é	0.0175056	0.0698934	0.586843	0.325758
</S>	0.00453215	0.4535	0.169728	0.37224
